env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
100,21.1648,-12.568,-12.4654,-0.3908,3.9701,1.0,0.2059,0.0789,0.0007,0.0
200,4515.6571,-221.275,-220.7626,0.6905,3.9703,1.0,619.6136,1340.4915,0.0042,0.0
300,1016.199,-396.5367,-395.7481,-1.3273,3.9703,1.0,117.002,226.2187,0.0025,0.0
400,365.7852,-295.6023,-294.9791,-1.1277,3.9703,1.0,54.5469,114.92,0.0017,0.0
500,345.6491,-341.7735,-342.869,-1.5673,3.9703,1.0,33.9286,57.1981,0.0018,0.0
600,378.3503,-390.8758,-390.7979,-2.2133,3.9703,1.0,57.2992,124.3222,0.0024,0.0
700,234.1494,-383.2592,-382.3988,-2.8665,3.9703,1.0,49.5962,120.1273,0.0032,0.0
800,226.8519,-481.0291,-480.7916,-3.9245,3.9703,1.0,61.5226,148.9786,0.0044,0.0
900,392.7874,-537.8879,-537.7573,-5.0654,3.9703,1.0,88.4852,177.8164,0.0063,0.0
1000,280.3478,-568.3979,-568.2018,-5.9904,3.9703,1.0,73.3043,238.8941,0.0067,0.0
1100,294.4897,-659.6302,-659.5538,-7.3302,3.9703,1.0,46.7243,143.5089,0.008,0.0
1200,450.949,-719.5752,-719.4926,-8.2721,3.9702,1.0,367.2245,990.0897,0.0082,0.0
1300,339.8108,-733.6953,-733.6449,-8.9459,3.9702,1.0,123.215,328.4378,0.0092,0.0
1400,563.9991,-830.4099,-830.4081,-10.4715,3.9703,1.0,549.0948,1992.6547,0.0135,0.0
1500,539.8983,-893.2291,-893.1859,-11.6553,3.9703,1.0,438.817,1379.3477,0.0139,0.0
1600,479.6698,-882.8945,-882.8346,-11.9407,3.9703,1.0,2410.7402,7728.0087,0.0163,0.0
1700,594.2692,-1002.5569,-1002.5174,-13.8531,3.9703,1.0,1145.9076,3700.1351,0.0165,0.0
1800,683.391,-1109.4701,-1109.3481,-15.7124,3.9702,1.0,703.6708,2484.5542,0.0172,0.0
1900,614.978,-1137.0999,-1136.9578,-16.4328,3.9702,1.0,1600.3282,5497.865,0.0162,0.0
2000,666.1564,-1227.5082,-1227.3654,-17.9873,3.9702,1.0,1376.4402,4887.1808,0.0241,0.0
2100,700.472,-1300.7955,-1300.6633,-19.296,3.9702,1.0,3696.84,12828.7021,0.0272,0.0
2200,601.1759,-1278.948,-1278.8153,-19.2575,3.9702,1.0,493.7183,1828.0413,0.0196,0.0
2300,745.4262,-1436.1302,-1435.9799,-21.7128,3.9702,1.0,1446.9435,5118.4467,0.0221,0.0
2400,748.6871,-1462.3389,-1462.3414,-22.1916,3.9702,1.0,7480.7005,27443.3271,0.0328,0.0
