env_steps,critic_loss,q,raw_critic_grad_norm,critic_grad_norm,critic_seq_grad_norm
1000,0.6223,-1.1198,0.2798,0.0324,0.0223
1100,0.5574,-1.9371,0.2795,0.04,0.0477
1200,0.5611,-2.066,0.3104,0.0492,0.0876
1300,0.5666,-2.1777,0.4323,0.1458,0.3049
1400,0.5595,-2.3074,0.7011,0.1179,0.2509
1500,0.5604,-2.4191,0.8283,0.0672,0.0954
1600,0.5628,-2.5155,0.5968,0.1684,0.3717
1700,0.5607,-2.6291,0.7569,0.1754,0.3856
1800,0.5658,-2.7373,0.8659,0.2886,0.6697
1900,0.5656,-2.8434,1.6793,0.3436,0.7774
2000,0.5695,-2.9536,2.192,0.5454,1.3249
2100,0.5725,-3.056,2.0133,0.5442,1.3262
2200,0.5711,-3.1729,1.7368,0.18,0.423
2300,0.5651,-3.2859,1.7004,0.1506,0.3174
2400,0.5612,-3.3841,2.5435,0.5251,1.3339
2500,0.5612,-3.4648,2.075,0.5172,1.3253
2600,0.5577,-3.5565,2.3135,0.5273,1.3216
2700,0.573,-3.6248,3.8533,0.5231,1.3341
2800,0.575,-3.6904,2.95,0.208,0.485
2900,0.5763,-3.7592,4.0996,0.4602,1.1584
3000,0.578,-3.8325,5.3134,0.51,1.3292
3100,0.5825,-3.897,4.4232,0.3583,0.9381
3200,0.5861,-3.9703,6.3566,0.5151,1.3307
3300,0.5828,-4.0301,6.455,0.5009,1.3115
3400,0.5752,-4.0883,4.916,0.2956,0.7069
3500,0.5683,-4.1391,5.71,0.4977,1.3192
3600,0.5691,-4.1983,5.6211,0.5003,1.321
3700,0.5713,-4.2416,9.4262,0.4985,1.3189
3800,0.5682,-4.2832,5.8838,0.4953,1.2867
3900,0.5709,-4.3229,6.2827,0.4887,1.3078
4000,0.5703,-4.3739,9.3821,0.4714,1.2723
4100,0.5651,-4.4076,6.403,0.4656,1.2917
4200,0.5659,-4.4317,8.0108,0.4815,1.2925
4300,0.5702,-4.4666,6.3408,0.4763,1.2625
4400,0.5648,-4.4973,8.8139,0.4702,1.2988
4500,0.5674,-4.5045,7.4905,0.4936,1.2792
4600,0.567,-4.5225,9.1013,0.4716,1.3008
4700,0.5673,-4.5339,14.8748,0.483,1.3072
4800,0.5584,-4.5356,9.5905,0.4701,1.2944
4900,0.5589,-4.5465,9.0846,0.4739,1.2991
5000,0.5593,-4.5581,10.3184,0.4815,1.3194
5100,0.5507,-4.5704,8.6725,0.4626,1.2867
5200,0.551,-4.5764,10.238,0.5095,1.3312
5300,0.5567,-4.5741,21.6568,0.4718,1.2982
5400,0.5539,-4.5706,10.7376,0.4785,1.2711
5500,0.5768,-4.5547,28.762,0.4913,1.3163
5600,0.5753,-4.5511,21.4465,0.4843,1.3185
5700,0.5675,-4.5469,15.7214,0.4555,1.2683
5800,0.5691,-4.5429,15.1833,0.4797,1.3051
5900,0.5695,-4.542,15.0997,0.4673,1.2922
6000,0.5715,-4.5352,19.143,0.4619,1.2901
6100,0.5697,-4.527,16.6387,0.4376,1.2511
6200,0.5693,-4.5223,16.7629,0.4648,1.281
6300,0.5688,-4.543,12.4841,0.4723,1.2897
6400,0.5683,-4.5353,15.9041,0.455,1.2876
6500,0.5683,-4.5403,18.9923,0.4681,1.2987
6600,0.5628,-4.5293,10.3631,0.4567,1.2184
6700,0.5634,-4.5231,22.8134,0.4444,1.2713
6800,0.5612,-4.5281,15.3917,0.4671,1.2856
6900,0.5632,-4.5272,19.5526,0.4579,1.286
7000,0.5667,-4.5266,14.4544,0.4764,1.2695
7100,0.5729,-4.5161,20.7408,0.4542,1.2972
7200,0.5705,-4.4992,12.3073,0.4546,1.2859
7300,0.575,-4.4903,11.4774,0.4563,1.2571
7400,0.5814,-4.4942,15.2078,0.4706,1.3033
7500,0.5769,-4.4852,15.3625,0.4648,1.2716
7600,0.5858,-4.4714,20.1425,0.4681,1.252
7700,0.5816,-4.4784,14.2684,0.479,1.2621
7800,0.5795,-4.4684,16.8517,0.4624,1.3027
7900,0.5799,-4.4596,14.2838,0.4573,1.2846
8000,0.5811,-4.4445,14.5084,0.4592,1.3124
8100,0.5767,-4.4358,13.32,0.4654,1.2869
8200,0.5772,-4.4293,16.1901,0.4679,1.2958
8300,0.5783,-4.4102,17.4073,0.4632,1.2802
8400,0.5804,-4.4113,15.6489,0.4552,1.2891
8500,0.575,-4.4108,13.9279,0.483,1.3079
8600,0.5786,-4.4106,22.3088,0.4447,1.2722
8700,0.5744,-4.4032,14.8958,0.4766,1.308
8800,0.576,-4.3946,12.8114,0.4693,1.3217
8900,0.5844,-4.3952,21.8921,0.4647,1.28
9000,0.5788,-4.3818,18.3743,0.4836,1.288
9100,0.5821,-4.3816,15.8264,0.4623,1.2739
9200,0.5792,-4.381,14.3741,0.4994,1.3465
9300,0.5759,-4.3904,16.2029,0.4797,1.2892
9400,0.5797,-4.3968,18.212,0.4829,1.2902
9500,0.5788,-4.3896,11.7403,0.4794,1.265
9600,0.5728,-4.4122,10.3051,0.4577,1.3001
9700,0.5774,-4.4148,12.2931,0.447,1.2677
9800,0.5743,-4.4203,15.9388,0.4729,1.3076
9900,0.5773,-4.4156,13.0263,0.4739,1.3227
10000,0.5802,-4.4218,14.804,0.4766,1.2909
10100,0.5871,-4.4075,17.4421,0.4886,1.2691
10200,0.5829,-4.4219,11.4055,0.4966,1.3141
10300,0.5867,-4.4303,11.9239,0.4923,1.2833
10400,0.5852,-4.4233,12.4192,0.462,1.2968
10500,0.5843,-4.4139,17.8371,0.4924,1.3074
10600,0.5835,-4.433,18.3365,0.4816,1.3067
10700,0.5825,-4.4249,18.3426,0.4678,1.2932
10800,0.5828,-4.4302,21.7992,0.474,1.2779
10900,0.5882,-4.4141,16.8348,0.4627,1.3093
11000,0.5788,-4.4081,12.2898,0.4784,1.2649
11100,0.5792,-4.3972,14.9564,0.4791,1.2544
11200,0.5753,-4.403,15.6741,0.4844,1.2877
11300,0.5833,-4.3922,20.8943,0.4766,1.288
11400,0.5786,-4.3973,12.8051,0.4505,1.2022
11500,0.5823,-4.3913,15.5136,0.4573,1.3146
