env_steps,return,restorations,infiltrations,length,FPS,time
0,-74.8,51,836,100,0.0,0.1045
100,-64.1,52,654,100,962.493,0.1039
200,-71.95,55,639,100,979.0466,0.1021
300,-68.5,57,550,100,981.4452,0.1019
400,-76.1,56,646,100,981.0985,0.1019
500,-61.4,52,612,100,976.4005,0.1024
600,-63.2,44,840,100,963.5854,0.1038
700,-82.05,55,765,100,614.605,0.1627
800,-73.75,53,659,100,846.6449,0.1181
900,-61.6,52,672,100,545.9492,0.1832
1000,-58.1,51,658,100,8.6748,11.5277
1100,-52.8,48,600,100,53.5062,1.8689
1200,-73.2,57,588,100,58.4362,1.7113
1300,-62.5,50,614,100,52.6135,1.9007
1400,-72.9,45,874,100,58.7899,1.701
1500,-63.1,47,674,100,55.5461,1.8003
1600,-63.55,51,647,100,55.5194,1.8012
1700,-70.95,54,655,100,52.5228,1.9039
1800,-76.85,54,797,100,55.7773,1.7928
1900,-60.3,51,662,100,52.5004,1.9048
2000,-70.05,58,561,100,52.4746,1.9057
2100,-62.6,58,436,100,55.83,1.7912
2200,-61.7,51,670,100,52.7116,1.8971
2300,-57.65,52,657,100,58.2399,1.717
2400,-64.3,48,662,100,53.177,1.8805
2500,-68.6,53,692,100,57.7544,1.7315
2600,-70.5,57,662,100,52.8752,1.8913
2700,-64.2,44,804,100,50.2557,1.9898
2800,-73.35,50,703,100,53.0904,1.8836
2900,-61.0,47,636,100,51.913,1.9263
3000,-69.75,42,875,100,55.334,1.8072
3100,-67.0,60,444,100,52.6079,1.9009
3200,-81.05,56,725,100,55.8332,1.7911
3300,-74.0,49,844,100,52.5796,1.9019
3400,-73.25,60,605,100,55.8798,1.7896
3500,-74.7,61,558,100,52.1811,1.9164
3600,-56.45,51,553,100,50.0755,1.997
3700,-77.1,64,578,100,52.8493,1.8922
3800,-51.7,53,458,100,53.0213,1.886
3900,-63.3,44,750,100,55.2245,1.8108
4000,-60.6,48,684,100,53.0405,1.8854
4100,-57.95,47,775,100,57.8993,1.7271
4200,-62.3,41,922,100,52.8786,1.8911
4300,-74.65,52,769,100,58.6458,1.7052
4400,-68.1,44,870,100,53.0028,1.8867
4500,-71.95,50,787,100,55.9432,1.7875
4600,-74.4,49,756,100,52.667,1.8987
4700,-59.9,50,558,100,51.9123,1.9263
4800,-52.85,45,633,100,56.1224,1.7818
4900,-72.3,54,670,100,52.4151,1.9078
5000,-73.45,53,693,100,52.6282,1.9001
5100,-68.65,47,761,100,53.0305,1.8857
5200,-71.3,56,598,100,51.9889,1.9235
5300,-74.6,48,880,100,50.6997,1.9724
5400,-72.85,58,577,100,52.5067,1.9045
5500,-75.1,62,502,100,58.3122,1.7149
5600,-74.9,57,674,100,52.6525,1.8992
5700,-68.85,40,925,100,55.0976,1.815
5800,-72.75,55,631,100,53.1917,1.88
5900,-68.55,58,539,100,58.0866,1.7216
6000,-72.9,59,470,100,53.4004,1.8726
6100,-70.85,53,717,100,55.3936,1.8053
6200,-54.6,38,876,100,55.2029,1.8115
6300,-67.45,46,821,100,52.4938,1.905
6400,-74.2,57,648,100,50.4683,1.9814
6500,-76.25,58,645,100,45.4069,2.2023
6600,-66.75,51,739,100,55.5819,1.7992
6700,-56.45,40,721,100,52.653,1.8992
6800,-54.75,53,519,100,52.578,1.9019
6900,-65.65,38,965,100,58.546,1.7081
7000,-62.35,51,631,100,55.2648,1.8095
7100,-69.5,56,554,100,56.2021,1.7793
7200,-70.8,54,672,100,54.9609,1.8195
7300,-75.4,55,632,100,55.7374,1.7941
7400,-70.95,53,695,100,52.5149,1.9042
7500,-63.85,48,725,100,55.6792,1.796
7600,-68.95,47,803,100,52.6078,1.9009
7700,-66.3,53,710,100,58.5056,1.7092
7800,-55.3,45,698,100,52.8425,1.8924
7900,-74.6,53,712,100,50.1055,1.9958
8000,-62.35,51,615,100,50.2309,1.9908
8100,-68.8,50,692,100,49.7895,2.0085
8200,-75.4,59,600,100,52.6143,1.9006
8300,-60.8,47,680,100,50.546,1.9784
8400,-70.95,54,587,100,52.5089,1.9044
8500,-51.95,59,339,100,55.488,1.8022
8600,-54.1,46,698,100,52.6543,1.8992
8700,-75.45,62,485,100,58.259,1.7165
8800,-65.7,48,678,100,53.1809,1.8804
8900,-71.0,51,740,100,55.0692,1.8159
9000,-63.4,41,868,100,53.061,1.8846
9100,-62.65,50,617,100,58.1143,1.7208
9200,-60.1,47,658,100,53.2856,1.8767
9300,-73.35,61,567,100,55.4656,1.8029
9400,-74.6,60,596,100,52.0894,1.9198
9500,-60.35,49,619,100,50.0553,1.9978
9600,-73.25,50,837,100,52.8506,1.8921
9700,-61.95,53,687,100,49.6819,2.0128
9800,-58.05,49,625,100,53.1468,1.8816
9900,-60.2,47,648,100,52.3655,1.9097
10000,-68.15,55,611,100,0.0,0.672
10100,-72.45,53,641,100,58.3068,1.7151
10200,-60.15,47,727,100,53.0924,1.8835
10300,-61.05,52,585,100,58.6776,1.7042
10400,-58.05,50,613,100,52.949,1.8886
10500,-63.05,50,677,100,41.6483,2.4011
10600,-72.6,52,768,100,54.8574,1.8229
10700,-74.3,53,790,100,55.7754,1.7929
10800,-71.35,47,859,100,53.4801,1.8699
10900,-73.65,53,849,100,52.549,1.903
11000,-66.75,50,775,100,57.786,1.7305
11100,-70.55,59,527,100,50.4068,1.9839
11200,-60.7,39,926,100,58.2928,1.7155
11300,-72.35,54,571,100,53.4416,1.8712
11400,-67.1,55,542,100,55.6112,1.7982
11500,-58.65,43,673,100,49.8101,2.0076
11600,-64.65,53,629,100,52.4608,1.9062
11700,-67.45,45,853,100,52.7186,1.8969
11800,-58.45,50,605,100,54.8089,1.8245
11900,-68.15,47,747,100,55.5749,1.7994
12000,-73.35,54,803,100,52.7189,1.8969
12100,-66.4,46,744,100,56.2021,1.7793
12200,-60.4,46,648,100,52.8637,1.8917
12300,-75.45,55,761,100,55.3007,1.8083
12400,-60.8,43,776,100,54.7657,1.826
12500,-71.35,57,631,100,52.7715,1.895
12600,-61.05,40,873,100,52.8918,1.8907
12700,-67.15,46,823,100,49.7338,2.0107
12800,-78.7,60,614,100,53.4745,1.8701
12900,-54.35,46,663,100,52.1739,1.9167
13000,-62.4,51,540,100,50.2924,1.9884
13100,-63.9,52,570,100,52.781,1.8946
13200,-58.0,53,640,100,54.9542,1.8197
13300,-61.3,40,798,100,56.0444,1.7843
13400,-58.25,46,685,100,55.2232,1.8108
13500,-74.5,44,910,100,55.7212,1.7947
13600,-66.75,46,767,100,50.0078,1.9997
13700,-75.75,61,547,100,55.3105,1.808
13800,-72.95,61,547,100,52.6972,1.8976
13900,-63.75,48,707,100,58.4429,1.7111
14000,-59.35,46,679,100,50.7732,1.9695
14100,-76.0,56,656,100,52.1675,1.9169
14200,-62.5,43,734,100,55.6327,1.7975
14300,-56.35,40,791,100,52.7121,1.8971
14400,-52.3,35,850,100,55.7846,1.7926
14500,-57.6,43,788,100,54.593,1.8317
14600,-57.7,41,686,100,53.527,1.8682
14700,-73.55,49,703,100,51.9927,1.9234
14800,-76.15,53,691,100,52.98,1.8875
14900,-75.45,55,661,100,55.1072,1.8146
15000,-56.6,49,596,100,50.3111,1.9876
15100,-67.3,54,622,100,55.3375,1.8071
15200,-63.85,45,769,100,50.6293,1.9751
15300,-69.75,48,803,100,55.0249,1.8174
15400,-63.9,48,726,100,52.8369,1.8926
15500,-70.6,44,924,100,55.6597,1.7966
15600,-58.45,53,617,100,52.7829,1.8946
15700,-63.5,50,686,100,54.9351,1.8203
15800,-63.45,47,621,100,55.4009,1.805
15900,-85.85,65,605,100,52.8026,1.8939
16000,-58.6,36,932,100,55.5582,1.7999
16100,-85.35,57,831,100,49.7601,2.0096
16200,-72.45,47,817,100,55.941,1.7876
16300,-73.25,44,913,100,52.7601,1.8954
16400,-71.0,56,628,100,58.017,1.7236
16500,-60.55,56,571,100,53.1172,1.8826
16600,-58.95,46,687,100,55.7645,1.7933
16700,-74.7,48,774,100,55.0095,1.8179
16800,-76.85,59,557,100,50.6404,1.9747
16900,-79.75,56,655,100,55.1005,1.8149
17000,-68.35,55,563,100,53.1317,1.8821
17100,-74.7,56,578,100,54.6614,1.8294
17200,-69.25,54,585,100,50.2547,1.9899
17300,-60.65,51,565,100,50.0716,1.9971
17400,-79.15,55,727,100,50.3431,1.9864
17500,-70.3,49,682,100,54.9288,1.8205
17600,-71.2,51,796,100,53.2875,1.8766
17700,-55.0,41,644,100,52.0728,1.9204
17800,-60.25,49,617,100,52.4672,1.906
17900,-61.65,55,561,100,45.8242,2.1823
18000,-55.75,38,819,100,55.4675,1.8029
18100,-58.7,52,502,100,52.2552,1.9137
18200,-71.9,64,506,100,55.8898,1.7892
18300,-65.9,48,726,100,52.7221,1.8967
18400,-72.75,51,739,100,52.3223,1.9112
18500,-64.7,49,718,100,50.3854,1.9847
18600,-62.15,54,555,100,52.324,1.9112
18700,-73.9,55,682,100,55.8331,1.7911
18800,-51.25,37,813,100,52.8059,1.8937
18900,-57.25,61,409,100,58.0368,1.723
19000,-73.45,58,665,100,50.1558,1.9938
19100,-74.65,52,685,100,50.4146,1.9836
19200,-71.0,50,624,100,57.8712,1.728
19300,-65.25,50,633,100,52.7772,1.8948
19400,-48.15,35,771,100,56.2875,1.7766
19500,-64.25,47,709,100,49.7218,2.0112
19600,-84.8,57,712,100,58.4457,1.711
19700,-69.95,55,599,100,53.2451,1.8781
19800,-59.95,41,767,100,58.7625,1.7018
19900,-58.2,44,760,100,54.8765,1.8223
20000,-55.2,44,664,100,0.0,0.7638
20100,-60.2,46,636,100,55.7878,1.7925
20200,-68.8,55,668,100,54.8319,1.8238
20300,-64.0,40,920,100,55.5854,1.799
