env_steps,return,restorations,infiltrations,length,FPS,time
0,-61.3,42,758,100,0.0,0.0969
100,-58.2,45,696,100,1794.1244,0.0557
200,-60.2,51,672,100,1591.9837,0.0628
300,-63.6,46,728,100,1830.5266,0.0546
400,-73.05,54,709,100,1837.4392,0.0544
500,-67.85,45,777,100,1682.6416,0.0594
600,-72.65,54,701,100,1831.5098,0.0546
700,-63.6,57,468,100,1612.6914,0.062
800,-74.55,59,567,100,1844.5176,0.0542
900,-67.05,54,661,100,1692.7669,0.0591
1000,-66.5,44,870,100,8.6978,11.4971
1100,-64.4,47,744,100,65.7359,1.5212
1200,-59.15,55,491,100,66.7418,1.4983
1300,-76.6,63,532,100,64.0611,1.561
1400,-76.35,51,699,100,64.9943,1.5386
1500,-61.6,60,448,100,64.948,1.5397
1600,-64.2,55,560,100,66.5974,1.5016
1700,-62.5,61,454,100,65.6205,1.5239
1800,-68.95,54,667,100,64.5656,1.5488
1900,-76.35,61,567,100,66.874,1.4954
2000,-59.3,50,674,100,65.0877,1.5364
2100,-69.55,56,555,100,66.4148,1.5057
2200,-64.05,62,493,100,66.9559,1.4935
2300,-72.8,47,888,100,66.2929,1.5085
2400,-65.75,38,895,100,65.7645,1.5206
2500,-52.6,47,592,100,65.6655,1.5229
2600,-70.9,53,674,100,64.0476,1.5613
2700,-72.25,50,765,100,64.9752,1.5391
2800,-57.6,41,728,100,64.4289,1.5521
2900,-74.95,66,423,100,65.7716,1.5204
3000,-78.3,62,566,100,65.1138,1.5358
3100,-68.35,57,607,100,63.2964,1.5799
3200,-78.55,54,703,100,65.5855,1.5247
3300,-66.95,55,599,100,63.6043,1.5722
3400,-72.85,59,657,100,62.9742,1.588
3500,-60.55,49,707,100,65.8571,1.5184
3600,-61.8,55,620,100,65.9781,1.5157
3700,-62.65,54,577,100,63.4232,1.5767
3800,-72.35,51,767,100,65.4225,1.5285
3900,-74.45,58,625,100,64.7864,1.5435
4000,-75.95,47,815,100,65.1593,1.5347
4100,-60.55,58,427,100,64.1873,1.5579
4200,-58.55,37,867,100,65.3707,1.5297
4300,-61.2,55,592,100,65.4859,1.527
4400,-67.75,46,767,100,64.0561,1.5611
4500,-74.9,56,678,100,65.7092,1.5219
4600,-69.05,46,821,100,66.2707,1.509
4700,-73.75,55,679,100,63.7756,1.568
4800,-70.25,64,485,100,66.5891,1.5018
4900,-59.05,45,753,100,66.5474,1.5027
5000,-70.3,39,930,100,66.1394,1.512
5100,-52.55,54,495,100,66.2018,1.5105
5200,-63.4,48,756,100,65.6856,1.5224
5300,-67.9,52,730,100,64.5762,1.5486
5400,-77.2,60,636,100,65.8808,1.5179
