env_steps,return,restorations,infiltrations,length,FPS,time
0,-72.55,50,815,100,0.0,0.0338
100,-73.6,54,716,100,3016.3999,0.0332
200,-71.4,55,648,100,3067.9628,0.0326
300,-69.0,58,460,100,3102.2041,0.0322
400,-73.75,55,631,100,3067.9853,0.0326
500,-59.7,52,622,100,2998.0515,0.0334
600,-53.65,42,817,100,2890.0125,0.0346
700,-85.0,54,840,100,2967.1501,0.0337
800,-48.55,51,511,100,3037.0399,0.0329
900,-71.45,54,669,100,2992.426,0.0334
1000,-76.65,53,737,100,28.5636,3.501
1100,-74.6,56,728,100,162.5953,0.615
1200,-66.95,61,479,100,153.443,0.6517
1300,-60.85,52,549,100,162.7441,0.6145
1400,-74.1,47,910,100,162.5732,0.6151
1500,-69.0,53,748,100,161.2408,0.6202
1600,-64.7,57,626,100,151.5601,0.6598
1700,-63.15,54,599,100,161.6669,0.6186
1800,-66.8,49,760,100,158.246,0.6319
1900,-58.8,52,636,100,149.1561,0.6704
2000,-73.5,50,682,100,149.1452,0.6705
2100,-82.95,59,643,100,161.6583,0.6186
2200,-66.35,47,731,100,165.0549,0.6059
2300,-75.2,50,800,100,162.1548,0.6167
2400,-59.2,49,640,100,147.6134,0.6775
2500,-70.1,53,706,100,163.2642,0.6125
2600,-63.75,54,539,100,163.4847,0.6117
2700,-60.55,42,795,100,162.3736,0.6159
2800,-63.95,54,591,100,152.9145,0.654
2900,-71.0,52,736,100,162.8408,0.6141
3000,-60.5,40,834,100,163.3409,0.6122
3100,-71.0,62,500,100,162.3107,0.6161
3200,-83.4,60,668,100,153.8332,0.6501
3300,-59.1,50,622,100,161.1268,0.6206
3400,-63.15,57,511,100,161.0815,0.6208
3500,-65.4,59,484,100,150.5445,0.6643
3600,-65.15,54,619,100,160.6836,0.6223
3700,-65.2,59,508,100,148.3365,0.6741
3800,-61.35,53,599,100,161.7084,0.6184
3900,-65.1,47,702,100,158.8962,0.6293
4000,-64.95,43,771,100,152.4484,0.656
4100,-70.85,45,901,100,161.0227,0.621
4200,-48.25,39,829,100,162.0178,0.6172
4300,-67.55,44,819,100,151.3264,0.6608
