env_steps,critic_loss,q,raw_critic_grad_norm,critic_grad_norm,critic_seq_grad_norm
1000,0.6436,-0.8515,0.2631,0.1206,0.2413
1100,0.5605,-1.3157,0.3458,0.227,0.5001
1200,0.5468,-1.3961,0.5217,0.0469,0.093
1300,0.5349,-1.4523,0.4536,0.0805,0.1518
1400,0.5321,-1.492,0.6393,0.1133,0.2585
1500,0.5094,-1.5247,0.5406,0.2473,0.5807
1600,0.5068,-1.5694,0.4938,0.12,0.2461
1700,0.5025,-1.613,0.4915,0.1144,0.2426
1800,0.4932,-1.6564,0.5053,0.0707,0.1468
1900,0.4973,-1.709,0.8494,0.0913,0.2198
2000,0.4922,-1.7817,0.7337,0.21,0.5138
2100,0.4867,-1.8439,0.9847,0.2642,0.6722
2200,0.4836,-1.8918,1.2003,0.3077,0.7965
2300,0.4868,-1.9486,1.3653,0.3879,1.0512
2400,0.4777,-1.9884,1.4416,0.3595,0.9021
2500,0.4832,-2.0162,1.7051,0.2401,0.6207
2600,0.4818,-2.0503,1.5009,0.2827,0.7299
2700,0.4757,-2.0732,1.9922,0.2111,0.5113
2800,0.4843,-2.0945,2.0411,0.4215,1.1039
2900,0.4924,-2.1031,4.0233,0.4525,1.1889
3000,0.4839,-2.1323,2.9065,0.4148,1.1137
3100,0.4786,-2.1595,3.263,0.4691,1.3011
3200,0.4795,-2.1859,3.1324,0.4681,1.2979
3300,0.4774,-2.2167,4.9832,0.4777,1.3093
3400,0.4813,-2.2342,5.3749,0.3288,0.8778
3500,0.4837,-2.2685,4.9482,0.4675,1.2976
3600,0.4804,-2.2836,5.0221,0.464,1.3079
3700,0.483,-2.306,6.5134,0.4653,1.3067
3800,0.4817,-2.3385,6.757,0.4676,1.2993
3900,0.4857,-2.3416,5.3978,0.4703,1.3067
4000,0.4819,-2.3944,6.3049,0.4515,1.2901
4100,0.4829,-2.4217,5.9674,0.4563,1.2875
4200,0.4874,-2.4471,7.738,0.4547,1.3013
4300,0.4858,-2.4829,10.9118,0.47,1.3074
4400,0.4843,-2.5362,8.1969,0.4573,1.2925
4500,0.4888,-2.5516,9.3736,0.4565,1.2969
4600,0.4925,-2.5763,9.652,0.4681,1.279
4700,0.5066,-2.6141,11.8195,0.4619,1.2937
4800,0.506,-2.6445,13.642,0.4549,1.2904
4900,0.5115,-2.6798,10.9668,0.4529,1.3002
5000,0.5174,-2.7221,11.0581,0.4453,1.2877
5100,0.5207,-2.769,12.0698,0.4558,1.2938
5200,0.5252,-2.8145,12.0108,0.4519,1.2884
5300,0.5353,-2.8335,13.436,0.46,1.2988
5400,0.5364,-2.8902,13.7768,0.462,1.3064
5500,0.5481,-2.9223,12.9531,0.4389,1.2776
5600,0.5485,-2.9398,15.4996,0.4584,1.3072
5700,0.5515,-3.0019,15.0929,0.4564,1.2967
5800,0.5552,-3.0378,14.7945,0.4534,1.2965
5900,0.5714,-3.073,30.0984,0.4487,1.3044
6000,0.5741,-3.1028,20.3496,0.4634,1.3074
6100,0.5725,-3.1352,17.793,0.4505,1.2972
6200,0.5773,-3.1799,20.1059,0.4534,1.3102
6300,0.5783,-3.2067,17.6943,0.4483,1.2854
6400,0.5791,-3.2251,20.2126,0.4642,1.3059
6500,0.5863,-3.2717,23.36,0.4493,1.2903
6600,0.5879,-3.3201,21.5095,0.4566,1.2974
6700,0.5892,-3.3776,17.6043,0.4435,1.2644
6800,0.5966,-3.3958,26.9655,0.4613,1.2926
6900,0.6058,-3.432,41.899,0.4505,1.3064
7000,0.6152,-3.4842,39.0967,0.4535,1.2995
7100,0.6162,-3.5311,39.5348,0.448,1.2942
7200,0.6139,-3.5915,22.5485,0.4494,1.269
7300,0.6184,-3.6203,37.4493,0.4549,1.3164
7400,0.6263,-3.6657,41.4163,0.4532,1.3013
7500,0.6322,-3.7036,34.2892,0.4468,1.3062
7600,0.6243,-3.7399,23.1733,0.4484,1.2936
7700,0.6208,-3.7619,23.568,0.4443,1.2909
7800,0.6174,-3.7882,19.4101,0.4576,1.2949
7900,0.622,-3.8338,23.2037,0.4531,1.286
8000,0.6297,-3.852,28.1603,0.466,1.308
8100,0.6229,-3.8908,20.9758,0.4495,1.2944
8200,0.621,-3.8916,22.3956,0.4542,1.279
8300,0.6298,-3.9223,26.479,0.4556,1.3053
8400,0.6259,-3.9384,22.5123,0.4765,1.3387
8500,0.6258,-3.9858,24.2483,0.4437,1.252
8600,0.6298,-3.9771,25.9883,0.458,1.3105
8700,0.6317,-3.9836,27.5634,0.4632,1.3108
8800,0.6344,-3.9903,25.4672,0.4518,1.2923
8900,0.6341,-4.0232,32.4454,0.4598,1.2934
9000,0.6359,-4.0306,31.9478,0.4516,1.2555
9100,0.6316,-4.0324,35.4199,0.4636,1.3118
9200,0.6319,-4.0473,23.8049,0.4457,1.2825
9300,0.6299,-4.0647,25.911,0.4572,1.2986
9400,0.6326,-4.0603,32.6885,0.4696,1.2773
9500,0.6345,-4.0732,37.9132,0.4481,1.2902
9600,0.6253,-4.0825,31.5697,0.4562,1.2922
9700,0.626,-4.0828,30.081,0.4578,1.297
9800,0.6264,-4.0702,35.5634,0.4427,1.2752
9900,0.6305,-4.092,34.7729,0.4512,1.2806
10000,0.6274,-4.0946,26.5146,0.4486,1.2822
10100,0.6192,-4.09,27.141,0.448,1.2908
10200,0.6316,-4.0912,47.577,0.4502,1.2942
10300,0.6395,-4.0888,48.3503,0.4555,1.3015
10400,0.6416,-4.1043,54.6164,0.4553,1.2989
10500,0.6491,-4.1074,42.8906,0.4549,1.3104
10600,0.6444,-4.1097,37.275,0.4506,1.2864
10700,0.6368,-4.1396,38.0452,0.4553,1.2709
10800,0.6479,-4.1402,47.2122,0.4556,1.293
10900,0.6435,-4.1815,42.1712,0.4595,1.3081
11000,0.6402,-4.1788,30.7256,0.45,1.3014
11100,0.6396,-4.1823,29.3703,0.4492,1.3027
11200,0.6476,-4.1986,32.9092,0.4265,1.2466
11300,0.6431,-4.1959,27.5226,0.4773,1.3009
11400,0.6613,-4.2,40.5206,0.4462,1.2982
11500,0.6383,-4.2346,25.1023,0.4584,1.2805
11600,0.6385,-4.2334,25.0509,0.4649,1.2882
11700,0.6416,-4.2778,34.7864,0.4488,1.2862
11800,0.6521,-4.2946,33.2899,0.457,1.2921
11900,0.6429,-4.3027,28.1454,0.4604,1.308
12000,0.6504,-4.3024,35.5319,0.4575,1.3028
12100,0.6567,-4.3295,37.5575,0.4506,1.2932
12200,0.6498,-4.3283,33.0493,0.458,1.3076
12300,0.6543,-4.3597,29.4863,0.4443,1.2589
12400,0.6507,-4.3815,28.4212,0.4509,1.2933
12500,0.6522,-4.398,31.4417,0.4694,1.3148
12600,0.652,-4.4267,32.4352,0.4494,1.2786
12700,0.6575,-4.4436,32.0798,0.4533,1.2701
12800,0.6566,-4.473,28.1544,0.4825,1.2908
12900,0.6588,-4.4811,30.3629,0.4521,1.3069
13000,0.6611,-4.527,31.3539,0.4445,1.2719
13100,0.6718,-4.5506,44.0638,0.4507,1.2989
13200,0.667,-4.5914,35.5732,0.4482,1.2881
13300,0.6626,-4.6278,32.7774,0.4682,1.3145
13400,0.67,-4.6119,34.9328,0.4541,1.2915
13500,0.6688,-4.6346,29.2958,0.4543,1.305
13600,0.679,-4.6745,33.875,0.4542,1.3093
13700,0.6729,-4.697,31.5426,0.4584,1.3055
13800,0.6723,-4.7249,25.8446,0.4592,1.3132
13900,0.6818,-4.7308,40.2349,0.4605,1.297
14000,0.6822,-4.7694,39.426,0.4683,1.2883
14100,0.6723,-4.7858,31.9071,0.4484,1.2922
14200,0.6799,-4.8038,32.5983,0.4654,1.3114
14300,0.6771,-4.8554,30.1391,0.457,1.2963
14400,0.6927,-4.8604,33.2144,0.456,1.3021
14500,0.6966,-4.8777,45.1107,0.4383,1.2818
14600,0.6877,-4.8926,30.8707,0.4663,1.3037
14700,0.6898,-4.9346,35.8748,0.4303,1.2526
14800,0.6863,-4.956,32.1526,0.4637,1.3021
14900,0.6826,-4.9934,27.1153,0.4518,1.2909
15000,0.6866,-4.9978,31.2868,0.4633,1.2746
15100,0.6845,-5.0379,33.7109,0.4633,1.3061
15200,0.6864,-5.0367,34.1242,0.4686,1.2972
15300,0.6848,-5.0737,30.6714,0.4599,1.3009
15400,0.6962,-5.1043,43.7504,0.4444,1.2451
15500,0.7039,-5.1188,49.1934,0.4582,1.2996
15600,0.6973,-5.114,34.0725,0.4394,1.2664
15700,0.6983,-5.1545,34.8664,0.4594,1.3093
15800,0.7254,-5.2014,74.8974,0.4563,1.2967
15900,0.6981,-5.2025,28.7209,0.4293,1.2399
16000,0.7018,-5.2057,27.5159,0.4566,1.3032
16100,0.7062,-5.2218,54.1966,0.4566,1.2796
16200,0.7084,-5.2534,48.9883,0.4603,1.3086
16300,0.7043,-5.2657,37.5565,0.4676,1.313
16400,0.711,-5.2618,48.7331,0.4639,1.3061
16500,0.7213,-5.2915,42.8526,0.4748,1.3178
16600,0.7119,-5.3263,46.1292,0.4487,1.285
16700,0.7152,-5.3297,41.768,0.4555,1.3114
16800,0.7121,-5.3527,34.2252,0.4678,1.2987
16900,0.7109,-5.3808,39.1034,0.4643,1.303
17000,0.7145,-5.4017,43.8409,0.4682,1.265
17100,0.7141,-5.4351,39.5837,0.457,1.3041
17200,0.712,-5.4199,40.0717,0.4661,1.3003
17300,0.707,-5.4772,33.6399,0.4448,1.2566
17400,0.7191,-5.4841,40.0852,0.4395,1.2615
17500,0.7188,-5.4952,46.0531,0.4692,1.3185
17600,0.7186,-5.5232,53.4026,0.4757,1.3144
17700,0.719,-5.5239,49.4836,0.4606,1.3061
17800,0.72,-5.5284,53.5819,0.4399,1.2924
17900,0.7201,-5.5447,39.9596,0.4705,1.3231
18000,0.7138,-5.5562,30.6468,0.4758,1.3061
18100,0.7193,-5.5987,49.7172,0.4655,1.3239
18200,0.7189,-5.6135,45.6248,0.4735,1.3279
18300,0.7135,-5.6133,29.431,0.4454,1.2875
18400,0.7224,-5.641,47.3431,0.4528,1.3023
18500,0.727,-5.6653,53.0418,0.4581,1.3041
