env_steps,critic_loss,q,raw_critic_grad_norm,critic_grad_norm,critic_seq_grad_norm
1000,0.6138,-0.8239,0.2456,0.0535,0.0676
1100,0.5608,-1.2459,0.2631,0.1012,0.1642
1200,0.564,-1.3087,0.2448,0.0534,0.0723
1300,0.5661,-1.3767,0.2624,0.0381,0.0399
1400,0.5606,-1.4687,0.3742,0.1084,0.1879
1500,0.5602,-1.5342,0.3841,0.0692,0.1111
1600,0.5521,-1.591,0.3756,0.0556,0.0906
1700,0.5385,-1.6436,0.8153,0.2449,0.5677
1800,0.5325,-1.7029,0.5185,0.1247,0.2459
1900,0.5296,-1.7456,0.6717,0.1297,0.2801
2000,0.5224,-1.7954,0.6778,0.1476,0.3524
2100,0.5156,-1.8602,0.8624,0.1004,0.2281
2200,0.5162,-1.9515,0.958,0.1541,0.3626
2300,0.5185,-2.0254,1.0805,0.1371,0.3174
2400,0.5122,-2.0935,0.8894,0.1752,0.4335
2500,0.5075,-2.1507,1.0615,0.1437,0.3383
2600,0.5011,-2.2154,1.1598,0.2062,0.5145
2700,0.5088,-2.2711,1.6092,0.4938,1.2494
2800,0.5126,-2.3269,1.2725,0.1314,0.3228
2900,0.5169,-2.3893,1.6973,0.2423,0.6296
3000,0.5258,-2.4547,1.5497,0.271,0.7018
3100,0.545,-2.5086,2.9972,0.4833,1.3237
3200,0.5422,-2.5659,3.934,0.51,1.3207
3300,0.5376,-2.6096,2.7967,0.5064,1.3264
3400,0.5319,-2.6698,3.2258,0.4927,1.324
3500,0.5337,-2.721,4.4966,0.4699,1.3178
3600,0.5348,-2.7673,4.4956,0.4132,1.0905
3700,0.5305,-2.8011,3.8936,0.3481,0.8915
3800,0.5366,-2.8433,6.3733,0.5018,1.3075
3900,0.5427,-2.8969,9.0227,0.4917,1.3394
4000,0.5391,-2.9466,7.0197,0.4909,1.307
4100,0.5367,-2.9818,6.2896,0.4796,1.2978
4200,0.5333,-3.0203,6.6547,0.4997,1.334
4300,0.5313,-3.0571,5.616,0.4739,1.303
4400,0.5317,-3.1009,7.4572,0.4925,1.3105
4500,0.5322,-3.1291,7.4625,0.4876,1.3215
4600,0.5269,-3.1686,5.8596,0.4716,1.3247
4700,0.531,-3.201,10.2336,0.4788,1.3166
4800,0.5261,-3.24,8.6493,0.4703,1.3124
4900,0.5289,-3.2646,8.1082,0.4749,1.3241
5000,0.5399,-3.2932,9.523,0.4821,1.3197
5100,0.5483,-3.3121,11.3252,0.4792,1.2965
5200,0.5424,-3.3671,8.2138,0.4586,1.2424
5300,0.5446,-3.4002,10.4485,0.4704,1.3266
5400,0.5549,-3.4476,12.6177,0.4836,1.3076
