env_steps,critic_loss,q,raw_critic_grad_norm,critic_grad_norm,critic_seq_grad_norm
1000,0.2206,-1.0769,0.4813,0.0349,0.0352
1100,0.0511,-1.3585,0.6964,0.0296,0.0289
1200,0.0631,-1.3815,0.7451,0.0312,0.0305
1300,0.0579,-1.3846,0.6102,0.0763,0.0744
1400,0.049,-1.4133,0.8913,0.0692,0.0655
1500,0.0516,-1.4111,0.6336,0.0237,0.0207
1600,0.067,-1.3859,0.8304,0.0633,0.0593
1700,0.0628,-1.3873,0.9041,0.0448,0.0405
1800,0.0626,-1.3669,0.7512,0.0301,0.0267
1900,0.061,-1.355,0.762,0.0553,0.0517
2000,0.0622,-1.3162,0.8308,0.1491,0.1446
2100,0.0661,-1.2949,0.9334,0.1348,0.1297
2200,0.0656,-1.2527,0.8449,0.175,0.1699
2300,0.0687,-1.2018,0.9446,0.1546,0.149
2400,0.078,-1.1429,1.2273,0.119,0.1149
2500,0.0698,-1.0477,0.9077,0.1373,0.1333
2600,0.0707,-0.9676,1.0387,0.1476,0.1479
2700,0.0768,-0.8726,1.0322,0.0767,0.0787
2800,0.0712,-0.7619,0.768,0.0548,0.0546
2900,0.0691,-0.6765,0.9704,0.1076,0.1037
3000,0.0775,-0.5823,1.3566,0.2367,0.2295
3100,0.0793,-0.5012,1.0205,0.0593,0.0592
3200,0.0785,-0.4103,0.9944,0.0643,0.0663
3300,0.0768,-0.3311,0.9876,0.0773,0.0771
3400,0.0751,-0.2336,0.9119,0.0738,0.0764
3500,0.0734,-0.1328,1.0375,0.0661,0.0685
3600,0.0744,-0.0262,1.0361,0.1241,0.1263
3700,0.0823,0.0938,1.3866,0.0918,0.092
3800,0.0783,0.2397,0.8802,0.113,0.1143
3900,0.0736,0.3709,0.852,0.0899,0.0971
4000,0.0764,0.5171,1.0075,0.2174,0.2168
4100,0.0854,0.66,1.3475,0.0969,0.1018
4200,0.0839,0.7963,1.172,0.0599,0.0587
4300,0.0898,0.9249,1.7964,0.1357,0.1376
4400,0.0839,1.0355,1.1605,0.1871,0.1872
4500,0.0815,1.1645,1.1393,0.2301,0.2331
4600,0.0807,1.2765,1.2616,0.0648,0.0672
4700,0.0822,1.3997,1.0961,0.1223,0.1288
4800,0.0858,1.5104,1.7134,0.198,0.2059
4900,0.082,1.6159,1.328,0.2239,0.2264
5000,0.09,1.7138,1.1877,0.0985,0.0992
5100,0.0985,1.8386,1.403,0.202,0.2136
5200,0.0901,1.9527,1.2777,0.1012,0.1069
5300,0.0906,2.0594,1.5011,0.1061,0.1078
5400,0.0957,2.1562,1.3,0.1491,0.1541
5500,0.0894,2.2636,1.2605,0.0845,0.0872
5600,0.0859,2.358,1.3562,0.1513,0.1647
5700,0.0922,2.4701,1.8791,0.1858,0.1893
5800,0.0909,2.5937,1.4472,0.1076,0.1088
5900,0.091,2.6783,1.4851,0.0888,0.0884
6000,0.0849,2.767,1.3659,0.1227,0.128
6100,0.092,2.8571,1.6541,0.1523,0.1587
6200,0.087,2.9546,1.3906,0.213,0.2202
6300,0.0902,3.0442,1.4843,0.078,0.0772
6400,0.0894,3.1344,1.4628,0.0897,0.0878
6500,0.0936,3.2103,1.8423,0.1593,0.1636
6600,0.0894,3.2976,2.0553,0.2829,0.2952
6700,0.0888,3.4029,2.1334,0.0901,0.095
6800,0.0887,3.4797,1.3371,0.1839,0.1904
6900,0.0844,3.5625,1.5465,0.1519,0.1651
7000,0.0858,3.6406,1.411,0.1013,0.1053
7100,0.0852,3.7202,1.5326,0.0758,0.0748
7200,0.0875,3.7924,2.2726,0.2781,0.2926
7300,0.0914,3.8746,1.9128,0.077,0.0802
7400,0.0897,3.9462,2.5067,0.3617,0.3931
7500,0.0867,4.0207,2.3065,0.1425,0.1482
7600,0.0909,4.0856,3.143,0.1682,0.1828
7700,0.0885,4.176,3.6372,0.1693,0.1747
7800,0.0878,4.2301,1.9649,0.1391,0.1432
7900,0.0886,4.2927,2.5806,0.1197,0.1286
8000,0.089,4.3638,3.0048,0.0959,0.0977
8100,0.0974,4.4309,5.1672,0.1327,0.144
8200,0.0919,4.4969,4.6793,0.1806,0.199
8300,0.0918,4.5673,4.3727,0.19,0.2141
8400,0.0948,4.6285,8.0004,0.2231,0.2432
8500,0.0979,4.6844,4.5609,0.1492,0.1674
8600,0.0954,4.7377,3.7101,0.3617,0.4253
8700,0.0941,4.8011,7.4433,0.4957,0.5901
8800,0.0983,4.8517,8.3196,0.1155,0.1255
8900,0.0932,4.9065,7.3645,0.4835,0.5833
9000,0.0973,4.9724,11.0609,0.3968,0.4606
9100,0.098,5.0135,8.3874,0.472,0.5666
9200,0.1008,5.0471,7.3767,0.4472,0.5434
9300,0.0992,5.0843,12.215,0.4795,0.5776
9400,0.0969,5.1318,7.859,0.1134,0.126
9500,0.1006,5.1661,12.5228,0.2732,0.3241
9600,0.1011,5.2061,5.8639,0.1278,0.1418
9700,0.0998,5.2397,8.5401,0.4229,0.5257
9800,0.1,5.2691,14.8329,0.4207,0.5258
9900,0.1053,5.3196,12.8103,0.4071,0.5136
10000,0.1128,5.3474,22.4881,0.3731,0.4485
