env_steps,return,restorations,infiltrations,length,FPS,time
0,-46.75,42,699,100,0.0,0.3875
100,-64.5,53,646,100,479.9914,0.2083
200,-77.3,62,630,100,502.4954,0.199
300,-69.05,53,577,100,346.9197,0.2883
400,-66.1,43,838,100,479.3101,0.2086
500,-61.65,42,821,100,495.8891,0.2017
600,-77.4,64,544,100,484.2071,0.2065
700,-71.85,49,697,100,356.5451,0.2805
800,-63.65,50,657,100,492.5465,0.203
900,-72.15,67,327,100,500.2217,0.1999
1000,-66.75,66,403,100,5.62,17.7937
1100,-62.5,47,786,100,47.3185,2.1133
1200,-54.2,37,880,100,49.8973,2.0041
1300,-79.5,62,586,100,49.7541,2.0099
1400,-77.6,63,560,100,47.8189,2.0912
1500,-66.9,48,758,100,47.7248,2.0953
1600,-79.75,59,639,100,47.3545,2.1117
1700,-71.5,57,650,100,47.6183,2.1
1800,-63.25,44,809,100,47.5281,2.104
1900,-58.15,41,791,100,45.9544,2.1761
2000,-65.85,55,633,100,43.4489,2.3016
2100,-77.5,51,842,100,47.1988,2.1187
2200,-69.0,57,644,100,24.4328,4.0929
2300,-72.35,59,443,100,27.1376,3.6849
2400,-71.7,52,698,100,17.49,5.7176
2500,-72.35,64,479,100,17.8925,5.5889
2600,-59.8,53,608,100,47.7509,2.0942
2700,-60.4,41,796,100,49.1786,2.0334
2800,-73.75,58,623,100,50.9547,1.9625
2900,-62.45,51,649,100,54.4576,1.8363
3000,-50.55,43,703,100,50.605,1.9761
3100,-52.15,49,523,100,50.1802,1.9928
3200,-59.4,44,772,100,52.426,1.9075
3300,-59.8,47,672,100,52.6334,1.8999
3400,-77.0,53,740,100,52.0922,1.9197
3500,-78.3,52,734,100,50.8155,1.9679
3600,-59.05,37,937,100,51.7146,1.9337
3700,-64.55,43,823,100,50.0266,1.9989
3800,-77.25,56,713,100,52.8019,1.8939
3900,-72.3,61,418,100,55.3406,1.807
4000,-78.6,56,700,100,52.8306,1.8928
4100,-63.6,49,776,100,50.2679,1.9893
4200,-74.95,53,791,100,52.5078,1.9045
4300,-64.7,49,742,100,52.3226,1.9112
4400,-60.85,41,889,100,53.0011,1.8868
4500,-67.8,64,408,100,52.7454,1.8959
4600,-68.05,60,493,100,55.0734,1.8158
4700,-70.65,54,693,100,50.6909,1.9727
4800,-58.2,53,612,100,52.2189,1.915
4900,-54.15,36,851,100,52.2127,1.9152
5000,-60.35,53,627,100,50.6576,1.974
5100,-59.45,53,509,100,52.5173,1.9041
5200,-72.7,53,686,100,49.6981,2.0122
5300,-61.4,56,532,100,50.0269,1.9989
5400,-68.1,49,702,100,49.7993,2.0081
5500,-54.65,42,749,100,50.0796,1.9968
5600,-59.05,53,501,100,50.4784,1.9811
5700,-81.15,64,511,100,52.4713,1.9058
5800,-76.85,47,889,100,52.1711,1.9168
5900,-61.7,39,910,100,52.9333,1.8892
6000,-66.45,45,801,100,55.4791,1.8025
6100,-54.95,46,707,100,53.0458,1.8852
6200,-57.75,49,691,100,55.1181,1.8143
6300,-70.05,48,757,100,52.4147,1.9079
6400,-77.0,59,572,100,50.6275,1.9752
6500,-59.3,52,574,100,54.9401,1.8202
6600,-67.05,40,865,100,52.9048,1.8902
6700,-59.05,48,621,100,49.8895,2.0044
6800,-79.65,60,597,100,52.3679,1.9096
6900,-68.7,63,534,100,49.7906,2.0084
7000,-64.8,47,732,100,45.9642,2.1756
7100,-69.3,50,742,100,47.5389,2.1035
7200,-74.45,52,729,100,49.9202,2.0032
7300,-57.9,46,674,100,47.9519,2.0854
7400,-70.0,48,752,100,52.5455,1.9031
7500,-59.15,36,919,100,52.6259,1.9002
7600,-57.85,47,673,100,52.555,1.9028
7700,-64.7,39,894,100,49.9811,2.0008
7800,-70.9,48,754,100,54.6903,1.8285
7900,-66.35,55,511,100,50.9376,1.9632
8000,-68.55,45,815,100,52.6834,1.8981
8100,-45.05,39,689,100,52.711,1.8971
8200,-61.3,54,538,100,52.2975,1.9121
8300,-66.75,59,531,100,52.2293,1.9146
8400,-70.1,55,586,100,50.5961,1.9764
8500,-70.8,59,556,100,51.7676,1.9317
8600,-58.7,45,698,100,50.6319,1.975
8700,-70.45,54,625,100,54.6272,1.8306
8800,-68.1,62,406,100,46.0706,2.1706
