env_steps,return,invalid_actions,length,FPS,time
0,0.0,0.01,100,0.0,0.6963
100,0.0,0.01,100,11.4524,8.7318
200,0.0,0.03,100,12.8967,7.7539
300,0.0,0.02,100,13.0005,7.692
400,0.0,0.02,100,12.9401,7.7279
500,0.0,0.03,100,13.0074,7.688
600,0.0,0.03,100,12.997,7.6941
700,0.0,0.0,100,12.9837,7.7019
800,0.0,0.0,100,13.0044,7.6897
900,0.0,0.03,100,12.9295,7.7342
1000,0.0,0.01,100,0.0,0.4216
1100,0.0,0.0,100,13.0056,7.689
1200,0.0,0.02,100,12.9856,7.7009
1300,0.0,0.0,100,12.9658,7.7126
1400,0.0,0.04,100,12.9567,7.718
1500,0.0,0.0,100,12.9456,7.7246
1600,0.0,0.01,100,12.9717,7.7091
1700,0.0,0.01,100,12.9863,7.7004
1800,0.0,0.02,100,12.9961,7.6946
1900,0.0,0.01,100,12.9974,7.6939
2000,0.0,0.03,100,0.0,0.4212
2100,0.0,0.02,100,12.9766,7.7062
2200,0.0,0.01,100,12.9916,7.6973
2300,0.0,0.01,100,12.9811,7.7035
2400,0.0,0.02,100,12.9892,7.6987
2500,0.0,0.02,100,12.9601,7.716
2600,0.0,0.0,100,12.9452,7.7248
2700,0.0,0.01,100,12.9606,7.7157
2800,0.0,0.0,100,12.9237,7.7377
2900,0.0,0.02,100,12.8836,7.7618
3000,0.0,0.06,100,0.0,0.4315
3100,0.0,0.01,100,12.9015,7.7511
3200,0.0,0.03,100,12.891,7.7573
3300,0.0,0.05,100,12.9056,7.7486
3400,0.0,0.02,100,12.9436,7.7258
3500,0.0,0.05,100,12.9519,7.7209
3600,0.0,0.0,100,12.8819,7.7628
3700,0.0,0.06,100,12.9283,7.735
3800,0.0,0.05,100,12.9395,7.7283
3900,0.0,0.03,100,12.9316,7.733
4000,0.0,0.04,100,0.0,0.4238
4100,0.0,0.0,100,12.9225,7.7385
4200,0.0,0.03,100,12.9116,7.745
4300,0.0,0.0,100,12.9113,7.7451
4400,0.0,0.04,100,12.9395,7.7282
4500,0.0,0.01,100,12.9068,7.7479
4600,0.0,0.01,100,12.9098,7.7461
4700,0.0,0.03,100,12.9418,7.7269
4800,0.0,0.02,100,12.9709,7.7096
4900,0.0,0.02,100,12.9294,7.7343
5000,0.0,0.01,100,0.0,0.4346
5100,0.0,0.02,100,12.9013,7.7511
5200,0.0,0.05,100,12.9045,7.7492
5300,0.0,0.0,100,12.9428,7.7263
5400,0.0,0.0,100,12.9059,7.7484
5500,0.0,0.0,100,12.9457,7.7246
5600,0.0,0.02,100,12.9362,7.7303
5700,0.0,0.01,100,12.9612,7.7153
5800,0.0,0.02,100,12.9461,7.7243
5900,0.0,0.01,100,12.9226,7.7384
6000,0.0,0.01,100,0.0,0.4279
6100,0.0,0.01,100,12.9722,7.7088
6200,0.0,0.0,100,12.9697,7.7103
6300,0.0,0.02,100,12.9267,7.736
6400,0.0,0.01,100,12.9842,7.7017
6500,0.0,0.0,100,13.1387,7.6111
6600,0.0,0.0,100,13.086,7.6418
6700,0.0,0.01,100,13.0621,7.6558
6800,0.0,0.01,100,13.1149,7.6249
6900,0.0,0.03,100,13.1165,7.624
7000,0.0,0.04,100,0.0,0.4033
7100,0.0,0.0,100,13.0692,7.6516
7200,0.0,0.01,100,13.0046,7.6896
7300,0.0,0.0,100,12.5366,7.9766
7400,0.0,0.0,100,12.7638,7.8347
7500,0.0,0.0,100,12.8864,7.7601
7600,0.0,0.0,100,12.6643,7.8962
7700,0.0,0.02,100,12.6672,7.8944
