env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-8.9,0.02,0.9,100,0.0,0.7602
100,-9.4,0.02,0.94,100,22.0396,4.5373
200,-9.0,0.02,0.9,100,25.7169,3.8885
300,-7.7,0.0,0.81,100,25.3853,3.9393
400,-7.3,0.01,0.81,100,25.1824,3.971
500,-7.7,0.02,0.84,100,25.022,3.9965
600,-7.5,0.03,0.78,100,25.0239,3.9962
700,-6.9,0.0,0.73,100,25.3401,3.9463
800,-8.8,0.0,0.88,100,24.9692,4.0049
900,-4.1,0.02,0.65,100,25.7324,3.8862
1000,-6.2,0.0,0.71,100,0.0,0.429
1100,-5.6,0.0,0.72,100,25.3195,3.9495
1200,-5.7,0.01,0.7,100,25.6469,3.8991
1300,-6.1,0.0,0.67,100,25.1149,3.9817
1400,-7.4,0.0,0.74,100,25.4945,3.9224
1500,-6.6,0.02,0.79,100,25.398,3.9373
1600,-6.0,0.01,0.71,100,25.4592,3.9279
1700,-6.3,0.01,0.72,100,25.4185,3.9342
1800,1.0,0.01,0.72,100,25.0148,3.9976
1900,-6.4,0.01,0.77,100,24.9462,4.0086
2000,-6.1,0.02,0.8,100,0.0,0.4357
2100,-6.5,0.03,0.83,100,25.1369,3.9782
2200,-7.4,0.02,0.78,100,25.1162,3.9815
2300,-6.3,0.04,0.81,100,25.006,3.999
2400,-4.2,0.0,0.65,100,25.4179,3.9342
2500,-3.9,0.0,0.73,100,25.4403,3.9308
2600,-3.0,0.0,0.59,100,25.4715,3.926
2700,-5.9,0.0,0.69,100,25.3907,3.9385
2800,-5.1,0.01,0.67,100,24.8655,4.0216
2900,-3.7,0.03,0.71,100,24.7564,4.0394
3000,0.3,0.01,0.52,100,0.0,0.5239
3100,-0.4,0.0,0.45,100,24.1346,4.1434
3200,-2.8,0.01,0.5,100,23.8674,4.1898
3300,-1.3,0.0,0.34,100,25.3772,3.9405
3400,-3.2,0.02,0.78,100,25.0464,3.9926
3500,-1.8,0.0,0.48,100,25.1252,3.9801
3600,-1.2,0.01,0.7,100,24.9173,4.0133
3700,-4.0,0.0,0.66,100,25.1031,3.9836
3800,-6.8,0.0,0.78,100,24.7798,4.0356
3900,-1.0,0.0,0.4,100,24.5213,4.0781
4000,-5.0,0.01,0.64,100,0.0,0.4479
4100,-2.4,0.0,0.53,100,24.2132,4.13
4200,-3.7,0.0,0.57,100,25.2853,3.9549
4300,-2.4,0.0,0.49,100,25.2988,3.9528
4400,0.2,0.01,0.49,100,25.1626,3.9741
4500,-0.7,0.0,0.49,100,25.0724,3.9885
4600,-4.0,0.0,0.58,100,25.2147,3.9659
4700,-2.2,0.0,0.44,100,25.1033,3.9835
4800,1.4,0.0,0.36,100,24.9974,4.0004
4900,-0.8,0.0,0.35,100,24.9088,4.0146
5000,1.1,0.0,0.18,100,0.0,0.4511
5100,-2.8,0.0,0.47,100,24.9656,4.0055
5200,-1.3,0.0,0.4,100,25.1567,3.9751
5300,-2.6,0.01,0.5,100,25.1408,3.9776
5400,0.1,0.0,0.51,100,24.5088,4.0802
5500,-0.6,0.0,0.34,100,25.1442,3.9771
5600,-1.3,0.0,0.71,100,25.567,3.9113
5700,1.6,0.0,0.7,100,25.1633,3.974
5800,-1.8,0.0,0.45,100,25.2083,3.9669
5900,0.7,0.0,0.22,100,24.7453,4.0412
6000,-1.5,0.02,0.58,100,0.0,0.4481
6100,-4.8,0.02,0.63,100,24.8068,4.0312
6200,-3.1,0.0,0.59,100,24.9864,4.0022
6300,-3.6,0.0,0.59,100,24.9292,4.0114
6400,-5.3,0.0,0.68,100,24.9052,4.0152
6500,-4.5,0.0,0.76,100,25.0787,3.9874
6600,-5.6,0.0,0.68,100,25.4017,3.9368
6700,-8.0,0.18,0.83,100,25.3986,3.9372
6800,-2.9,0.01,0.5,100,25.2218,3.9648
6900,-5.6,0.02,0.67,100,25.29,3.9541
7000,-4.7,0.0,0.65,100,0.0,0.4454
7100,-3.0,0.0,0.52,100,24.151,4.1406
7200,-6.7,0.0,0.75,100,24.269,4.1205
7300,-2.6,0.0,0.63,100,24.5352,4.0758
7400,-3.9,0.0,0.72,100,24.5973,4.0655
7500,0.9,0.04,0.79,100,24.8078,4.031
7600,-8.8,0.0,0.9,100,24.7631,4.0383
7700,-3.9,0.02,0.65,100,24.8008,4.0321
7800,-5.1,0.01,0.64,100,24.6357,4.0591
7900,-5.6,0.02,0.68,100,24.9581,4.0067
8000,-9.4,0.02,0.94,100,0.0,0.4515
8100,-4.2,0.01,0.75,100,23.1992,4.3105
8200,-7.6,0.0,0.83,100,23.2349,4.3039
8300,-7.0,0.0,0.79,100,23.2185,4.3069
8400,-7.3,0.01,0.81,100,25.6008,3.9061
8500,-8.4,0.0,0.89,100,23.708,4.218
8600,-7.5,0.0,0.83,100,26.6583,3.7512
8700,-6.9,0.0,0.78,100,25.724,3.8874
8800,-6.9,0.0,0.77,100,23.8169,4.1987
8900,-9.4,0.0,0.94,100,23.2994,4.292
9000,-4.5,0.0,0.72,100,0.0,0.5342
9100,-7.3,0.0,0.78,100,23.0427,4.3398
9200,-9.7,0.0,0.97,100,26.9332,3.7129
9300,-7.3,0.03,0.78,100,24.0853,4.1519
9400,-6.3,0.0,0.75,100,24.6813,4.0516
9500,-6.4,0.0,0.75,100,24.6502,4.0568
9600,-9.3,0.01,0.93,100,24.8749,4.0201
9700,-6.1,0.0,0.7,100,25.1004,3.984
9800,-8.2,0.0,0.85,100,25.3978,3.9374
