env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
100,0.0025,-0.0616,0.001,0.0001
200,0.0006,-0.093,0.0037,0.0003
300,0.0012,-0.0885,0.0003,0.0
400,0.0008,-0.0724,0.0004,0.0
500,0.0006,-0.0642,0.0002,0.0
600,0.0004,-0.0576,0.0005,0.0001
700,0.0003,-0.051,0.0008,0.0001
800,0.0003,-0.0461,0.0003,0.0
900,0.0002,-0.0457,0.0001,0.0
1000,0.0002,-0.0396,0.0002,0.0
1100,0.0002,-0.0365,0.0009,0.0001
1200,0.0001,-0.0337,0.0004,0.0
1300,0.0001,-0.0307,0.0005,0.0
1400,0.0001,-0.0272,0.0007,0.0
1500,0.0001,-0.0264,0.0001,0.0
1600,0.0001,-0.0227,0.0001,0.0
1700,0.0001,-0.0206,0.0001,0.0
1800,0.0001,-0.0202,0.0001,0.0
1900,0.0001,-0.0178,0.0001,0.0
2000,0.0001,-0.0166,0.0001,0.0
