env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-9.5,0.01,0.95,100,0.0,0.838
100,-9.3,0.01,0.94,100,34.0553,2.9364
200,-7.7,0.0,0.85,100,43.2178,2.3139
300,-2.8,0.01,0.28,100,45.0853,2.218
400,-2.5,0.01,0.25,100,44.8805,2.2281
500,-0.2,0.0,0.02,100,45.0987,2.2174
600,0.0,0.0,0.0,100,45.4343,2.201
700,0.0,0.0,0.0,100,47.3474,2.1121
800,-0.1,0.0,0.01,100,47.4017,2.1096
900,0.0,0.0,0.0,100,47.7201,2.0956
1000,-0.2,0.0,0.02,100,0.0,0.4318
1100,-0.1,0.0,0.01,100,45.7049,2.1879
1200,-0.1,0.0,0.01,100,46.9682,2.1291
1300,-0.1,0.0,0.01,100,46.5741,2.1471
1400,-0.1,0.0,0.01,100,46.9798,2.1286
1500,0.0,0.0,0.0,100,46.6924,2.1417
1600,-0.1,0.0,0.01,100,48.1313,2.0777
1700,-0.1,0.0,0.01,100,47.5808,2.1017
1800,-0.1,0.0,0.01,100,46.9296,2.1309
1900,0.0,0.0,0.0,100,46.6914,2.1417
