env_steps,return,invalid_actions,length,FPS,time
0,-9.5,0.95,100,0.0,0.5888
100,-9.6,0.96,100,24.9021,4.0157
200,-9.1,0.91,100,29.1399,3.4317
300,-7.7,0.88,100,31.3315,3.1917
400,-8.5,0.87,100,31.0644,3.2191
500,-8.1,0.84,100,31.2698,3.198
600,-7.2,0.81,100,30.8152,3.2452
700,-8.4,0.89,100,31.1233,3.213
800,-9.4,0.94,100,31.1435,3.2109
900,-8.1,0.84,100,31.1582,3.2094
1000,-8.9,0.9,100,0.0,0.3994
1100,-9.1,0.91,100,31.1205,3.2133
1200,-7.5,0.82,100,31.015,3.2242
1300,-7.3,0.81,100,31.1553,3.2097
1400,-7.6,0.85,100,30.8319,3.2434
1500,-6.6,0.77,100,31.0127,3.2245
1600,-5.8,0.69,100,30.9831,3.2276
1700,-7.2,0.8,100,30.8239,3.2442
1800,-9.4,0.94,100,30.9906,3.2268
1900,-6.0,0.8,100,30.9903,3.2268
2000,-8.5,0.87,100,0.0,0.4045
2100,-8.6,0.88,100,31.0936,3.2161
2200,-8.4,0.86,100,31.0807,3.2174
2300,-8.5,0.9,100,30.9047,3.2358
2400,-8.9,0.91,100,31.0609,3.2195
2500,-3.4,0.74,100,31.0068,3.2251
2600,-5.6,0.78,100,31.2922,3.1957
2700,-6.9,0.77,100,31.0622,3.2194
2800,-6.4,0.74,100,31.1383,3.2115
2900,-7.9,0.84,100,31.1539,3.2099
3000,-9.3,0.93,100,0.0,0.4088
3100,-7.5,0.81,100,30.769,3.25
3200,-9.0,0.92,100,30.7153,3.2557
3300,-8.3,0.88,100,30.9134,3.2348
3400,-8.2,0.85,100,30.8515,3.2413
3500,-7.1,0.79,100,30.748,3.2522
3600,-5.9,0.73,100,30.8775,3.2386
3700,-7.4,0.85,100,30.9053,3.2357
3800,-5.6,0.7,100,30.9868,3.2272
3900,-8.2,0.86,100,30.891,3.2372
4000,-8.5,0.88,100,0.0,0.4035
4100,-7.1,0.79,100,30.718,3.2554
4200,-9.2,0.92,100,30.7746,3.2494
4300,-9.3,0.93,100,30.8449,3.242
4400,-8.1,0.85,100,30.9415,3.2319
4500,-8.0,0.85,100,30.8143,3.2452
4600,-7.4,0.85,100,30.7271,3.2545
4700,-6.9,0.76,100,30.6563,3.262
4800,-9.0,0.9,100,30.908,3.2354
4900,-7.6,0.83,100,30.6338,3.2644
5000,-8.7,0.87,100,0.0,0.4049
5100,-7.4,0.82,100,30.342,3.2958
5200,-8.2,0.85,100,30.6609,3.2615
5300,-8.5,0.87,100,30.7839,3.2485
5400,-9.0,0.9,100,31.077,3.2178
5500,-8.5,0.87,100,31.2635,3.1986
5600,-9.2,0.92,100,31.06,3.2196
5700,-9.3,0.94,100,31.2621,3.1988
5800,-8.8,0.91,100,30.8749,3.2389
5900,-5.6,0.8,100,30.9655,3.2294
6000,-9.4,0.94,100,0.0,0.4013
6100,-9.2,0.92,100,28.5429,3.5035
6200,-9.4,0.94,100,29.9951,3.3339
6300,-9.4,0.94,100,31.1374,3.2116
6400,-8.8,0.89,100,31.3454,3.1903
6500,-7.3,0.8,100,31.1493,3.2103
6600,-8.3,0.86,100,31.014,3.2244
6700,-9.3,0.93,100,31.2072,3.2044
6800,-9.0,0.9,100,30.9957,3.2263
6900,-8.4,0.87,100,31.0441,3.2212
7000,-8.7,0.88,100,0.0,0.4038
7100,-9.1,0.91,100,31.14,3.2113
7200,-9.0,0.92,100,31.2433,3.2007
7300,-9.7,0.97,100,31.25,3.2
7400,-9.1,0.91,100,31.3664,3.1881
7500,-8.9,0.89,100,31.1757,3.2076
7600,-9.2,0.92,100,31.1737,3.2078
7700,-8.8,0.89,100,31.2884,3.1961
7800,-9.0,0.9,100,31.092,3.2163
7900,-8.0,0.86,100,31.1676,3.2085
8000,-9.3,0.93,100,0.0,0.4037
8100,-9.5,0.95,100,30.6972,3.2576
8200,-8.6,0.87,100,31.3912,3.1856
8300,-9.9,0.99,100,31.2632,3.1986
8400,-9.4,0.94,100,30.6324,3.2645
8500,-9.2,0.92,100,31.0422,3.2214
8600,-9.3,0.93,100,31.1972,3.2054
8700,-8.9,0.91,100,31.3702,3.1877
8800,-2.3,0.75,100,31.322,3.1927
8900,-8.7,0.89,100,31.4996,3.1746
9000,-9.4,0.94,100,0.0,0.3936
9100,-9.5,0.95,100,31.3469,3.1901
9200,-8.1,0.86,100,31.2044,3.2047
9300,-8.5,0.88,100,31.2139,3.2037
9400,-9.6,0.96,100,31.2388,3.2011
9500,-5.7,0.72,100,27.926,3.5809
9600,-9.5,0.95,100,31.2628,3.1987
9700,-9.4,0.94,100,31.7898,3.1457
9800,-8.6,0.88,100,31.6546,3.1591
9900,-8.1,0.9,100,30.7411,3.253
10000,-9.7,0.97,100,0.0,0.4028
10100,-9.4,0.95,100,31.1265,3.2127
10200,-9.7,0.97,100,31.0272,3.223
10300,-9.7,0.97,100,31.0801,3.2175
10400,-9.2,0.92,100,31.3154,3.1933
10500,-9.8,0.98,100,31.3281,3.192
10600,-9.5,0.95,100,31.3998,3.1847
10700,-8.3,0.86,100,29.5418,3.385
10800,-9.4,0.94,100,29.6021,3.3781
10900,-9.4,0.94,100,27.6228,3.6202
11000,-9.3,0.93,100,0.0,0.4024
11100,-9.7,0.97,100,28.9522,3.454
11200,-9.1,0.91,100,30.837,3.2429
11300,-9.0,0.91,100,27.5926,3.6242
11400,-9.1,0.91,100,28.1203,3.5562
11500,-9.5,0.95,100,30.7145,3.2558
11600,-9.5,0.95,100,31.3224,3.1926
11700,-9.7,0.97,100,28.8793,3.4627
11800,-9.2,0.92,100,30.0425,3.3286
