env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-9.2,0.0,0.92,100,0.0,0.3534
100,-7.6,0.02,0.91,100,510.1958,0.196
200,-8.8,0.03,0.9,100,512.9649,0.1949
300,-9.3,0.03,0.93,100,523.6171,0.191
400,-9.6,0.01,0.96,100,505.626,0.1978
500,-8.5,0.03,0.88,100,516.7155,0.1935
600,-9.5,0.03,0.95,100,512.6703,0.1951
700,-9.1,0.03,0.91,100,522.038,0.1916
800,-9.6,0.01,0.96,100,512.7467,0.195
900,-9.1,0.03,0.92,100,520.185,0.1922
1000,-8.3,0.03,0.87,100,511.0381,0.1957
1100,-9.1,0.01,0.91,100,531.8806,0.188
1200,-9.2,0.0,0.92,100,517.6491,0.1932
1300,-9.4,0.01,0.94,100,525.5447,0.1903
1400,-9.2,0.01,0.92,100,509.9204,0.1961
1500,-8.3,0.01,0.86,100,523.7139,0.1909
1600,-9.7,0.02,0.97,100,513.9877,0.1946
1700,-9.6,0.01,0.96,100,519.1375,0.1926
1800,-8.7,0.01,0.89,100,518.178,0.193
1900,-7.2,0.0,0.88,100,520.5892,0.1921
2000,-9.6,0.0,0.96,100,516.5685,0.1936
2100,-9.5,0.02,0.95,100,525.6237,0.1903
2200,-9.5,0.0,0.95,100,508.4165,0.1967
2300,-9.7,0.03,0.97,100,527.9108,0.1894
2400,-8.5,0.04,0.88,100,507.9806,0.1969
2500,-9.8,0.0,0.98,100,530.6532,0.1884
2600,-8.7,0.03,0.89,100,505.6461,0.1978
2700,-9.2,0.03,0.92,100,511.8575,0.1954
2800,-9.8,0.0,0.98,100,516.8843,0.1935
2900,-8.9,0.02,0.91,100,515.2651,0.1941
3000,-9.0,0.01,0.91,100,507.9621,0.1969
3100,-9.5,0.02,0.95,100,524.4466,0.1907
3200,-9.7,0.0,0.97,100,514.3608,0.1944
3300,-9.4,0.03,0.94,100,518.4413,0.1929
3400,-9.7,0.02,0.97,100,519.2943,0.1926
3500,-8.3,0.0,0.86,100,513.9858,0.1946
3600,-9.4,0.04,0.94,100,511.258,0.1956
3700,-9.8,0.01,0.98,100,528.7393,0.1891
3800,-8.5,0.01,0.89,100,514.7743,0.1943
3900,-9.3,0.02,0.93,100,523.9847,0.1908
4000,-9.6,0.02,0.96,100,512.9969,0.1949
4100,-8.9,0.0,0.9,100,526.574,0.1899
4200,-9.4,0.01,0.94,100,518.9333,0.1927
4300,-9.6,0.03,0.96,100,523.4936,0.191
4400,-8.6,0.02,0.87,100,511.3702,0.1956
4500,-9.6,0.02,0.96,100,518.8363,0.1927
4600,-8.8,0.03,0.89,100,508.8909,0.1965
4700,-6.4,0.01,0.89,100,524.1203,0.1908
4800,-9.6,0.01,0.96,100,511.2006,0.1956
4900,-9.4,0.02,0.94,100,522.641,0.1913
