env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm,return,success,length,FPS
110,0.1968,0.0584,0.0569,-0.5367,3.9106,0.1,0.09,0.0381,0.0357,0.0269,,,,
121,0.056,0.0747,0.0748,-0.7364,3.5872,0.1,0.0966,0.0434,0.0241,0.0149,,,,
132,0.0922,0.0904,0.0912,-0.6975,3.4594,0.1,0.0931,0.0361,0.0158,0.0064,,,,
143,0.052,0.0379,0.0383,-0.6534,3.3399,0.1,0.1017,0.0308,0.0107,0.0017,,,,
154,0.0634,0.0498,0.0502,-0.6136,3.2037,0.1,0.1068,0.0268,0.0115,0.0028,,,,
165,0.0577,0.0424,0.0425,-0.5817,3.0669,0.1,0.1134,0.0246,0.0183,0.0059,,,,
176,0.0483,0.0383,0.0383,-0.5631,3.0076,0.1,0.1109,0.0223,0.0198,0.0065,,,,
187,0.058,0.0461,0.0459,-0.5569,3.0387,0.1,0.1101,0.0219,0.0221,0.0055,,,,
198,0.0457,0.0481,0.0479,-0.5645,3.1157,0.1,0.1045,0.0216,0.0154,0.0027,,,,
209,0.049,0.0742,0.0742,-0.58,3.156,0.1,0.1049,0.0216,0.0107,0.0017,,,,
220,0.042,0.0789,0.079,-0.5963,3.1478,0.1,0.1026,0.0216,0.0116,0.0027,,,,
231,0.0447,0.0923,0.0926,-0.6077,3.1487,0.1,0.0972,0.0211,0.0119,0.0031,,,,
242,0.0483,0.1252,0.1256,-0.6124,3.1799,0.1,0.0942,0.0221,0.0116,0.0028,,,,
253,0.0417,0.1359,0.1362,-0.6148,3.2167,0.1,0.0954,0.0224,0.0096,0.0019,,,,
264,0.0439,0.1463,0.1465,-0.6173,3.2422,0.1,0.093,0.0239,0.0069,0.0011,,,,
275,0.046,0.1452,0.1455,-0.6209,3.2531,0.1,0.0924,0.026,0.0058,0.0007,,,,
286,0.0424,0.1878,0.1881,-0.625,3.2574,0.1,0.091,0.0278,0.0055,0.0006,,,,
297,0.0518,0.1699,0.1702,-0.6288,3.2607,0.1,0.0905,0.0309,0.0052,0.0006,,,,
308,0.0501,0.1883,0.1884,-0.6327,3.2641,0.1,0.0888,0.0333,0.0048,0.0007,,,,
319,0.0661,0.1819,0.1818,-0.6352,3.2664,0.1,0.0902,0.0365,0.0041,0.0007,,,,
330,0.0495,0.2018,0.2017,-0.6369,3.269,0.1,0.0952,0.0418,0.0037,0.0006,,,,
341,0.0591,0.1896,0.1895,-0.6369,3.273,0.1,0.0968,0.0481,0.0038,0.0005,,,,
352,0.055,0.193,0.193,-0.6383,3.2788,0.1,0.0987,0.0545,0.0042,0.0004,,,,
363,0.0568,0.1955,0.1955,-0.6407,3.2858,0.1,0.1025,0.0626,0.0044,0.0004,,,,
374,0.0497,0.2159,0.2158,-0.6435,3.2915,0.1,0.1052,0.0711,0.0051,0.0004,,,,
385,0.0539,0.2017,0.2017,-0.646,3.2963,0.1,0.11,0.0827,0.005,0.0004,,,,
396,0.056,0.2332,0.2332,-0.6494,3.298,0.1,0.1156,0.0946,0.0042,0.0004,,,,
407,0.0418,0.2271,0.2271,-0.6482,3.298,0.1,0.1257,0.1144,0.0031,0.0004,,,,
