env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-1062.7001,0.1,0.0,100,0.0,2.844
100,-1056.6001,0.1,0.0,100,56.8763,1.7582
200,-917.6,0.17,0.0,100,72.653,1.3764
300,-952.9,0.18,0.0,100,71.0523,1.4074
400,-862.1,0.09,0.0,100,75.1859,1.33
500,-594.4,0.07,0.0,100,76.1068,1.3139
600,-682.0,0.07,0.0,100,79.5882,1.2565
700,-698.7001,0.08,0.0,100,72.5863,1.3777
800,-596.8,0.12,0.0,100,72.7558,1.3745
900,-505.0,0.1,0.0,100,68.4206,1.4616
1000,-792.9,0.08,0.0,100,0.0,0.69
1100,-602.8,0.13,0.0,100,80.5989,1.2407
1200,-520.4,0.15,0.0,100,83.4278,1.1986
1300,-639.6,0.16,0.0,100,75.0392,1.3326
1400,-672.2,0.25,0.0,100,72.9144,1.3715
1500,-631.4,0.28,0.0,100,71.162,1.4052
1600,-484.5,0.13,0.0,100,74.691,1.3389
1700,-463.0,0.16,0.0,100,76.5286,1.3067
1800,-518.7,0.1,0.0,100,79.9435,1.2509
1900,-382.7,0.09,0.0,100,75.4689,1.3251
2000,-366.6,0.18,0.0,100,0.0,0.6703
2100,-437.5,0.12,0.0,100,72.0772,1.3874
2200,-386.1,0.07,0.0,100,74.821,1.3365
2300,-387.5,0.01,0.0,100,75.3473,1.3272
2400,-426.8,0.11,0.0,100,76.9936,1.2988
2500,-393.2,0.09,0.0,100,73.8123,1.3548
2600,-321.7,0.09,0.0,100,67.1978,1.4881
2700,-314.6,0.06,0.0,100,73.8749,1.3536
2800,-284.3,0.01,0.0,100,73.5113,1.3603
2900,-244.5,0.05,0.0,100,77.1838,1.2956
3000,-279.4,0.06,0.0,100,0.0,0.6736
3100,-234.0,0.03,0.0,100,72.3991,1.3812
3200,-240.9,0.02,0.0,100,67.2351,1.4873
3300,-319.7,0.09,0.0,100,69.0275,1.4487
3400,-242.2,0.05,0.0,100,72.8759,1.3722
3500,-249.9,0.02,0.0,100,67.1001,1.4903
3600,-283.0,0.05,0.0,100,70.935,1.4097
3700,-207.7,0.0,0.0,100,66.963,1.4934
3800,-209.1,0.04,0.0,100,46.9424,2.1303
3900,-222.0,0.03,0.0,100,71.275,1.403
4000,-229.8,0.01,0.0,100,0.0,0.5715
4100,-178.1,0.03,0.0,100,77.763,1.286
4200,-199.9,0.04,0.0,100,71.7699,1.3933
4300,-209.0,0.02,0.0,100,66.5708,1.5022
4400,-206.7,0.0,0.0,100,69.5721,1.4374
4500,-205.9,0.01,0.0,100,73.9288,1.3527
4600,-177.8,0.01,0.0,100,76.1086,1.3139
4700,-182.7,0.01,0.0,100,72.7518,1.3745
4800,-137.4,0.0,0.0,100,71.2578,1.4034
4900,-130.5,0.0,0.0,100,67.5576,1.4802
5000,-121.2,0.0,0.0,100,0.0,0.6262
5100,-131.5,0.0,0.0,100,76.1871,1.3126
5200,-112.2,0.0,0.0,100,73.0918,1.3681
5300,-111.4,0.0,0.0,100,68.6322,1.457
5400,-115.3,0.0,0.0,100,71.9414,1.39
5500,-113.0,0.0,0.0,100,71.9211,1.3904
5600,-113.6,0.0,0.0,100,71.4699,1.3992
5700,-126.4,0.0,0.0,100,78.3849,1.2758
5800,-88.3,0.01,0.0,100,79.9362,1.251
5900,-66.3,0.0,0.0,100,71.4265,1.4
6000,-119.3,0.0,0.0,100,0.0,0.6894
6100,-90.2,0.01,0.0,100,68.9022,1.4513
6200,-101.4,0.0,0.0,100,72.1155,1.3867
6300,-76.3,0.0,0.0,100,76.6248,1.3051
6400,-86.3,0.0,0.0,100,75.9224,1.3171
6500,-42.1,0.0,0.0,100,68.9023,1.4513
6600,-60.3,0.0,0.0,100,67.5802,1.4797
6700,-70.3,0.0,0.0,100,76.6255,1.3051
6800,-44.2,0.0,0.0,100,75.8215,1.3189
6900,-73.8,0.0,0.0,100,78.3683,1.276
7000,-68.4,0.0,0.0,100,0.0,0.5885
7100,-55.4,0.0,0.0,100,67.1683,1.4888
7200,-9.3,0.0,0.0,100,67.0834,1.4907
7300,-31.4,0.0,0.0,100,71.2674,1.4032
7400,-30.4,0.0,0.0,100,78.3878,1.2757
7500,-9.2,0.0,0.0,100,73.9225,1.3528
7600,-74.3,0.01,0.0,100,75.1112,1.3314
7700,-10.5,0.0,0.0,100,69.5511,1.4378
7800,-10.5,0.0,0.0,100,68.3282,1.4635
7900,-38.3,0.0,0.0,100,68.5697,1.4584
