env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
100,0.0286,-0.1004,0.0033,0.0008
200,24.509,-3.7018,1.7385,0.7244
300,5.7787,-5.777,0.5744,0.34
400,0.2063,-5.2667,0.2791,0.186
500,1.518,-6.2246,0.3449,0.1972
600,1.0308,-7.2023,0.2116,0.1044
700,0.8791,-7.1128,0.193,0.1312
800,1.665,-7.701,0.2708,0.1444
900,0.5685,-8.4289,0.4672,0.2868
1000,0.2364,-7.9798,0.1883,0.1221
1100,0.3542,-8.7005,0.1944,0.113
1200,0.5839,-9.0021,0.2144,0.1404
1300,0.1982,-8.8034,0.0905,0.06
1400,0.3163,-9.6591,0.2226,0.1337
1500,0.3607,-9.5883,0.237,0.1729
1600,0.1126,-9.5297,0.1579,0.0898
1700,0.1769,-9.9529,0.2641,0.1668
1800,0.1563,-10.1444,0.1387,0.0824
1900,0.0631,-10.0797,0.1562,0.116
2000,0.2481,-10.5884,0.111,0.0841
2100,0.2614,-10.7639,0.3315,0.2148
2200,0.0719,-10.8333,0.1531,0.075
2300,0.1991,-11.2379,0.4251,0.2595
2400,0.1203,-11.2514,0.206,0.1235
2500,0.0394,-11.336,0.1802,0.11
2600,0.0969,-11.4452,0.1982,0.1448
2700,0.1561,-11.9517,0.2903,0.22
2800,0.0333,-11.5382,0.1958,0.1226
2900,0.1149,-11.8998,0.8957,0.5278
3000,0.1494,-12.1038,0.3835,0.2276
3100,0.0257,-12.081,1.1214,0.6586
3200,0.0935,-12.4067,2.2486,1.3506
3300,0.0929,-12.2254,1.7163,1.0113
3400,0.024,-12.3717,0.128,0.0816
3500,0.0749,-12.3114,0.3633,0.2294
3600,0.198,-12.5195,4.8162,2.7429
3700,0.0497,-12.752,0.4431,0.2719
3800,0.0793,-12.7093,0.2489,0.1476
3900,0.06,-12.8872,0.1726,0.1341
4000,0.018,-12.5351,0.4921,0.2831
4100,0.0442,-12.8969,0.7288,0.4385
4200,0.0774,-12.711,2.6643,1.5744
4300,0.0434,-12.7544,0.924,0.6236
4400,0.3145,-12.5808,0.7371,0.5234
4500,0.0806,-12.8751,0.1653,0.0986
4600,0.0184,-12.8949,0.0649,0.0457
4700,0.025,-12.5589,0.0571,0.0398
4800,0.0559,-12.6279,0.2769,0.1639
4900,0.0198,-12.4971,0.4016,0.2845
5000,0.0276,-12.599,0.3354,0.1886
5100,0.0404,-12.6638,0.1757,0.1288
5200,0.0244,-12.2349,1.004,0.6039
5300,0.0399,-12.1024,1.7553,1.1137
5400,0.1283,-11.9436,1.7812,1.0169
5500,0.0374,-12.1545,0.2631,0.1996
5600,0.0251,-11.7128,0.303,0.1913
5700,0.0352,-11.8683,0.7714,0.5553
5800,0.0839,-11.9019,2.2103,1.3455
5900,0.0474,-11.5343,0.3471,0.2609
6000,0.0415,-11.6725,0.9633,0.6436
6100,0.0466,-11.3445,0.5757,0.4162
6200,0.0471,-11.5821,0.932,0.7526
6300,0.4847,-11.473,0.8402,0.5399
6400,0.0569,-11.635,0.3331,0.1919
6500,0.0347,-11.6538,0.4992,0.2879
6600,0.0321,-11.1528,0.4043,0.251
6700,0.0249,-11.2312,0.1511,0.0958
6800,0.0313,-11.0915,0.1728,0.1089
6900,0.0363,-11.1832,0.4595,0.2713
7000,0.0313,-11.1398,0.6434,0.3864
7100,0.0632,-11.522,5.2077,2.8869
7200,0.1751,-11.5579,1.3582,0.7593
7300,0.0716,-11.2456,1.0762,0.6433
7400,0.0879,-11.0736,2.5877,1.5201
7500,0.3834,-11.374,1.4957,1.0813
7600,0.073,-11.3844,0.4468,0.3215
7700,0.0686,-11.1633,0.6065,0.3723
7800,0.2526,-11.4436,4.314,2.5947
7900,0.1364,-11.663,1.7608,0.9518
8000,0.0521,-11.6763,0.1961,0.1335
8100,0.1906,-12.0007,2.9464,1.7787
8200,0.1307,-11.6518,1.6177,1.1318
8300,0.1032,-11.3694,0.9076,0.6154
8400,0.1804,-11.7167,1.5912,1.1989
8500,0.2751,-11.7224,2.8334,1.7403
8600,0.2711,-12.182,0.686,0.4615
8700,0.092,-12.4297,0.9746,0.6087
8800,0.0459,-11.6622,0.425,0.2514
8900,0.045,-12.0678,0.4377,0.263
9000,0.1089,-12.0224,0.9061,0.6
9100,0.0561,-11.6009,0.3298,0.2437
9200,0.035,-11.7608,0.4785,0.3366
9300,0.1384,-11.5874,4.6812,3.7005
9400,0.1719,-11.8218,1.3518,0.949
9500,0.1031,-11.5813,0.4607,0.3039
9600,0.0513,-11.2705,0.3839,0.2264
9700,0.0409,-11.2006,1.4762,0.7725
9800,0.0585,-11.7214,1.438,0.782
9900,0.1632,-11.2247,5.0218,2.7686
10000,0.2561,-11.4428,2.8927,1.6664
