env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-516.5,0.1,0.0,100,0.0,0.0637
100,-720.4,0.11,0.0,100,163.8297,0.6104
200,-642.9,0.09,0.0,100,164.094,0.6094
300,-828.7,0.12,0.0,100,168.9426,0.5919
400,-989.5,0.13,0.0,100,170.6152,0.5861
500,-1061.2,0.17,0.0,100,170.9887,0.5848
600,-1005.0,0.04,0.0,100,172.7062,0.579
700,-991.4,0.33,0.0,100,167.2982,0.5977
800,-858.3,0.15,0.0,100,168.1475,0.5947
900,-976.4,0.16,0.0,100,170.1033,0.5879
1000,-972.6,0.09,0.0,100,0.0,0.0551
1100,-873.4,0.16,0.0,100,168.9717,0.5918
1200,-886.3,0.25,0.0,100,168.0707,0.595
1300,-784.4999,0.17,0.0,100,167.0771,0.5985
1400,-830.4999,0.18,0.0,100,169.2846,0.5907
1500,-978.8999,0.16,0.0,100,170.1531,0.5877
1600,-1076.7,0.0,0.0,100,171.5825,0.5828
1700,-1067.4,0.0,0.0,100,167.3595,0.5975
1800,-1033.5,0.0,0.0,100,168.1229,0.5948
1900,-1071.2999,0.0,0.0,100,169.13,0.5913
2000,-1075.1,0.0,0.0,100,0.0,0.0541
2100,-1011.9,0.0,0.0,100,171.2918,0.5838
2200,-1069.3,0.0,0.0,100,169.221,0.5909
2300,-1062.7999,0.0,0.0,100,169.287,0.5907
2400,-1106.9,0.0,0.0,100,169.2565,0.5908
2500,-1065.7,0.0,0.0,100,171.5352,0.583
2600,-1085.3,0.0,0.0,100,170.6916,0.5859
2700,-1069.1,0.0,0.0,100,169.6923,0.5893
2800,-1069.3,0.0,0.0,100,169.5738,0.5897
2900,-1071.2999,0.0,0.0,100,168.8795,0.5921
3000,-1070.9,0.0,0.0,100,0.0,0.0548
3100,-1085.2001,0.0,0.0,100,168.5454,0.5933
3200,-1105.9,0.0,0.0,100,167.7084,0.5963
3300,-1085.8,0.0,0.0,100,166.7859,0.5996
3400,-1072.3999,0.0,0.0,100,169.7254,0.5892
3500,-1011.9,0.0,0.0,100,167.5974,0.5967
3600,-1076.6,0.0,0.0,100,153.2783,0.6524
3700,-1015.1,0.0,0.0,100,152.8393,0.6543
3800,-1069.8,0.0,0.0,100,158.2832,0.6318
3900,-1066.2999,0.0,0.0,100,168.3473,0.594
4000,-1090.2999,0.0,0.0,100,0.0,0.059
4100,-1084.4,0.0,0.0,100,164.8046,0.6068
4200,-1066.4,0.0,0.0,100,156.4943,0.639
4300,-1080.1,0.0,0.0,100,162.3928,0.6158
4400,-1044.9999,0.0,0.0,100,159.9511,0.6252
4500,-1070.7,0.0,0.0,100,165.8385,0.603
4600,-1013.4,0.0,0.0,100,161.7921,0.6181
4700,-1053.3,0.0,0.0,100,161.9034,0.6177
4800,-1065.8999,0.0,0.0,100,159.565,0.6267
4900,-1046.5,0.0,0.0,100,158.7334,0.63
5000,-1072.3999,0.0,0.0,100,0.0,0.0575
5100,-1088.1,0.0,0.0,100,162.7257,0.6145
5200,-1085.4,0.0,0.0,100,155.651,0.6425
5300,-1032.4,0.0,0.0,100,158.1815,0.6322
5400,-1076.6,0.0,0.0,100,165.7171,0.6034
5500,-1067.2,0.0,0.0,100,167.9605,0.5954
5600,-1048.8,0.0,0.0,100,163.3587,0.6122
5700,-1070.8,0.0,0.0,100,158.4786,0.631
5800,-1071.7,0.0,0.0,100,162.4263,0.6157
5900,-1105.5,0.0,0.0,100,168.5465,0.5933
6000,-1068.0,0.0,0.0,100,0.0,0.0562
6100,-1095.1,0.0,0.0,100,166.5898,0.6003
6200,-1078.7999,0.0,0.0,100,157.7407,0.634
6300,-1070.7999,0.0,0.0,100,158.0111,0.6329
