env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
100,84.954,-1.7361,8.9254,7.5402
200,18.3897,-8.8116,6.3543,4.681
300,13.4968,-7.8625,4.7584,3.9584
400,9.1982,-8.5055,4.7228,3.5517
500,5.7581,-8.6461,6.2941,4.7861
600,4.4454,-8.183,8.8762,8.4065
700,4.2124,-8.7151,4.3446,3.7943
800,4.2124,-9.0865,14.5722,14.7102
900,4.5133,-9.078,12.3096,11.0766
1000,4.9824,-9.0557,5.6785,6.001
1100,4.8021,-9.3441,25.1234,27.8294
1200,4.5171,-9.7569,17.5696,19.31
1300,3.8671,-10.2014,10.4907,10.5784
1400,3.4315,-10.2792,8.3543,7.6086
1500,2.9675,-10.3834,18.2296,21.1331
1600,2.8638,-10.8179,13.0843,14.9461
1700,2.8419,-11.106,10.7949,11.6295
1800,2.4321,-11.4513,7.6853,7.7448
1900,2.3361,-11.6277,5.3668,5.2391
2000,2.7853,-12.0605,7.7914,8.5616
2100,2.7046,-12.2326,7.5914,8.5429
2200,3.9009,-12.4321,7.9195,8.7918
2300,4.4034,-12.9199,13.8078,16.1198
2400,3.9514,-13.388,11.293,12.7822
2500,3.4436,-13.4313,6.0672,7.1724
2600,3.9622,-13.7676,11.5775,12.3876
2700,4.1649,-14.2973,7.1436,6.9741
2800,3.9964,-14.7246,11.8089,12.8848
2900,3.7138,-15.3341,6.5239,6.013
3000,3.6545,-15.7623,9.3941,9.8631
3100,4.0719,-15.9673,9.3054,9.2222
3200,3.8556,-16.2376,18.2214,21.107
3300,4.0234,-16.7679,33.5007,43.6932
3400,4.0434,-16.9534,32.6941,41.8136
3500,4.4985,-17.5262,11.3948,9.5218
3600,4.1478,-17.9762,21.9809,27.4002
3700,3.9141,-18.3733,12.1876,15.0044
3800,4.4399,-18.729,18.1322,21.8778
3900,5.1661,-18.8832,20.582,25.9313
4000,5.1521,-19.4105,11.5203,9.0459
4100,4.9594,-19.5557,10.551,12.4798
4200,5.4533,-19.8947,23.3634,25.7344
4300,6.0334,-20.4615,24.9689,30.4741
4400,6.04,-20.8675,16.5599,21.27
4500,6.5017,-20.9521,23.5276,31.2751
4600,6.4492,-21.4338,23.6582,32.2796
4700,6.158,-21.4769,28.9314,37.639
4800,7.3415,-21.8362,39.7587,56.0465
4900,6.7658,-22.4133,42.4956,59.7673
5000,6.3975,-22.9448,33.648,45.9071
5100,7.4297,-22.9137,25.2481,35.7529
5200,7.9297,-23.3702,16.4536,17.5617
5300,6.8753,-23.8863,17.9,17.4739
