env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-1011.6,0.11,0.0,100,0.0,0.4519
100,-1070.7001,0.1,0.0,100,363.2904,0.2753
200,-1007.2001,0.09,0.0,100,408.0201,0.2451
300,-973.7,0.13,0.0,100,397.0412,0.2519
400,-691.1,0.15,0.0,100,382.6609,0.2613
500,-577.7,0.03,0.0,100,400.2642,0.2498
600,-829.9,0.11,0.0,100,408.425,0.2448
700,-811.9,0.11,0.0,100,395.2275,0.253
800,-625.6,0.11,0.0,100,398.761,0.2508
900,-627.0001,0.08,0.0,100,398.797,0.2508
1000,-593.9,0.12,0.0,100,0.0,0.1022
1100,-480.8,0.09,0.0,100,399.5218,0.2503
1200,-534.7,0.13,0.0,100,402.275,0.2486
1300,-697.7,0.1,0.0,100,408.4115,0.2449
1400,-606.9,0.22,0.0,100,398.57,0.2509
1500,-653.5,0.11,0.0,100,406.3653,0.2461
1600,-541.5,0.1,0.0,100,394.6187,0.2534
1700,-461.0,0.05,0.0,100,393.4217,0.2542
1800,-589.2,0.08,0.0,100,403.1039,0.2481
1900,-505.8,0.05,0.0,100,397.3613,0.2517
2000,-457.5,0.08,0.0,100,0.0,0.1032
2100,-321.3,0.15,0.0,100,403.3691,0.2479
2200,-476.0,0.35,0.0,100,400.982,0.2494
2300,-428.2,0.17,0.0,100,398.2794,0.2511
2400,-449.8,0.13,0.0,100,402.2287,0.2486
2500,-306.9,0.02,0.0,100,396.7434,0.2521
2600,-440.8,0.1,0.0,100,397.3726,0.2517
2700,-479.9,0.26,0.0,100,395.9236,0.2526
2800,-205.2,0.05,0.0,100,394.842,0.2533
2900,-310.6,0.04,0.0,100,393.3413,0.2542
3000,-226.6,0.02,0.0,100,0.0,0.1049
3100,-218.0,0.06,0.0,100,395.9468,0.2526
3200,-394.1,0.03,0.0,100,396.8947,0.252
3300,-358.9,0.41,0.0,100,401.8341,0.2489
3400,-258.9,0.01,0.0,100,396.632,0.2521
3500,-313.2,0.03,0.0,100,400.6281,0.2496
3600,-430.9,0.12,0.0,100,396.47,0.2522
3700,-158.7,0.03,0.0,100,389.7034,0.2566
3800,-416.0,0.14,0.0,100,399.2286,0.2505
3900,-255.2,0.04,0.0,100,387.8103,0.2579
4000,-121.1,0.02,0.0,100,0.0,0.1053
4100,-311.9,0.44,0.0,100,402.5476,0.2484
4200,-116.3,0.02,0.0,100,398.0753,0.2512
4300,-406.9,0.02,0.0,100,389.6343,0.2567
4400,-223.9,0.01,0.0,100,390.2557,0.2562
4500,-110.8,0.0,0.0,100,391.432,0.2555
4600,-108.0,0.02,0.0,100,393.2037,0.2543
4700,-199.8,0.0,0.0,100,386.1081,0.259
4800,-40.8,0.04,0.0,100,396.1416,0.2524
4900,-259.3,0.0,0.0,100,396.7734,0.252
5000,-398.8,0.01,0.0,100,0.0,0.1035
5100,-248.8,0.4,0.0,100,393.5952,0.2541
5200,-6.2,0.02,0.0,100,399.5511,0.2503
5300,-248.7,0.0,0.0,100,394.8074,0.2533
5400,0.0,0.0,0.0,100,401.871,0.2488
5500,-251.8,0.0,0.0,100,390.0278,0.2564
5600,-257.4,0.69,0.0,100,400.1649,0.2499
5700,0.0,0.0,0.0,100,402.8066,0.2483
5800,0.0,0.0,0.0,100,389.1412,0.257
5900,-0.1,0.0,0.0,100,392.8071,0.2546
6000,0.0,0.0,0.0,100,0.0,0.1037
6100,-258.9,0.71,0.0,100,401.1872,0.2493
6200,-10.5,0.04,0.0,100,385.8442,0.2592
6300,-0.1,0.01,0.0,100,399.3929,0.2504
6400,0.0,0.0,0.0,100,391.9848,0.2551
6500,0.0,0.0,0.0,100,386.0509,0.259
6600,-0.1,0.0,0.0,100,390.3214,0.2562
6700,-0.1,0.01,0.0,100,399.4104,0.2504
6800,-238.3,0.0,0.0,100,395.9879,0.2525
6900,-0.1,0.01,0.0,100,395.482,0.2529
7000,0.0,0.0,0.0,100,0.0,0.1069
7100,0.0,0.0,0.0,100,406.6924,0.2459
7200,-1.0,0.0,0.0,100,391.1382,0.2557
7300,0.0,0.0,0.0,100,393.207,0.2543
7400,-112.8,0.0,0.0,100,390.7519,0.2559
7500,0.0,0.0,0.0,100,399.6867,0.2502
7600,0.0,0.0,0.0,100,398.9135,0.2507
7700,-111.8,0.0,0.0,100,383.7283,0.2606
7800,0.0,0.0,0.0,100,382.7367,0.2613
7900,-0.1,0.01,0.0,100,385.5449,0.2594
