env_steps,critic_loss,q1
1000,44.4466,-32.6293
1100,55.5767,-65.0451
1200,62.2521,-69.7837
1300,71.347,-75.012
1400,67.6341,-79.4744
1500,78.3977,-84.027
1600,82.3021,-88.2128
1700,94.2459,-92.2078
1800,100.7233,-94.9266
1900,123.4641,-97.6787
2000,107.213,-101.4909
2100,113.0404,-104.4198
2200,132.0782,-107.8369
2300,139.1787,-110.529
2400,163.6708,-113.2204
2500,183.3204,-114.8559
2600,164.8786,-117.3329
2700,167.8707,-119.7087
2800,173.3239,-120.9206
2900,189.6753,-122.2972
3000,148.2232,-124.4561
3100,175.288,-125.7823
3200,213.2654,-127.3126
3300,182.439,-128.3746
3400,172.3048,-129.4282
3500,191.0448,-130.1295
3600,212.9843,-130.1344
3700,198.0617,-130.9954
3800,174.7283,-131.8273
3900,185.7039,-131.5671
4000,225.237,-131.7994
4100,201.982,-131.818
4200,203.2158,-132.105
4300,186.4787,-132.7883
4400,184.2023,-133.3125
4500,201.2916,-133.2632
4600,161.3831,-134.393
4700,184.5021,-134.7815
4800,229.6806,-134.9035
4900,195.7194,-135.468
5000,185.684,-136.0592
5100,192.0694,-136.5479
5200,226.9054,-137.0135
5300,199.8115,-137.4143
5400,193.8639,-137.6004
5500,169.0113,-138.2662
5600,148.8501,-139.2824
5700,217.9278,-139.1934
5800,196.6703,-139.7607
5900,155.9267,-140.6296
6000,210.1817,-140.8018
6100,237.7176,-140.8696
6200,204.539,-141.0086
6300,192.8576,-141.3785
6400,185.7083,-142.2594
6500,230.1185,-142.3108
6600,186.6057,-142.6065
6700,215.8214,-142.4435
6800,175.7879,-143.2439
6900,201.337,-142.9237
7000,154.4211,-143.9135
7100,231.9209,-143.0724
7200,227.8318,-143.3497
7300,220.6185,-142.9233
7400,191.9986,-143.5545
7500,157.8679,-144.1427
7600,264.3827,-143.4178
7700,225.0807,-143.4336
7800,206.4652,-143.609
7900,208.4718,-143.6064
8000,205.16,-144.1548
8100,229.5512,-144.1397
8200,209.208,-144.9422
8300,254.6701,-144.5459
8400,215.9363,-145.0259
8500,264.5196,-144.7089
8600,237.3704,-144.4113
8700,205.6953,-144.7466
8800,202.5237,-145.6841
8900,214.8589,-145.944
9000,255.5159,-145.594
9100,233.3309,-146.048
9200,204.8614,-146.5383
9300,247.5552,-146.3377
9400,220.0123,-146.2764
9500,221.0264,-146.7817
9600,228.8121,-146.8663
9700,202.3617,-147.3836
9800,245.3165,-147.1724
9900,215.5867,-147.578
10000,217.7671,-147.8745
10100,213.2387,-148.4161
10200,201.9201,-148.6507
10300,248.7991,-148.3162
10400,232.428,-148.403
10500,227.4791,-148.5115
10600,228.7961,-148.8126
10700,192.0824,-149.1055
10800,229.4316,-148.8722
10900,219.8841,-149.1325
11000,271.2116,-148.4963
11100,219.2083,-148.492
11200,256.1127,-148.2293
11300,239.4194,-148.3723
11400,211.7207,-148.4475
11500,289.8195,-147.6358
11600,251.8222,-147.5203
11700,247.7124,-147.3703
11800,244.9065,-147.3117
11900,186.4622,-147.8923
12000,247.5233,-147.347
12100,227.1211,-147.883
12200,237.0604,-147.5691
12300,216.4544,-148.086
12400,230.9287,-147.9822
12500,205.4651,-148.2804
12600,212.0335,-148.681
12700,172.3955,-149.0367
12800,209.1079,-148.8238
12900,222.1566,-148.9092
13000,223.7325,-149.0869
13100,256.0879,-148.7455
13200,218.1361,-148.7615
13300,229.4086,-148.9622
13400,202.3382,-149.3797
13500,216.5916,-149.3714
13600,255.7897,-149.1418
13700,237.5766,-148.9606
13800,182.0817,-149.8423
13900,228.0383,-149.8964
14000,235.3486,-149.9562
14100,227.7006,-150.0446
14200,241.9307,-150.0404
14300,218.3281,-150.5302
14400,190.0203,-151.0987
14500,268.5503,-150.4248
14600,258.4581,-150.4186
14700,201.7939,-150.7168
14800,229.9591,-150.5717
14900,227.8125,-150.5977
15000,199.0766,-150.9789
15100,281.2059,-150.321
15200,237.6173,-150.5564
15300,200.63,-151.2159
15400,261.3671,-151.0111
15500,258.963,-150.7015
15600,234.2042,-150.8736
15700,253.3739,-150.7845
15800,214.0856,-151.1445
15900,229.5589,-151.1244
16000,223.3941,-151.3475
16100,235.8364,-151.5729
16200,229.5048,-151.5435
16300,243.5542,-151.6346
16400,211.7849,-151.634
16500,249.8612,-151.8689
16600,209.442,-152.1624
16700,246.4768,-151.4447
16800,252.963,-151.4543
16900,255.9252,-151.4571
17000,284.7728,-150.8225
17100,257.735,-150.6404
17200,202.5267,-151.4606
17300,244.7535,-150.8432
17400,221.9938,-150.9444
17500,256.5281,-151.0175
17600,241.3515,-150.4667
17700,220.9509,-150.5326
17800,258.6421,-150.3899
17900,223.7251,-150.6889
18000,227.4575,-150.6935
18100,275.4505,-149.9138
18200,247.997,-150.3912
18300,199.8118,-150.4951
18400,245.1764,-150.4683
18500,254.0056,-150.2012
18600,230.8797,-150.3346
18700,218.4496,-150.5929
18800,230.5968,-150.6154
18900,230.3195,-150.2901
19000,202.4165,-150.8507
19100,258.1462,-150.7097
19200,267.0359,-150.6401
19300,232.9106,-150.5578
19400,259.4934,-150.2784
19500,231.1988,-150.4422
19600,208.4107,-150.3754
19700,218.4259,-150.4385
19800,225.0397,-150.3437
19900,250.4874,-149.9601
20000,267.5142,-149.7302
20100,211.5621,-150.2703
20200,208.5374,-150.1547
20300,261.6643,-150.1849
20400,212.5773,-150.1629
20500,229.5594,-150.1687
20600,245.8114,-149.5122
20700,190.903,-149.9866
20800,206.7301,-150.0569
20900,227.1779,-149.9888
21000,243.7542,-149.4965
21100,176.3213,-150.4234
21200,242.9564,-150.0572
21300,234.9115,-150.0055
21400,236.644,-149.2562
21500,239.3121,-149.4127
21600,228.9981,-149.3734
21700,208.1795,-149.0446
21800,192.2471,-149.1183
21900,256.2464,-148.6868
22000,223.9571,-148.8924
22100,224.0459,-148.5644
22200,257.4559,-148.3712
22300,244.1567,-148.0206
22400,216.5944,-148.0274
22500,244.6678,-147.5198
22600,261.0224,-147.2465
22700,219.1216,-147.1631
22800,220.9825,-147.2316
22900,267.7818,-146.6172
23000,204.4374,-146.7529
23100,196.4039,-147.1904
23200,177.1556,-147.4212
23300,218.2411,-147.5567
23400,201.2384,-147.5986
23500,197.9144,-147.5426
23600,237.2863,-147.3717
23700,225.0315,-147.057
23800,206.4014,-147.4462
23900,246.4428,-147.2668
24000,241.1774,-147.09
24100,255.8982,-146.7465
24200,227.8399,-146.8944
24300,274.2425,-146.4876
24400,226.3572,-146.6942
24500,240.0989,-146.4201
24600,208.7449,-146.8148
24700,212.2218,-146.9537
24800,207.7504,-147.1221
24900,246.0187,-147.0348
25000,226.6754,-146.7374
