env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-18.1,0.11,0.0,100,0.0,0.2595
100,-1071.5,0.08,0.0,100,491.5484,0.2034
200,-575.8,0.07,0.0,100,516.0144,0.1938
300,-19.1,0.11,0.0,100,531.0624,0.1883
400,-990.8,0.13,0.0,100,536.2182,0.1865
500,-357.1,0.03,0.0,100,504.9254,0.1981
600,-35.0,0.1,0.0,100,554.6341,0.1803
700,-698.8,0.11,0.0,100,519.9664,0.1923
800,-470.6,0.09,0.0,100,513.6641,0.1947
900,-46.8,0.08,0.0,100,540.4411,0.185
1000,-529.5,0.07,0.0,100,528.2346,0.1893
1100,-406.1,0.07,0.0,100,498.9346,0.2004
1200,-36.6,0.06,0.0,100,540.7191,0.1849
1300,-415.4,0.06,0.0,100,519.5587,0.1925
1400,-370.7,0.1,0.0,100,526.6566,0.1899
1500,-18.8,0.08,0.0,100,448.6678,0.2229
1600,-447.3,0.06,0.0,100,496.0914,0.2016
1700,-405.5,0.05,0.0,100,502.5177,0.199
1800,-11.4,0.04,0.0,100,516.5068,0.1936
1900,-285.1,0.03,0.0,100,490.2465,0.204
2000,-428.1,0.18,0.0,100,479.6917,0.2085
2100,-5.4,0.04,0.0,100,542.0643,0.1845
2200,-283.0,0.14,0.0,100,478.7231,0.2089
2300,-929.9,0.01,0.0,100,532.5133,0.1878
2400,-8.4,0.74,0.0,100,557.9914,0.1792
2500,-286.8,0.0,0.0,100,515.0632,0.1942
2600,-6.8,0.03,0.0,100,513.1181,0.1949
2700,-2.0,0.0,0.0,100,569.4597,0.1756
2800,-284.9,0.01,0.0,100,490.4466,0.2039
2900,-358.2,0.44,0.0,100,542.5102,0.1843
3000,-1.0,0.0,0.0,100,541.8024,0.1846
3100,-707.8,0.0,0.0,100,512.7154,0.195
3200,0.0,0.0,0.0,100,512.2326,0.1952
3300,-10.3,0.93,0.0,100,568.1299,0.176
3400,-279.8,0.0,0.0,100,508.9063,0.1965
3500,-352.5,0.0,0.0,100,532.1242,0.1879
3600,0.0,0.0,0.0,100,551.1641,0.1814
3700,-278.9,0.11,0.0,100,528.1069,0.1894
3800,0.0,0.0,0.0,100,510.814,0.1958
3900,0.0,0.0,0.0,100,540.5226,0.185
