env_steps,return,success,length,FPS
510,0.0,0.0,51.0,26.4716
561,0.0,0.0,51.0,25.3974
612,0.0,0.0,51.0,25.0777
663,0.0,0.0,51.0,24.9673
714,0.0,0.0,51.0,25.1357
765,0.0,0.0,51.0,25.0957
816,0.0,0.0,51.0,25.2664
867,0.0,0.0,51.0,25.1622
918,0.0,0.0,51.0,25.1779
969,0.0,0.0,51.0,25.3924
1020,0.0,0.0,51.0,25.3319
1020,0.0,0.0,51.0,0.0
1071,0.0,0.0,51.0,25.1447
1122,0.0,0.0,51.0,25.0989
1173,0.0,0.0,51.0,25.1814
1224,0.0,0.0,51.0,25.6289
1275,0.0,0.0,51.0,25.263
1326,0.0,0.0,51.0,24.983
1377,0.0,0.0,51.0,25.2013
1428,0.0,0.0,51.0,25.2571
1479,0.0,0.0,51.0,25.2417
1530,0.0,0.0,51.0,25.2214
1530,0.0,0.0,51.0,0.0
1581,0.0,0.0,51.0,25.2752
1632,0.0,0.0,51.0,25.5493
1683,0.0,0.0,51.0,25.4215
1734,0.0,0.0,51.0,24.8161
1785,0.0,0.0,51.0,24.9445
1836,0.0,0.0,51.0,25.3487
1887,0.0,0.0,51.0,25.3894
1938,0.0,0.0,51.0,25.2874
1989,0.0,0.0,51.0,24.7108
2040,0.0,0.0,51.0,25.1028
2040,0.0,0.0,51.0,0.0
