env_steps,return,restorations,infiltrations,length,FPS,time
0,-764.0,67,429,100,0.0,0.104
100,-834.0,67,499,100,1204.7405,0.083
200,-810.0,68,470,100,1388.6401,0.072
300,-696.0,61,391,100,1267.6286,0.0789
400,-803.0,66,473,100,1322.0191,0.0756
500,-722.0,65,397,100,1289.7257,0.0775
600,-743.0,66,413,100,1425.6254,0.0701
700,-721.0,65,396,100,1347.7451,0.0742
800,-776.0,62,466,100,1303.3398,0.0767
900,-659.0,67,324,100,1385.8779,0.0722
1000,-798.0,66,468,100,1378.2545,0.0726
1100,-821.0,65,496,100,1269.4048,0.0788
1200,-748.0,67,413,100,1401.5445,0.0714
1300,-760.0,67,425,100,1255.0018,0.0797
1400,-791.0,65,466,100,1323.2036,0.0756
1500,-770.0,66,440,100,1203.6031,0.0831
1600,-741.0,70,391,100,1284.5355,0.0779
1700,-872.0,65,547,100,1253.1907,0.0798
1800,-676.0,57,391,100,1249.0334,0.0801
1900,-770.0,68,430,100,1198.2562,0.0835
2000,-729.0,69,384,100,1338.9125,0.0747
2100,-698.0,66,368,100,1396.235,0.0716
2200,-794.0,70,444,100,1313.3015,0.0761
2300,-773.0,62,463,100,1415.5647,0.0706
2400,-814.0,65,489,100,1324.8838,0.0755
2500,-800.0,69,455,100,1386.7622,0.0721
2600,-650.0,66,320,100,1326.6355,0.0754
2700,-778.0,69,433,100,1400.2858,0.0714
2800,-734.0,62,424,100,1187.8011,0.0842
2900,-726.0,64,406,100,1414.8055,0.0707
3000,-799.0,70,449,100,1311.7407,0.0762
3100,-826.0,63,511,100,1365.08,0.0733
3200,-724.0,62,414,100,1364.4672,0.0733
3300,-682.0,61,377,100,1327.7526,0.0753
3400,-747.0,65,422,100,1416.8127,0.0706
3500,-781.0,66,451,100,1385.7817,0.0722
3600,-745.0,66,415,100,1119.8876,0.0893
3700,-838.0,66,508,100,1310.3187,0.0763
3800,-732.0,69,387,100,1333.0655,0.075
3900,-795.0,70,445,100,1361.5129,0.0735
4000,-891.0,63,576,100,1166.014,0.0858
4100,-697.0,66,367,100,1309.7786,0.0764
4200,-814.0,69,469,100,1291.4134,0.0774
4300,-830.0,67,495,100,1365.009,0.0733
4400,-800.0,64,480,100,1261.4828,0.0793
4500,-821.0,67,486,100,1272.2117,0.0786
4600,-684.0,65,359,100,862.4027,0.116
4700,-762.0,69,417,100,1061.3064,0.0942
4800,-627.0,65,302,100,1151.4747,0.0868
4900,-909.0,70,559,100,1225.3298,0.0816
