env_steps,return,length,FPS,time
0,-640.0,100,0.0,1.1357
100,-630.0,100,34.9649,2.86
200,-694.0,100,43.1761,2.3161
300,-610.0,100,45.0104,2.2217
400,43.0,13,52.1387,1.918
413,-14.0,16,36.4661,0.3565
429,-214.0,46,33.2229,0.4816
475,-214.0,52,42.4222,1.0843
527,-700.0,100,37.0651,1.4029
627,60.0,6,52.5897,1.9015
633,-485.0,77,13.373,0.4487
710,-255.0,53,46.3669,1.6607
763,81.0,5,50.0697,1.0585
768,30.0,12,26.9106,0.1858
780,-680.0,100,18.8252,0.6374
880,49.0,7,52.2316,1.9146
887,-101.0,31,23.557,0.2972
918,98.0,2,52.8233,0.5869
920,-192.0,38,8.7536,0.2285
958,-666.0,90,35.3519,1.0749
1048,19.0,19,0.0,0.0933
1067,-580.0,100,23.996,0.7918
1167,-195.0,41,48.7181,2.0526
1208,-373.0,57,38.9741,1.052
1265,-279.0,51,42.5194,1.3406
1316,59.0,7,51.595,0.9885
1323,64.0,6,39.0383,0.1793
1329,-334.0,58,16.4083,0.3657
1387,-264.0,52,46.469,1.2481
1439,-704.0,100,36.8598,1.4108
1539,-710.0,100,44.3661,2.254
1639,-454.0,100,43.4945,2.2991
1739,-304.0,76,45.8375,2.1816
1815,-474.0,100,41.6241,1.8259
1915,-470.0,100,43.8413,2.281
2015,95.0,5,0.0,0.027
2020,-475.0,89,10.185,0.4909
2109,-173.0,39,48.2964,1.8428
2148,-380.0,100,33.3735,1.1686
2248,-830.0,100,43.894,2.2782
2348,-540.0,100,43.8883,2.2785
2448,-694.0,100,43.4974,2.299
2548,-344.0,100,44.012,2.2721
2648,-844.0,100,42.6843,2.3428
2748,-390.0,100,43.5592,2.2957
2848,-364.0,100,43.2066,2.3145
2948,-324.0,100,42.9001,2.331
3048,-364.0,100,0.0,0.412
3148,-370.0,100,41.2476,2.4244
3248,-904.0,100,43.5451,2.2965
3348,-290.0,100,42.9456,2.3285
3448,-324.0,100,43.6023,2.2935
3548,-280.0,100,43.7267,2.2869
3648,-324.0,100,42.951,2.3282
3748,-654.0,100,42.9644,2.3275
3848,-330.0,100,43.681,2.2893
3948,-230.0,100,42.3881,2.3592
4048,-280.0,100,0.0,0.3913
4148,-136.0,78,44.0298,2.2712
4226,-244.0,100,41.7563,1.868
4326,-230.0,100,42.5692,2.3491
4426,-204.0,100,40.3432,2.4787
4526,-204.0,100,43.1812,2.3158
4626,-184.0,100,42.1555,2.3722
4726,-170.0,100,42.3076,2.3636
4826,-194.0,100,43.0929,2.3206
4926,-164.0,100,41.2228,2.4258
5026,-180.0,100,0.0,0.4223
5126,-164.0,100,40.5463,2.4663
5226,-164.0,100,42.5839,2.3483
5326,-160.0,100,33.2772,3.0051
5426,-170.0,100,43.2713,2.311
5526,-164.0,100,44.1564,2.2647
5626,-174.0,100,43.2897,2.31
5726,-160.0,100,43.9279,2.2765
5826,-160.0,100,42.3404,2.3618
5926,-1110.0,100,43.2357,2.3129
6026,-160.0,100,0.0,0.4092
6126,-160.0,100,44.7372,2.2353
6226,-170.0,100,44.4463,2.2499
6326,-160.0,100,43.2204,2.3137
6426,-174.0,100,44.4854,2.2479
6526,-160.0,100,40.6946,2.4573
6626,-174.0,100,42.6285,2.3458
6726,-164.0,100,41.2061,2.4268
6826,-428.0,100,44.589,2.2427
6926,-170.0,100,44.3066,2.257
7026,-460.0,100,0.0,0.4334
7126,-160.0,100,43.5051,2.2986
7226,-174.0,100,42.0818,2.3763
7326,-734.0,100,43.1288,2.3186
7426,-170.0,100,41.4709,2.4113
7526,-580.0,100,42.7227,2.3407
7626,-994.0,100,44.4065,2.2519
7726,-164.0,100,43.7859,2.2838
7826,-1130.0,100,43.1784,2.316
7926,-670.0,100,43.4354,2.3023
8026,-1144.0,100,0.0,0.4042
8126,-160.0,100,43.4816,2.2998
8226,-914.0,100,43.4033,2.304
8326,-240.0,100,43.0009,2.3255
8426,-670.0,100,44.4024,2.2521
8526,-160.0,100,46.0725,2.1705
8626,-514.0,100,40.8543,2.4477
8726,-174.0,100,45.3681,2.2042
8826,-170.0,100,40.908,2.4445
8926,-164.0,100,41.6162,2.4029
9026,-1154.0,100,0.0,0.3971
9126,-160.0,100,44.7801,2.2331
9226,-160.0,100,46.5878,2.1465
9326,-644.0,100,43.4045,2.3039
9426,-160.0,100,45.5982,2.1931
9526,-170.0,100,40.519,2.468
9626,-140.0,24,51.7031,1.9341
9650,-220.0,100,28.3243,0.8473
9750,-164.0,100,44.6984,2.2372
9850,-334.0,100,45.6637,2.1899
9950,-314.0,100,41.4209,2.4142
10050,-160.0,100,0.0,0.3976
10150,-170.0,100,42.6589,2.3442
10250,-654.0,100,42.891,2.3315
10350,-944.0,100,41.4252,2.414
10450,-105.0,53,52.216,1.9151
10503,-480.0,100,40.8967,1.2959
10603,-690.0,100,41.6911,2.3986
10703,-174.0,100,42.5237,2.3516
10803,-174.0,100,46.2461,2.1623
10903,-360.0,100,43.4314,2.3025
11003,-180.0,100,0.0,0.3962
11103,-180.0,100,40.3207,2.4801
11203,-1154.0,100,42.7438,2.3395
11303,-1134.0,100,43.2321,2.3131
11403,-164.0,100,45.3844,2.2034
11503,-40.0,24,55.1037,1.8148
11527,-204.0,100,29.0306,0.8267
11627,-164.0,100,40.9294,2.4432
11727,-160.0,100,40.5077,2.4687
11827,-254.0,100,41.7676,2.3942
11927,-1020.0,100,44.5214,2.2461
12027,-394.0,100,0.0,0.4119
12127,-160.0,100,44.1009,2.2675
12227,-380.0,100,44.4459,2.2499
12327,-814.0,100,44.5733,2.2435
12427,-164.0,100,44.1652,2.2642
12527,-170.0,100,44.6075,2.2418
12627,-164.0,100,44.2268,2.2611
12727,-170.0,100,44.0002,2.2727
12827,-174.0,100,43.7475,2.2858
12927,-544.0,100,44.431,2.2507
13027,-394.0,100,0.0,0.419
13127,-210.0,100,43.952,2.2752
13227,98.0,2,53.6791,1.8629
13229,-534.0,100,4.3683,0.4578
13329,-160.0,100,44.0927,2.2679
13429,-630.0,100,43.3618,2.3062
13529,-1034.0,100,43.4924,2.2993
13629,-194.0,100,42.7133,2.3412
13729,-194.0,100,42.2882,2.3647
13829,-230.0,100,43.3201,2.3084
13929,-404.0,100,45.2552,2.2097
14029,-164.0,100,0.0,0.4521
14129,-204.0,100,42.2003,2.3697
14229,-1024.0,100,44.3911,2.2527
14329,-190.0,100,42.2801,2.3652
14429,-264.0,100,42.5888,2.348
14529,-774.0,100,42.3368,2.362
14629,-570.0,100,44.3628,2.2541
14729,-164.0,100,43.9405,2.2758
14829,-230.0,100,43.1908,2.3153
14929,-1154.0,100,42.0203,2.3798
15029,-844.0,100,0.0,0.3977
15129,-610.0,100,46.7588,2.1386
15229,-494.0,100,44.0606,2.2696
15329,-1034.0,100,43.7483,2.2858
15429,-680.0,100,43.7738,2.2845
15529,-194.0,100,43.9592,2.2748
15629,-994.0,100,42.7691,2.3381
15729,-155.0,25,49.1303,2.0354
15754,-510.0,100,28.8744,0.8658
15854,-624.0,100,41.3197,2.4202
15954,-224.0,100,44.0072,2.2724
16054,-204.0,100,0.0,0.3924
16154,-164.0,100,42.5619,2.3495
16254,-490.0,100,42.6591,2.3442
16354,-164.0,100,45.222,2.2113
16454,-184.0,100,42.5547,2.3499
16554,-400.0,100,45.6628,2.19
16654,-670.0,100,43.3904,2.3047
16754,-180.0,100,44.9235,2.226
16854,-160.0,100,43.3142,2.3087
16954,-170.0,100,47.0883,2.1237
17054,-164.0,100,0.0,0.3937
17154,-174.0,100,43.4419,2.3019
17254,-160.0,100,43.3078,2.3091
17354,-184.0,100,43.7259,2.287
17454,-164.0,100,44.3061,2.257
17554,-174.0,100,42.381,2.3595
17654,-204.0,100,43.5428,2.2966
17754,-160.0,100,46.8021,2.1367
17854,-450.0,100,45.8441,2.1813
17954,-194.0,100,44.3038,2.2571
18054,-174.0,100,0.0,0.3961
18154,-174.0,100,42.9277,2.3295
18254,-174.0,100,47.7502,2.0942
