env_steps,return,length,FPS,time
0,57.0,9,0.0,0.5833
9,-656.0,100,7.6943,1.1697
109,-712.0,100,47.0527,2.1253
209,-666.0,100,46.7428,2.1394
309,48.0,14,55.8233,1.7914
323,-720.0,100,21.8862,0.6397
423,-24.0,16,54.7781,1.8255
439,-692.0,100,23.31,0.6864
539,-616.0,100,47.5383,2.1036
639,-592.0,100,47.1884,2.1192
739,-710.0,100,47.2947,2.1144
839,-231.0,47,53.034,1.8856
886,-520.0,100,38.0301,1.2359
986,-552.0,100,48.2533,2.0724
1086,-606.0,100,0.0,0.3936
1186,-466.0,100,48.2897,2.0708
1286,-472.0,100,48.2062,2.0744
1386,-566.0,100,48.8102,2.0488
1486,-506.0,100,47.2295,2.1173
1586,-512.0,100,48.1214,2.0781
1686,-86.0,48,52.2229,1.9149
1734,-506.0,100,40.291,1.1913
1834,69.0,9,57.143,1.75
1843,-506.0,100,15.9697,0.5636
1943,-17.0,19,55.297,1.8084
1962,-661.0,95,26.3047,0.7223
2057,-856.0,100,0.0,0.3951
2157,-115.0,23,56.3216,1.7755
2180,-94.0,28,42.7196,0.5384
2208,-3.0,15,54.7101,0.5118
2223,-172.0,36,35.9614,0.4171
2259,-71.0,19,53.754,0.6697
2278,-211.0,47,34.6707,0.548
2325,67.0,9,53.7479,0.8745
2334,-415.0,81,17.5405,0.5131
2415,-632.0,100,45.5811,1.7771
2515,-77.0,31,55.8384,1.7909
2546,-44.0,28,47.3208,0.6551
2574,-300.0,64,37.1341,0.754
2638,57.0,9,58.5549,1.093
2647,44.0,12,38.5336,0.2336
2659,-556.0,100,20.1139,0.5966
2759,-255.0,75,48.9097,2.0446
2834,-416.0,100,43.8572,1.7101
2934,-370.0,100,48.2107,2.0742
3034,-426.0,100,0.0,0.3982
3134,-83.0,33,54.3664,1.8394
3167,-163.0,55,39.7669,0.8298
3222,-434.0,100,40.2966,1.3649
3322,-346.0,100,47.6944,2.0967
3422,-346.0,100,47.529,2.104
