env_steps,return,restorations,length,FPS,time
0,-895.0,31,100,0.0,0.6841
100,-1009.0,28,100,41.6328,2.402
200,-1049.0,29,100,48.4928,2.0622
300,-933.0,25,100,48.5384,2.0602
400,-920.0,28,100,49.5786,2.017
500,-1080.0,27,100,48.7844,2.0498
600,-884.0,26,100,48.7308,2.0521
700,-915.0,26,100,49.4464,2.0224
800,-925.0,26,100,48.9279,2.0438
900,-1033.0,23,100,47.9593,2.0851
1000,-1038.0,27,100,48.5344,2.0604
1100,-974.0,25,100,48.0746,2.0801
1200,-1040.0,27,100,49.1066,2.0364
1300,-1032.0,26,100,48.5639,2.0591
1400,-946.0,27,100,48.4669,2.0633
1500,-1058.0,28,100,49.9614,2.0015
1600,-879.0,25,100,47.8328,2.0906
1700,-1045.0,24,100,48.8707,2.0462
1800,-989.0,26,100,48.4488,2.064
1900,-1056.0,25,100,49.4979,2.0203
2000,-954.0,25,100,48.802,2.0491
2100,-1010.0,25,100,48.0877,2.0795
2200,-1036.0,23,100,48.017,2.0826
2300,-892.0,25,100,45.4898,2.1983
2400,-1035.0,26,100,47.4878,2.1058
2500,-993.0,22,100,50.4246,1.9832
2600,-1028.0,28,100,49.0692,2.0379
2700,-1136.0,21,100,49.8154,2.0074
2800,-1154.0,21,100,48.2496,2.0726
2900,-933.0,22,100,49.4942,2.0204
3000,-1067.0,21,100,50.6496,1.9743
3100,-1139.0,19,100,48.5934,2.0579
3200,-1047.0,21,100,49.3831,2.025
3300,-1132.0,16,100,45.954,2.1761
3400,-1133.0,19,100,48.3261,2.0693
