env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
100,4.8797,-0.1628,0.4155,0.21
200,4.7028,0.5141,0.4697,0.4625
300,4.0848,0.9007,1.0149,2.4618
400,6.3775,1.4661,0.6484,1.2053
500,6.4062,2.0532,1.5608,3.516
600,5.6167,2.9127,0.7256,1.2213
700,4.7188,4.3486,0.8993,1.5374
800,4.0038,5.5629,8.8208,18.8149
900,3.7465,7.6667,2.0683,4.8686
1000,4.6403,9.7131,2.415,4.8113
1100,5.2158,12.0646,22.836,49.2391
1200,4.8811,12.4784,14.3029,34.0384
1300,4.3756,13.4244,4.9572,10.1713
1400,4.4761,14.3164,15.4016,33.5678
1500,5.4584,15.276,3.6561,7.4183
1600,5.5916,16.0382,25.6553,70.0684
1700,5.991,17.7359,12.5487,28.6849
1800,6.4082,19.3037,13.6427,32.5637
1900,6.1571,20.9314,5.1065,11.4459
2000,6.3244,22.1946,31.7943,76.6879
2100,7.0067,23.7011,37.0513,98.7941
2200,7.1713,25.4096,26.5773,64.4154
2300,8.3598,27.3075,20.6956,50.522
2400,9.0481,29.419,46.8289,126.9552
2500,9.0934,31.6386,41.2523,102.1499
2600,9.6834,33.9032,16.0566,42.7892
2700,10.1197,35.3666,51.7761,135.6136
2800,12.6695,38.1054,95.8906,254.9899
2900,12.9227,40.2324,95.7192,260.4326
3000,23.3046,43.4611,27.822,76.5814
3100,17.0755,46.8479,61.2937,163.2834
3200,20.3218,49.754,62.0012,171.3348
3300,20.8979,52.8973,123.8882,332.9535
3400,25.9198,56.0577,50.0411,127.1813
3500,29.3204,59.3569,202.491,506.1228
3600,38.0384,63.5478,724.8878,2045.5477
3700,32.8591,66.1232,346.4702,1037.3523
3800,38.9026,70.5875,339.3555,941.5737
3900,46.2489,75.1761,354.7626,997.5913
4000,56.2166,80.5784,935.4365,2608.0649
4100,63.2072,84.0995,575.2843,1568.0462
4200,63.2307,88.4768,914.025,2606.1361
4300,75.4427,92.8007,355.9177,998.4655
4400,73.6601,97.6264,222.0517,617.8848
4500,83.6059,102.4285,522.5878,1432.5519
4600,103.883,106.21,367.0456,974.3901
4700,104.0787,111.9222,657.7946,1882.8479
4800,112.0061,115.9639,1377.7869,4179.7292
4900,124.1347,121.2237,1883.3699,5295.6637
5000,130.2415,125.8385,1063.4722,2878.4066
5100,134.8038,131.6926,1524.4099,4228.6741
5200,153.8867,137.3829,1763.3041,5098.9879
5300,162.3849,142.5657,836.9558,2330.2467
5400,172.8858,148.2707,2072.1392,5447.321
5500,192.1852,154.2236,3143.0648,9202.8218
5600,193.5262,160.4613,1607.4879,4601.3089
5700,199.871,165.2338,3317.7471,9076.9883
5800,221.5552,170.3661,2543.9777,6934.6567
5900,246.511,175.9806,3680.4402,9761.9158
6000,254.417,182.0497,1831.6816,5377.4379
6100,291.3143,187.1858,985.3867,2827.4675
6200,286.2072,192.7635,2505.2346,6618.5878
6300,284.4943,198.6712,6443.239,18012.6689
6400,343.6759,203.9286,5478.8405,14833.1125
6500,351.4815,212.3683,1327.5917,3890.2124
6600,584.9401,219.5542,1652.2886,4742.2997
6700,389.5639,227.4878,2364.529,6605.3296
6800,453.7579,236.7967,4946.7305,13396.1003
6900,470.9952,243.4047,4365.4915,12925.0764
7000,2388.5066,248.9751,29617.1857,76451.5977
7100,4837.998,241.0179,4803.5826,12871.3499
7200,1130.0212,245.5408,1835.2076,4979.3739
7300,838.3223,254.004,1834.4866,4757.4518
7400,947.1562,263.6272,2461.3852,6723.2726
7500,816.5281,271.3845,1698.0621,4459.9038
7600,862.0819,281.539,5848.5243,15869.9907
7700,893.5887,289.7321,3693.4474,9588.0679
7800,946.5481,301.0536,3878.8877,10115.8591
7900,991.6217,310.9047,8858.8301,24833.6758
8000,1075.2436,321.2179,2999.745,8088.6063
8100,1156.0094,332.2682,8298.6013,23111.3887
8200,1229.756,341.734,9536.6621,25934.3481
8300,1385.2432,351.178,8018.6157,22078.3604
8400,1347.6595,361.5919,11984.7581,32838.6841
8500,1453.23,368.9087,15190.3694,42149.6416
8600,1594.0255,377.2456,54749.0694,155328.7344
8700,1846.7191,386.4224,10513.057,29117.2202
8800,1854.2741,400.4789,41229.2906,119569.9141
8900,2155.1604,417.9394,27654.0096,70373.1094
9000,2236.288,433.0856,31511.8023,85884.1328
9100,2586.4964,451.3267,45849.74,122250.9688
9200,5110.5882,470.2188,34914.1671,88173.2539
9300,3406.1655,491.4313,40634.521,107498.3516
9400,4696.4737,517.8024,28107.0855,67745.7852
9500,11651.8245,557.0029,18209.7551,49442.1396
9600,6648.1894,592.4597,30174.8014,78792.9336
9700,7980.8,632.988,58588.9165,147003.4688
9800,12743.6002,673.9341,105280.2005,255316.3281
9900,18160.1257,722.4836,43387.6568,111616.998
10000,14913.1725,761.1445,150173.1584,418286.6641
10100,34168.9448,818.2299,75801.8614,208497.3477
10200,22807.9736,884.8282,123084.4292,331399.0469
10300,29164.0449,951.2039,88158.5143,226135.2383
10400,36956.5047,1022.4257,395089.6866,1052000.625
10500,43762.7216,1102.1889,456344.6706,1261773.2188
10600,55711.9412,1176.8776,284977.8163,763829.4062
10700,69308.821,1259.2444,248162.1236,627806.8906
10800,74281.0736,1338.5896,387384.3994,1089442.3125
10900,184835.8446,1411.0757,289477.5769,749020.4688
11000,136165.14,1528.1407,2716392.5748,7470381.125
11100,148525.1906,1642.906,574491.4747,1574923.9688
11200,193204.108,1752.2108,1146818.845,2914030.1875
11300,250518.9916,1997.9291,1628518.1468,4517868.5
11400,1005222.9261,2119.706,723025.4286,1807873.9375
11500,418823.2428,2332.6314,742548.0695,2047664.1875
11600,496091.3991,2563.9664,3261572.2561,8306818.75
11700,586949.5022,2836.8973,6572235.1277,17732427.5
11800,718398.2106,3093.3195,7742746.552,21611402.0
11900,890338.1225,3351.6184,3705942.3008,10416712.25
12000,1111759.8075,3778.5576,27419104.4371,74930464.0
12100,1560540.6562,4222.1438,3829674.9892,9265171.25
12200,1587393.2212,4587.7073,10363243.6544,29104301.0
12300,2522837.1988,5090.7151,23460339.8024,62414813.0
12400,3312978.07,5696.0938,8923668.8356,24751981.5
12500,3101219.29,6339.9844,23413487.1166,63100857.0
12600,3879862.585,6902.2236,37840804.7168,111590022.0
12700,4613017.8075,7452.0084,24810362.2679,64785939.0
12800,5291068.575,8234.0564,33042170.2168,94216052.0
12900,6052602.385,8892.3387,37766149.3604,103398384.0
13000,6607940.695,9480.608,20090622.387,53727334.0
13100,22878473.02,10016.7344,238391338.0753,661688912.0
