env_steps,return,restorations,infiltrations,length,FPS,time
0,-67.4,64,389,100,0.0,0.3304
100,-88.2,68,492,100,32.7336,3.055
200,-67.2,64,352,100,36.205,2.7621
300,-66.7,66,337,100,36.0027,2.7776
400,-56.5,67,305,100,34.9694,2.8596
500,-85.7,65,522,100,36.4361,2.7445
600,-66.2,64,367,100,35.1543,2.8446
700,-69.2,66,397,100,36.0714,2.7723
800,-65.7,62,387,100,34.9421,2.8619
900,-65.8,68,348,100,36.0654,2.7727
1000,-80.6,65,491,100,35.3345,2.8301
1100,-90.9,66,524,100,34.5929,2.8908
1200,-63.6,65,381,100,34.1254,2.9304
1300,-78.7,66,442,100,35.6136,2.8079
1400,-75.7,62,452,100,36.3342,2.7522
1500,-56.8,69,268,100,35.6604,2.8042
1600,-87.4,70,494,100,36.8959,2.7103
1700,-66.8,65,363,100,35.7762,2.7952
1800,-80.5,67,420,100,35.6064,2.8085
1900,-79.5,70,415,100,34.8063,2.873
2000,-78.2,63,462,100,36.0351,2.7751
2100,-67.4,67,414,100,35.6689,2.8036
2200,-75.4,66,419,100,35.4531,2.8206
2300,-79.4,70,394,100,36.23,2.7601
2400,-79.8,69,378,100,35.2971,2.8331
2500,-68.7,68,407,100,35.5814,2.8105
2600,-69.6,68,336,100,36.086,2.7712
2700,-60.6,60,316,100,36.561,2.7352
2800,-85.3,68,488,100,36.3168,2.7536
2900,-62.5,70,325,100,36.0149,2.7766
3000,-76.4,71,384,100,36.3044,2.7545
3100,-74.5,66,420,100,36.1581,2.7656
3200,-86.6,70,461,100,36.3148,2.7537
3300,-76.3,64,493,100,36.3571,2.7505
3400,-52.9,63,294,100,36.42,2.7457
3500,-84.3,66,458,100,36.3927,2.7478
3600,-71.0,66,365,100,36.0568,2.7734
3700,-68.5,71,325,100,36.5355,2.7371
3800,-72.4,68,439,100,36.3886,2.7481
3900,-73.7,70,377,100,36.2628,2.7576
4000,-62.1,63,361,100,36.0573,2.7734
4100,-65.0,67,345,100,35.7015,2.801
4200,-86.4,66,489,100,35.8046,2.7929
4300,-74.4,70,379,100,35.9429,2.7822
4400,-78.9,63,464,100,36.0092,2.7771
4500,-71.5,67,375,100,36.6597,2.7278
4600,-69.4,63,394,100,36.6312,2.7299
4700,-67.2,62,382,100,36.3388,2.7519
4800,-83.0,70,450,100,36.3201,2.7533
4900,-75.6,69,356,100,35.9851,2.7789
5000,-59.0,65,300,100,36.8383,2.7146
5100,-84.5,63,540,100,36.2215,2.7608
5200,-65.6,62,386,100,36.4084,2.7466
5300,-54.1,67,296,100,36.4241,2.7454
5400,-79.9,69,429,100,36.1024,2.7699
5500,-75.1,69,396,100,36.0643,2.7728
5600,-76.6,65,426,100,36.8001,2.7174
5700,-63.4,66,359,100,36.4539,2.7432
5800,-92.7,63,567,100,36.4583,2.7429
5900,-66.3,67,283,100,36.0619,2.773
6000,-90.6,70,501,100,35.9961,2.7781
6100,-79.3,65,433,100,36.1545,2.7659
6200,-73.6,69,401,100,35.862,2.7885
6300,-69.4,69,344,100,36.736,2.7221
6400,-63.1,66,336,100,36.2615,2.7577
6500,-79.2,72,377,100,36.0935,2.7706
6600,-66.6,66,341,100,36.0364,2.775
6700,-81.9,67,444,100,36.1152,2.7689
6800,-77.0,67,385,100,36.1131,2.7691
6900,-77.7,67,462,100,35.803,2.7931
7000,-71.6,65,421,100,36.6305,2.73
7100,-70.2,65,382,100,36.4041,2.7469
7200,-71.7,64,372,100,35.6609,2.8042
7300,-79.7,66,442,100,36.2862,2.7559
7400,-68.0,64,365,100,36.8423,2.7143
7500,-87.0,63,515,100,36.7303,2.7226
7600,-82.5,68,445,100,35.6945,2.8016
7700,-80.2,70,467,100,36.5271,2.7377
7800,-74.8,69,428,100,36.8455,2.714
7900,-69.9,66,369,100,36.1701,2.7647
8000,-81.3,66,468,100,33.0644,3.0244
