env_steps,return,restorations,infiltrations,length,FPS,time
0,-28.7523,44,780,100,0.0,0.3529
100,-39.9818,54,544,100,528.0583,0.1894
200,-54.5523,63,741,100,604.404,0.1655
300,-39.2176,51,556,100,649.3464,0.154
400,-32.2811,43,876,100,573.9639,0.1742
500,-30.84,45,725,100,9.4894,10.5381
600,-46.2386,57,639,100,48.574,2.0587
700,-33.939,46,793,100,47.6935,2.0967
800,-36.8697,47,828,100,49.3507,2.0263
900,-42.5109,54,632,100,48.9506,2.0429
1000,-36.0223,50,592,100,50.623,1.9754
1100,-31.454,43,879,100,50.2473,1.9902
1200,-27.2134,41,924,100,49.8374,2.0065
1300,-47.171,58,503,100,47.3153,2.1135
1400,-46.5089,54,598,100,50.2375,1.9905
1500,-40.9507,52,771,100,49.5716,2.0173
1600,-48.9261,58,617,100,49.34,2.0268
1700,-42.8064,56,680,100,49.6906,2.0125
1800,-21.814,35,886,100,49.4766,2.0212
1900,-23.4919,38,757,100,48.7161,2.0527
2000,-44.8937,55,686,100,47.1979,2.1187
2100,-31.1088,45,745,100,43.9876,2.2734
2200,-42.2572,52,661,100,47.3787,2.1107
2300,-52.8489,62,450,100,48.1605,2.0764
2400,-38.2249,50,563,100,51.2742,1.9503
2500,-56.5049,63,444,100,50.3951,1.9843
2600,-42.0804,53,627,100,49.7536,2.0099
2700,-31.668,46,684,100,51.0498,1.9589
2800,-47.3875,57,686,100,49.9932,2.0003
2900,-34.6041,47,529,100,49.2754,2.0294
3000,-24.4151,37,850,100,52.6227,1.9003
3100,-41.5361,52,714,100,48.5421,2.0601
3200,-32.5517,46,833,100,51.484,1.9424
3300,-31.0361,45,756,100,48.4132,2.0656
3400,-35.9647,48,735,100,50.1769,1.993
3500,-40.7764,53,617,100,50.4424,1.9825
3600,-13.588,31,1050,100,50.5664,1.9776
3700,-21.1382,37,863,100,49.7124,2.0116
3800,-36.8411,47,693,100,50.0801,1.9968
3900,-55.9213,63,434,100,47.495,2.1055
4000,-37.1068,49,661,100,48.2541,2.0724
4100,-32.2195,44,733,100,48.7591,2.0509
4200,-42.1573,55,529,100,49.9561,2.0018
4300,-38.7958,50,687,100,48.3855,2.0667
4400,-26.5886,40,745,100,49.4343,2.0229
4500,-44.1806,52,525,100,50.2891,1.9885
4600,-44.6098,53,565,100,47.9351,2.0862
4700,-41.2459,51,724,100,49.1158,2.036
4800,-41.5888,51,614,100,48.5646,2.0591
4900,-19.0217,34,934,100,49.2583,2.0301
5000,-40.4566,52,560,100,48.9775,2.0418
5100,-34.6393,47,502,100,49.6177,2.0154
5200,-37.103,50,689,100,50.265,1.9895
5300,-28.6335,41,637,100,49.5817,2.0169
5400,-33.638,46,746,100,48.486,2.0625
5500,-23.8611,40,865,100,49.6923,2.0124
5600,-42.5406,53,534,100,49.1077,2.0363
5700,-42.4473,50,509,100,47.9389,2.086
5800,-29.4701,41,745,100,48.9526,2.0428
5900,-20.2313,34,970,100,48.8754,2.046
6000,-18.1426,32,833,100,49.731,2.0108
6100,-25.5784,37,809,100,48.3789,2.067
6200,-31.3864,44,779,100,46.9806,2.1285
