env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
500,0.423,-0.336,0.0103,0.0083
600,0.3611,-0.3933,0.0158,0.0122
700,0.35,-0.4113,0.0197,0.029
800,0.3357,-0.4263,0.0264,0.0431
900,0.3147,-0.4612,0.0158,0.0141
1000,0.3033,-0.4942,0.0261,0.0406
1100,0.2958,-0.4858,0.0255,0.0433
1200,0.2823,-0.4744,0.0304,0.0595
1300,0.2616,-0.4638,0.0558,0.1233
1400,0.2551,-0.4555,0.0292,0.0529
1500,0.2445,-0.4229,0.0497,0.1132
1600,0.2376,-0.3884,0.0801,0.2009
1700,0.2316,-0.3719,0.0786,0.1954
1800,0.2274,-0.3214,0.058,0.1295
1900,0.2132,-0.266,0.0742,0.1806
2000,0.2071,-0.2147,0.1951,0.5381
2100,0.2043,-0.1638,0.1204,0.312
2200,0.2039,-0.113,0.5364,1.5212
2300,0.1982,-0.0589,0.2773,0.752
2400,0.1897,-0.0185,0.118,0.3007
2500,0.1884,0.0331,0.1299,0.3532
2600,0.1838,0.0793,0.2817,0.7782
2700,0.1824,0.1429,0.2499,0.7013
2800,0.1785,0.2109,0.1395,0.3719
2900,0.1818,0.2597,0.3258,0.9025
3000,0.185,0.3125,0.3219,0.8862
3100,0.1807,0.368,0.1359,0.364
3200,0.179,0.413,0.1666,0.4398
3300,0.1765,0.4725,0.2556,0.6823
3400,0.1706,0.5452,0.4953,1.4203
3500,0.171,0.5955,0.2494,0.702
3600,0.1736,0.6308,0.3702,0.9788
3700,0.1742,0.7113,0.4601,1.3158
3800,0.1725,0.7593,0.2975,0.8296
3900,0.1708,0.7916,0.3827,1.1199
4000,0.1697,0.8294,0.539,1.56
4100,0.168,0.8583,0.2212,0.6023
4200,0.1727,0.9276,1.0694,3.0137
4300,0.1751,0.9559,0.4068,1.1407
4400,0.1733,0.9972,0.1771,0.4668
4500,0.1726,1.0459,0.3627,1.0123
4600,0.1772,1.0668,0.7125,2.021
4700,0.1701,1.0907,0.6882,1.8373
4800,0.1749,1.1436,0.5083,1.4689
4900,0.1726,1.1918,0.6487,1.8234
5000,0.1764,1.2326,0.5598,1.5269
5100,0.1753,1.2815,0.3091,0.8398
5200,0.1749,1.3061,0.1907,0.4868
5300,0.1737,1.335,0.4418,1.1732
5400,0.1779,1.3516,0.5786,1.6752
5500,0.1764,1.4037,0.4122,1.1338
5600,0.1758,1.427,0.2605,0.6832
5700,0.178,1.4668,0.2622,0.7196
5800,0.1786,1.4901,0.8425,2.3872
5900,0.18,1.5124,0.3228,0.8859
6000,0.1804,1.5471,1.1536,3.3392
6100,0.1787,1.5595,0.3869,1.0651
6200,0.1795,1.5914,0.5448,1.504
6300,0.1797,1.6069,0.3008,0.7951
6400,0.1828,1.6399,0.4422,1.2171
6500,0.1821,1.6544,0.566,1.6355
6600,0.1863,1.6625,0.4393,1.1545
6700,0.1813,1.7075,0.4516,1.2197
6800,0.182,1.7319,0.4965,1.3576
6900,0.1817,1.7331,0.4515,1.2678
7000,0.1845,1.7446,0.5193,1.4379
7100,0.1842,1.7646,0.7741,2.1118
7200,0.1855,1.7872,0.3506,0.9842
7300,0.1849,1.8159,0.4721,1.2728
7400,0.1854,1.8582,0.619,1.7665
7500,0.1866,1.8426,0.8988,2.4741
7600,0.1872,1.8521,0.3511,0.9563
7700,0.1878,1.8844,1.2943,3.7293
7800,0.1879,1.8883,0.3918,1.0727
7900,0.1851,1.9006,0.7886,2.2529
8000,0.1868,1.91,0.6123,1.733
8100,0.1877,1.898,0.5094,1.4423
8200,0.188,1.9247,0.575,1.6431
8300,0.1895,1.9445,0.5867,1.6977
8400,0.1886,1.9495,0.4098,1.0576
8500,0.1934,1.9472,0.635,1.7866
8600,0.1897,1.955,0.6071,1.7249
8700,0.1887,1.9673,0.8789,2.5141
8800,0.1902,1.963,0.8094,2.3277
8900,0.1897,1.9769,0.4381,1.1809
9000,0.1864,1.9831,0.3758,0.9837
9100,0.1898,2.0035,0.5178,1.4309
9200,0.1927,2.0013,1.3954,4.0504
9300,0.1892,2.0126,1.0212,2.9235
9400,0.1913,2.0209,0.5172,1.4123
9500,0.1937,2.0147,0.8862,2.4769
9600,0.1895,2.0252,1.6634,4.4866
9700,0.1905,2.043,0.5604,1.5676
9800,0.1935,2.0483,1.3447,3.8357
9900,0.1934,2.0676,1.0356,2.8412
10000,0.1937,2.0649,0.5575,1.4728
10100,0.189,2.0758,1.6007,4.6812
10200,0.191,2.0726,0.6632,1.8483
10300,0.1913,2.0783,1.5678,4.4598
10400,0.193,2.0998,1.5945,4.2787
10500,0.1921,2.0987,0.9578,2.6775
10600,0.1919,2.128,0.6181,1.7053
10700,0.1926,2.1191,0.9762,2.8603
10800,0.1906,2.1282,0.508,1.3462
10900,0.1869,2.1522,0.4515,1.1726
11000,0.1888,2.1436,1.9088,5.3654
11100,0.1964,2.1655,1.5099,4.2368
11200,0.19,2.1705,2.1777,6.2056
11300,0.1897,2.1787,1.392,3.8743
11400,0.1894,2.1882,2.0545,6.082
11500,0.1891,2.2052,1.3559,3.6671
11600,0.1862,2.1806,0.5884,1.6251
11700,0.1866,2.2092,0.7065,1.9412
11800,0.188,2.2216,2.5897,7.4341
11900,0.1948,2.2368,1.6549,4.6325
12000,0.1885,2.233,1.4029,3.9734
12100,0.19,2.2439,0.6612,1.8043
12200,0.1927,2.2384,1.0484,2.8006
12300,0.1907,2.2474,0.8262,2.3355
12400,0.1907,2.2481,0.7814,1.9944
12500,0.1864,2.2496,0.4417,1.1817
12600,0.1978,2.2585,1.9237,5.0907
12700,0.196,2.276,0.6633,1.7457
12800,0.187,2.2677,0.8519,2.3743
12900,0.1948,2.2713,3.4454,10.0248
13000,0.1908,2.2788,0.9839,2.7446
13100,0.1876,2.2946,1.1537,3.216
13200,0.1862,2.3049,1.2599,3.6256
13300,0.187,2.2947,1.6694,4.7093
13400,0.1935,2.3221,1.9538,5.5008
13500,0.1899,2.3134,0.7508,1.9808
13600,0.1881,2.3008,0.7992,2.1104
13700,0.1885,2.3282,2.8704,8.2812
13800,0.1903,2.3041,1.0187,2.9445
13900,0.189,2.3234,1.2433,3.5865
