env_steps,return,restorations,length,FPS,time
0,-986.0,63,100,0.0,1.1135
100,-844.0,61,100,62.8806,1.5903
200,-880.0,66,100,65.9757,1.5157
300,-889.0,66,100,67.743,1.4762
400,-789.0,64,100,68.9872,1.4495
500,-885.0,62,100,67.947,1.4717
600,-860.0,59,100,66.4247,1.5055
700,-866.0,66,100,66.7865,1.4973
800,-869.0,64,100,69.6627,1.4355
900,-936.0,63,100,65.0616,1.537
1000,-904.0,63,100,68.0682,1.4691
1100,-898.0,59,100,68.3357,1.4634
1200,-808.0,62,100,69.9042,1.4305
1300,-914.0,67,100,67.0337,1.4918
1400,-865.0,55,100,66.1751,1.5111
1500,-946.0,63,100,66.5493,1.5026
1600,-984.0,63,100,67.6894,1.4773
1700,-958.0,57,100,66.821,1.4965
1800,-910.0,59,100,67.4831,1.4819
1900,-866.0,63,100,67.4576,1.4824
2000,-793.0,63,100,68.6309,1.4571
2100,-787.0,69,100,67.0994,1.4903
2200,-983.0,64,100,67.4323,1.483
2300,-857.0,59,100,65.4428,1.5281
2400,-895.0,68,100,67.4585,1.4824
2500,-862.0,53,100,66.4657,1.5045
2600,-940.0,60,100,65.9552,1.5162
2700,-878.0,57,100,66.8868,1.4951
2800,-894.0,58,100,66.5112,1.5035
2900,-1014.0,53,100,65.31,1.5312
3000,-858.0,58,100,66.5763,1.502
3100,-992.0,58,100,69.4232,1.4404
3200,-826.0,55,100,67.0209,1.4921
3300,-926.0,53,100,66.6253,1.5009
3400,-905.0,53,100,66.955,1.4935
3500,-887.0,53,100,69.4604,1.4397
3600,-814.0,60,100,66.7826,1.4974
3700,-895.0,54,100,67.2647,1.4867
3800,-798.0,57,100,66.5101,1.5035
3900,-962.0,56,100,67.5809,1.4797
4000,-996.0,51,100,67.3106,1.4857
4100,-926.0,55,100,66.2691,1.509
4200,-819.0,50,100,69.7441,1.4338
4300,-807.0,52,100,67.0586,1.4912
4400,-845.0,50,100,67.5871,1.4796
4500,-871.0,48,100,65.8934,1.5176
4600,-902.0,46,100,67.3766,1.4842
4700,-838.0,57,100,68.2193,1.4659
4800,-860.0,48,100,68.827,1.4529
4900,-967.0,45,100,67.6459,1.4783
5000,-996.0,53,100,67.1791,1.4886
5100,-806.0,47,100,69.4042,1.4408
5200,-778.0,49,100,68.244,1.4653
5300,-967.0,49,100,66.7525,1.4981
5400,-833.0,44,100,67.1595,1.489
5500,-987.0,41,100,66.0881,1.5131
5600,-784.0,51,100,65.7361,1.5212
5700,-834.0,46,100,66.014,1.5148
5800,-858.0,52,100,64.8875,1.5411
5900,-895.0,45,100,68.429,1.4614
6000,-822.0,43,100,64.2867,1.5555
6100,-862.0,38,100,67.1849,1.4884
6200,-807.0,58,100,66.9479,1.4937
6300,-966.0,41,100,66.0537,1.5139
6400,-895.0,41,100,69.6143,1.4365
6500,-976.0,38,100,67.2091,1.4879
6600,-887.0,48,100,66.3512,1.5071
6700,-875.0,44,100,66.5817,1.5019
6800,-704.0,44,100,67.8319,1.4742
6900,-822.0,42,100,67.1596,1.489
7000,-910.0,56,100,66.857,1.4957
7100,-915.0,56,100,69.3593,1.4418
7200,-860.0,56,100,67.4093,1.4835
7300,-899.0,44,100,66.4618,1.5046
7400,-919.0,54,100,65.9892,1.5154
7500,-1103.0,60,100,67.7666,1.4757
7600,-826.0,45,100,67.0657,1.4911
7700,-963.0,60,100,67.9513,1.4716
7800,-969.0,49,100,68.8868,1.4517
