env_steps,critic_loss,q1
1000,0.6935,-2.831
1100,0.8455,-5.0689
1200,0.9164,-5.4475
1300,0.9873,-5.8715
1400,1.1012,-6.2096
1500,1.1038,-6.5445
1600,1.1645,-6.8402
1700,1.2719,-7.1139
1800,1.2567,-7.4265
1900,1.4107,-7.628
2000,1.3892,-7.9088
2100,1.5732,-8.0971
2200,1.4987,-8.3309
2300,1.5349,-8.5099
2400,1.7112,-8.7197
2500,1.7819,-8.8667
2600,1.5602,-9.0613
2700,1.7615,-9.2154
2800,1.7201,-9.357
2900,1.8527,-9.4902
3000,1.8009,-9.6264
3100,1.8315,-9.7446
3200,1.7326,-9.8996
3300,1.9012,-9.9927
3400,1.763,-10.1411
3500,1.8913,-10.2482
3600,1.6936,-10.3937
3700,1.9438,-10.4638
3800,1.9598,-10.5541
3900,1.8466,-10.7633
4000,1.8844,-10.8704
4100,2.0745,-10.9733
4200,2.0617,-11.0621
4300,1.8709,-11.2176
4400,1.7405,-11.3646
4500,2.2656,-11.3716
4600,1.9379,-11.519
4700,2.3665,-11.5111
4800,2.235,-11.5838
4900,2.0908,-11.685
5000,2.2055,-11.7503
5100,2.2205,-11.8391
5200,2.2286,-11.8957
5300,2.0995,-11.9569
5400,2.2499,-11.9919
5500,2.1523,-12.0281
5600,1.9707,-12.0879
5700,2.4136,-12.0993
5800,2.3198,-12.1105
5900,2.4605,-12.1254
6000,2.1619,-12.2221
6100,2.3347,-12.2483
6200,2.4221,-12.2744
6300,2.2194,-12.3343
6400,2.3578,-12.3612
6500,2.2677,-12.4577
6600,2.1665,-12.4886
6700,2.3877,-12.5125
6800,2.2679,-12.6075
6900,2.2233,-12.5951
7000,2.5471,-12.6384
7100,2.2923,-12.6558
7200,2.7538,-12.6398
7300,2.8216,-12.6439
7400,2.4444,-12.6955
7500,2.4116,-12.7365
7600,2.6031,-12.7651
7700,2.5983,-12.7887
7800,2.2238,-12.8415
7900,2.4129,-12.8482
8000,2.4655,-12.8539
8100,2.482,-12.9041
8200,2.4939,-12.9134
8300,2.5882,-12.8814
8400,2.5448,-12.908
8500,2.4482,-12.9078
8600,2.7355,-12.9371
8700,2.8453,-12.8912
8800,2.6841,-12.9039
8900,2.6365,-12.9198
9000,2.5446,-12.9194
9100,2.7426,-12.9065
9200,2.5043,-12.9052
9300,2.3074,-12.9439
9400,2.5843,-12.9206
9500,2.5266,-12.9419
9600,2.829,-12.8972
9700,2.0998,-12.9542
9800,2.2175,-12.996
9900,2.4236,-12.9771
10000,2.684,-12.9756
10100,2.4038,-12.9743
10200,2.5699,-12.9696
10300,2.6505,-12.9343
10400,2.5089,-12.9503
10500,2.7305,-12.9226
10600,2.6005,-12.9251
10700,2.4339,-12.938
10800,2.6447,-12.9287
10900,2.4398,-12.9306
11000,2.3476,-12.9603
11100,2.908,-12.8981
11200,2.7412,-12.9038
11300,2.5725,-12.8966
11400,2.5749,-12.8848
11500,2.4229,-12.903
11600,2.3184,-12.9359
11700,2.2941,-12.9457
11800,2.4705,-12.9438
11900,2.7746,-12.8962
12000,2.6234,-12.8744
12100,2.5189,-12.8596
12200,2.5746,-12.8685
12300,2.6132,-12.8713
12400,2.4362,-12.879
12500,2.4817,-12.9052
12600,2.6184,-12.8393
12700,2.4747,-12.8273
12800,2.378,-12.8388
12900,2.8384,-12.8029
13000,2.7585,-12.7579
13100,2.8411,-12.7232
13200,2.2909,-12.7678
13300,2.5049,-12.7557
13400,2.4443,-12.7796
13500,2.7107,-12.7255
13600,2.4485,-12.7189
13700,2.9769,-12.6413
13800,2.6523,-12.6618
13900,2.6197,-12.6725
14000,2.2572,-12.718
14100,2.5475,-12.6636
14200,2.4378,-12.6876
14300,2.7297,-12.6471
14400,2.3281,-12.6685
14500,2.3269,-12.7152
14600,2.2906,-12.6748
14700,2.3091,-12.6837
14800,2.7427,-12.6508
14900,2.6717,-12.6327
15000,2.2475,-12.6769
15100,2.5524,-12.673
15200,2.7017,-12.6479
15300,2.5973,-12.6401
15400,2.612,-12.6534
15500,2.3502,-12.6807
15600,2.5831,-12.6531
15700,2.4984,-12.6834
15800,2.6719,-12.6602
15900,2.4338,-12.633
16000,2.3819,-12.6728
16100,2.541,-12.6438
16200,2.9258,-12.6075
16300,2.373,-12.6168
16400,2.3496,-12.6944
16500,2.1052,-12.7181
16600,2.2931,-12.7175
16700,2.5153,-12.7103
16800,2.6676,-12.7105
16900,2.4073,-12.7393
17000,2.3015,-12.7299
17100,2.3804,-12.7538
17200,2.2452,-12.7774
17300,2.6758,-12.7355
17400,2.3481,-12.7475
17500,2.614,-12.7132
17600,2.4581,-12.7165
17700,2.5123,-12.7184
17800,2.3942,-12.7273
17900,2.7245,-12.6936
18000,2.4543,-12.712
18100,2.3329,-12.7517
18200,2.439,-12.7578
18300,2.2445,-12.8123
18400,2.7473,-12.758
18500,2.2732,-12.7899
18600,2.9855,-12.7228
18700,2.7974,-12.7174
18800,2.7012,-12.7099
18900,2.6218,-12.7438
19000,2.5634,-12.7111
19100,2.2924,-12.7322
19200,2.4615,-12.7578
19300,2.9333,-12.6873
19400,2.2943,-12.7442
19500,2.4534,-12.7514
19600,2.9503,-12.7131
19700,2.513,-12.7593
19800,2.6044,-12.7432
19900,2.6138,-12.7243
20000,2.742,-12.7362
20100,2.369,-12.7498
20200,2.4573,-12.7572
20300,2.612,-12.7553
20400,2.3244,-12.7931
20500,2.4527,-12.8249
20600,2.9115,-12.7656
20700,2.2214,-12.8137
20800,2.287,-12.8686
20900,2.1076,-12.8476
21000,2.6617,-12.8212
21100,2.3108,-12.8746
21200,2.4964,-12.8657
21300,2.4115,-12.906
21400,2.6456,-12.889
21500,2.5376,-12.8694
21600,2.3823,-12.9189
21700,2.6458,-12.8791
21800,2.4839,-12.8987
21900,2.6227,-12.8875
22000,2.4216,-12.9083
22100,2.3159,-12.9377
22200,2.3008,-12.968
22300,2.4732,-12.9286
22400,2.6006,-12.9511
22500,2.7364,-12.9305
22600,2.3508,-12.9892
22700,2.901,-12.8979
22800,2.8868,-12.8884
22900,2.6688,-12.9009
23000,2.5403,-12.8998
23100,2.5661,-12.9093
23200,2.405,-12.9139
23300,2.4232,-12.9482
23400,2.4454,-12.9535
23500,2.4736,-12.9303
23600,2.7919,-12.9226
23700,2.7299,-12.8976
23800,2.4429,-12.9497
23900,2.372,-12.9384
24000,2.6251,-12.9404
24100,2.6781,-12.9324
24200,2.2478,-12.9987
24300,2.9381,-12.9866
24400,2.6917,-12.9285
24500,2.6442,-12.9146
24600,2.6369,-12.9218
24700,2.4701,-12.9606
24800,2.6003,-13.0
24900,2.4487,-12.9694
25000,2.7275,-12.9815
25100,2.5762,-12.9532
25200,2.6364,-12.968
25300,2.3523,-13.001
25400,2.5994,-12.9621
25500,2.5473,-12.9973
25600,2.4347,-13.0343
25700,2.8401,-12.998
25800,2.3902,-13.0395
25900,3.0583,-13.0102
26000,2.5831,-13.0638
26100,2.5868,-13.0485
26200,2.5886,-13.0819
26300,2.6084,-13.0391
26400,2.7896,-13.0222
26500,2.6337,-13.0159
26600,2.7457,-13.0016
26700,2.2683,-13.0342
26800,2.8199,-13.0251
26900,2.9501,-12.9935
27000,2.8812,-12.9514
27100,2.8826,-12.9672
27200,2.5339,-12.9631
27300,2.6092,-12.993
27400,2.6165,-12.9656
27500,2.647,-12.9892
27600,2.3209,-13.0376
27700,2.4152,-13.0238
27800,2.335,-13.0743
27900,2.559,-13.0788
28000,2.7288,-13.0585
