env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
1000,0.5861,-1.1048,0.2934,0.3431
1100,0.5178,-1.7336,0.3398,0.3119
1200,0.533,-1.841,0.3425,0.348
1300,0.5402,-1.9659,0.4528,0.6321
1400,0.5491,-2.0674,0.27,0.3436
1500,0.551,-2.1625,0.3734,0.5165
1600,0.5639,-2.242,0.3051,0.3688
1700,0.5525,-2.3512,0.3986,0.6421
1800,0.559,-2.452,0.6947,1.063
1900,0.584,-2.5368,0.6806,1.0125
2000,0.558,-2.6178,0.6843,1.0516
2100,0.5589,-2.6826,0.4309,0.6928
2200,0.5524,-2.8179,0.6996,1.2018
2300,0.577,-2.8554,0.5043,0.6254
2400,0.5612,-2.9484,0.5761,0.7367
2500,0.5722,-2.9977,0.579,0.9303
2600,0.5626,-3.0812,0.4454,0.7735
2700,0.5707,-3.1529,0.4874,0.715
2800,0.562,-3.2381,0.7378,1.3732
2900,0.5787,-3.3111,0.8963,1.7828
3000,0.5989,-3.3538,0.6975,1.2326
3100,0.5882,-3.4286,0.9559,1.6547
3200,0.5915,-3.5007,0.7818,1.5264
3300,0.6178,-3.54,0.7928,1.4482
3400,0.5928,-3.6137,0.6998,1.398
3500,0.5884,-3.6824,0.8696,1.3867
3600,0.6159,-3.7377,1.0636,2.2414
3700,0.6148,-3.7646,0.8136,1.4532
3800,0.5904,-3.8446,0.7359,1.3391
3900,0.6242,-3.8883,0.7897,1.503
4000,0.6012,-3.947,0.8262,1.5323
4100,0.6007,-4.0046,0.7135,1.2801
4200,0.5948,-4.0349,0.8141,1.5666
4300,0.6158,-4.0901,1.1976,2.4063
4400,0.6143,-4.1321,1.1637,2.3197
4500,0.6287,-4.1594,0.8134,1.5579
4600,0.6206,-4.2105,1.2314,2.6027
4700,0.6233,-4.2259,1.0597,2.3446
4800,0.6555,-4.2547,0.9284,1.7374
4900,0.6427,-4.2831,1.1793,2.388
5000,0.635,-4.3097,1.4307,3.1247
5100,0.6525,-4.3085,0.9756,1.7733
5200,0.657,-4.3295,1.9248,4.3901
5300,0.624,-4.3954,1.1872,2.7356
5400,0.6701,-4.376,1.0387,1.8784
5500,0.6366,-4.4383,1.6487,3.5164
5600,0.6468,-4.4316,1.0343,2.169
5700,0.6511,-4.4814,1.174,2.4036
5800,0.6545,-4.476,1.0533,2.2613
5900,0.6422,-4.4793,2.0919,5.2402
6000,0.6388,-4.5225,1.6124,3.9218
6100,0.6367,-4.5237,1.4038,3.0533
6200,0.625,-4.4986,1.2229,2.5698
6300,0.6348,-4.5266,1.2046,2.3188
6400,0.6573,-4.5252,1.158,2.5187
6500,0.6462,-4.5223,1.2866,2.85
6600,0.647,-4.5119,1.2336,2.5018
6700,0.6217,-4.5632,1.3046,3.1147
6800,0.6165,-4.5661,0.9346,2.1923
6900,0.6346,-4.5662,1.2308,2.7548
7000,0.6256,-4.5683,1.9708,4.8095
7100,0.6294,-4.5751,0.9921,2.1622
7200,0.6356,-4.5838,1.2575,3.0926
7300,0.6181,-4.6149,0.9616,2.0059
7400,0.634,-4.6157,1.2522,2.8885
7500,0.6446,-4.6204,0.9675,2.0269
7600,0.6306,-4.6265,0.9705,1.8268
7700,0.6353,-4.601,1.1735,2.7513
7800,0.6266,-4.6098,1.149,2.6725
7900,0.6268,-4.6546,1.2873,3.2
8000,0.6351,-4.6367,1.5355,3.6277
8100,0.6476,-4.6222,1.6425,4.218
8200,0.6312,-4.6556,1.1087,2.3009
8300,0.6419,-4.6615,1.0253,2.4581
8400,0.6415,-4.6495,1.4322,3.5723
8500,0.6224,-4.678,1.2752,3.2299
8600,0.6167,-4.6771,1.3474,3.0455
8700,0.6073,-4.6605,0.8935,1.8139
8800,0.6243,-4.6831,1.7841,4.2571
8900,0.5986,-4.677,1.0898,2.619
9000,0.6171,-4.6797,1.2233,2.9294
9100,0.6199,-4.6942,1.3013,3.0507
