env_steps,return,restorations,infiltrations,length,FPS,time
0,-74.35,58,687,100,0.0,0.0277
100,-70.7,48,854,100,8920.6347,0.0112
200,-76.4,64,520,100,9876.3869,0.0101
300,-65.05,59,417,100,10262.5495,0.0097
400,-66.25,49,665,100,9981.9225,0.01
500,-69.15,52,631,100,10078.5852,0.0099
600,-62.4,50,644,100,9239.7762,0.0108
700,-77.75,56,687,100,9618.8602,0.0104
800,-71.15,57,687,100,9373.7937,0.0107
900,-60.35,46,755,100,8797.5166,0.0114
1000,-76.3,58,686,100,145.1703,0.6889
1100,-62.8,44,756,100,1757.2329,0.0569
1200,-62.15,47,727,100,1644.0836,0.0608
1300,-51.8,46,592,100,1825.0228,0.0548
1400,-73.15,47,823,100,1582.6846,0.0632
1500,-73.1,51,798,100,1688.4534,0.0592
1600,-67.35,54,683,100,1776.7656,0.0563
1700,-67.0,47,792,100,1746.5714,0.0573
1800,-64.45,41,777,100,1759.5181,0.0568
1900,-60.15,52,635,100,1712.3872,0.0584
2000,-65.3,56,538,100,1824.8879,0.0548
2100,-66.15,50,755,100,1728.8827,0.0578
2200,-71.9,52,686,100,1750.61,0.0571
2300,-77.05,66,453,100,1706.0141,0.0586
2400,-76.1,57,642,100,1740.5484,0.0575
2500,-53.6,39,852,100,1811.3562,0.0552
2600,-56.8,55,504,100,1765.7328,0.0566
2700,-68.25,53,701,100,1663.5086,0.0601
2800,-69.2,61,532,100,1797.6616,0.0556
2900,-70.3,62,494,100,1847.3367,0.0541
3000,-50.3,33,910,100,1784.1497,0.0561
3100,-63.35,38,903,100,1605.3155,0.0623
3200,-68.8,54,672,100,1732.7181,0.0577
3300,-74.5,57,698,100,1747.4956,0.0572
3400,-60.3,43,726,100,1717.4778,0.0582
3500,-67.0,51,800,100,1669.7336,0.0599
3600,-53.5,45,622,100,1764.8858,0.0567
3700,-60.2,45,768,100,1748.7707,0.0572
3800,-61.2,53,516,100,1745.5684,0.0573
3900,-61.9,43,834,100,1652.5109,0.0605
4000,-67.05,51,733,100,1682.5404,0.0594
4100,-74.3,61,650,100,1741.2204,0.0574
4200,-76.4,54,732,100,1790.7999,0.0558
4300,-61.75,32,979,100,1666.1651,0.06
4400,-74.8,62,632,100,1798.8257,0.0556
4500,-63.5,53,666,100,1798.1471,0.0556
4600,-64.1,49,702,100,1771.4228,0.0565
4700,-67.45,51,733,100,1689.5961,0.0592
4800,-66.75,62,435,100,1704.2742,0.0587
4900,-55.7,52,614,100,1743.7323,0.0573
5000,-57.9,46,662,100,1611.0561,0.0621
5100,-66.55,45,695,100,1637.4917,0.0611
5200,-71.65,63,521,100,1824.4513,0.0548
5300,-81.4,57,732,100,1776.0434,0.0563
5400,-78.75,56,679,100,1782.3453,0.0561
5500,-68.85,62,453,100,1653.8532,0.0605
5600,-81.1,57,738,100,1770.6525,0.0565
5700,-63.1,42,786,100,1725.0572,0.058
5800,-65.25,63,373,100,1689.705,0.0592
5900,-61.85,47,681,100,1613.3179,0.062
6000,-65.3,44,850,100,1750.5223,0.0571
6100,-53.3,42,738,100,1788.3946,0.0559
6200,-80.7,65,622,100,1710.7737,0.0585
6300,-67.05,55,577,100,1710.132,0.0585
6400,-70.6,61,524,100,1796.876,0.0557
6500,-68.65,53,669,100,1796.3297,0.0557
6600,-63.9,49,750,100,1719.2166,0.0582
6700,-83.8,60,700,100,1651.6064,0.0605
6800,-73.45,54,737,100,1746.5496,0.0573
6900,-62.25,58,537,100,1783.611,0.0561
7000,-72.9,52,782,100,1673.3108,0.0598
7100,-73.35,61,515,100,1708.9614,0.0585
7200,-69.95,56,635,100,1766.4988,0.0566
7300,-56.65,53,665,100,1793.6257,0.0558
7400,-44.9,37,826,100,1719.0968,0.0582
7500,-68.45,53,745,100,1636.4184,0.0611
7600,-75.3,58,666,100,1781.9591,0.0561
7700,-63.95,65,467,100,1813.2669,0.0552
7800,-84.3,57,746,100,1770.3536,0.0565
7900,-64.9,40,770,100,1715.7074,0.0583
8000,-60.25,48,661,100,1639.4054,0.061
8100,-73.0,57,624,100,1753.5302,0.057
8200,-69.15,57,643,100,1678.0236,0.0596
8300,-65.35,46,807,100,1712.3033,0.0584
8400,-71.85,63,569,100,1760.0718,0.0568
8500,-65.65,58,525,100,1765.9781,0.0566
8600,-59.95,50,595,100,1765.324,0.0566
8700,-65.75,49,763,100,1649.2619,0.0606
8800,-73.6,53,772,100,1811.1998,0.0552
8900,-56.4,52,644,100,1823.7532,0.0548
9000,-60.9,51,762,100,1673.5311,0.0598
9100,-65.75,53,747,100,1643.4137,0.0608
9200,-65.35,52,771,100,1790.3259,0.0559
9300,-74.5,58,670,100,1750.3616,0.0571
9400,-63.45,49,785,100,1763.3573,0.0567
9500,-71.0,44,740,100,1696.0594,0.059
9600,-60.9,38,930,100,1713.2335,0.0584
9700,-52.1,55,438,100,1773.4226,0.0564
9800,-62.25,55,585,100,1639.9374,0.061
9900,-68.4,53,624,100,1697.6246,0.0589
10000,-69.15,51,911,100,0.0,0.0239
10100,-63.45,51,693,100,1776.0358,0.0563
10200,-66.8,48,684,100,1641.3878,0.0609
10300,-76.8,55,728,100,1796.7221,0.0557
10400,-72.4,55,704,100,1844.9233,0.0542
10500,-76.05,66,581,100,1795.4607,0.0557
10600,-58.05,51,633,100,1731.9883,0.0577
10700,-79.0,54,748,100,1733.1262,0.0577
10800,-70.4,47,908,100,1740.7001,0.0575
10900,-63.2,45,608,100,1668.5579,0.0599
11000,-60.75,55,615,100,1714.7955,0.0583
11100,-74.95,54,715,100,1683.1278,0.0594
11200,-75.5,57,682,100,1738.8815,0.0575
11300,-77.45,51,889,100,1731.1519,0.0578
11400,-79.7,59,698,100,1715.9109,0.0583
11500,-66.0,48,812,100,1780.8771,0.0562
11600,-57.15,50,707,100,1732.983,0.0577
11700,-49.3,48,534,100,1717.3864,0.0582
11800,-54.55,41,707,100,1631.936,0.0613
11900,-58.25,44,857,100,1787.8915,0.0559
12000,-69.1,57,622,100,1762.8237,0.0567
12100,-75.5,57,650,100,1778.1516,0.0562
12200,-50.1,46,718,100,1693.9975,0.059
12300,-61.5,51,690,100,1666.2842,0.06
12400,-68.9,52,690,100,1778.5663,0.0562
12500,-63.95,52,651,100,1749.0405,0.0572
12600,-58.05,49,585,100,1672.8503,0.0598
12700,-59.0,43,712,100,1678.4131,0.0596
12800,-68.7,46,810,100,1796.9222,0.0557
12900,-76.75,64,587,100,1698.6008,0.0589
13000,-55.3,37,654,100,1700.6256,0.0588
13100,-72.8,43,776,100,1721.0508,0.0581
13200,-67.6,31,932,100,1732.3746,0.0577
13300,-63.35,56,575,100,1748.1365,0.0572
13400,-72.8,56,808,100,1643.491,0.0608
13500,-74.6,56,792,100,1737.3761,0.0576
13600,-82.45,60,809,100,1765.2572,0.0566
13700,-76.15,47,915,100,1718.5122,0.0582
13800,-70.6,60,624,100,1710.8086,0.0585
13900,-71.15,57,675,100,1797.4921,0.0556
14000,-74.2,46,940,100,1783.8614,0.0561
14100,-64.35,61,543,100,1701.4328,0.0588
14200,-68.35,50,755,100,1703.1047,0.0587
14300,-79.05,58,793,100,1668.3123,0.0599
14400,-68.8,53,764,100,1738.8022,0.0575
14500,-80.25,62,645,100,1777.142,0.0563
14600,-76.4,55,776,100,1701.9506,0.0588
14700,-66.4,57,632,100,1796.9145,0.0557
14800,-73.75,56,715,100,1733.162,0.0577
14900,-60.0,42,988,100,1733.9501,0.0577
15000,-86.8,65,700,100,1692.6713,0.0591
15100,-76.95,52,863,100,1762.7644,0.0567
15200,-77.25,62,609,100,1754.9389,0.057
15300,-66.4,48,892,100,1795.1073,0.0557
15400,-68.4,59,632,100,1603.1801,0.0624
15500,-56.9,46,750,100,1744.8059,0.0573
15600,-73.3,60,730,100,1732.0526,0.0577
15700,-59.85,53,489,100,1757.7484,0.0569
15800,-58.0,40,916,100,1702.5378,0.0587
15900,-60.9,56,546,100,1779.3812,0.0562
16000,-76.7,60,626,100,1759.3188,0.0568
16100,-76.4,58,760,100,1691.3062,0.0591
16200,-77.35,62,607,100,1682.8239,0.0594
16300,-67.65,53,777,100,1799.3737,0.0556
16400,-76.75,49,939,100,1742.8846,0.0574
16500,-71.0,47,956,100,1754.293,0.057
16600,-77.75,61,599,100,1707.0973,0.0586
16700,-71.75,56,683,100,1702.7106,0.0587
16800,-79.35,51,943,100,1757.7189,0.0569
16900,-73.25,61,669,100,1685.888,0.0593
17000,-62.35,54,619,100,1701.2947,0.0588
17100,-72.1,45,966,100,1780.7788,0.0562
17200,-66.65,54,705,100,1764.5962,0.0567
17300,-58.5,50,702,100,1728.8114,0.0578
17400,-77.55,58,763,100,1686.3761,0.0593
17500,-73.5,58,762,100,1762.7274,0.0567
17600,-62.6,45,900,100,1668.3654,0.0599
17700,-82.05,62,777,100,1677.9968,0.0596
17800,-72.5,50,874,100,1662.9809,0.0601
17900,-65.05,55,653,100,1790.41,0.0559
18000,-77.45,63,653,100,1805.5471,0.0554
18100,-72.5,53,714,100,1742.0955,0.0574
18200,-70.9,58,594,100,1691.1834,0.0591
18300,-58.55,48,811,100,1680.7267,0.0595
18400,-60.5,48,834,100,1788.6844,0.0559
18500,-78.95,65,615,100,1696.2034,0.059
18600,-58.55,41,1015,100,1699.2132,0.0589
18700,-85.8,72,480,100,1697.0682,0.0589
18800,-76.8,53,896,100,1660.9658,0.0602
18900,-59.3,38,806,100,1624.6161,0.0616
19000,-81.1,58,850,100,1701.4397,0.0588
19100,-75.6,58,664,100,1770.6525,0.0565
19200,-75.55,45,1011,100,1788.8675,0.0559
19300,-80.0,50,864,100,1732.9543,0.0577
19400,-61.95,49,827,100,1667.1121,0.06
19500,-76.6,51,800,100,1736.1392,0.0576
19600,-65.75,56,727,100,1731.0018,0.0578
19700,-79.15,55,891,100,1713.2125,0.0584
