env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
116,0.0487,-0.0045,0.0194,0.0108
120,0.0102,-0.0161,0.0112,0.0033
130,0.0078,-0.0105,0.0167,0.0075
137,0.0084,-0.0072,0.0131,0.0075
141,0.0067,0.0057,0.0114,0.0074
147,0.0105,0.0243,0.0108,0.0055
153,0.0082,0.037,0.0087,0.0043
160,0.007,0.0121,0.0137,0.0061
163,0.0096,0.0342,0.0164,0.0102
171,0.0052,0.0135,0.0081,0.003
180,0.0058,0.0198,0.0087,0.0043
184,0.0046,0.0483,0.0059,0.0027
190,0.0057,0.0017,0.0084,0.005
197,0.0042,0.0142,0.0078,0.0056
206,0.0094,0.0052,0.0083,0.0025
214,0.0085,-0.0119,0.0083,0.0028
217,0.0213,-0.0158,0.0105,0.0034
227,0.0114,-0.0019,0.0118,0.0045
231,0.0074,0.0447,0.0088,0.0028
241,0.0134,0.0196,0.0085,0.0042
250,0.011,0.0436,0.0059,0.0029
254,0.0125,0.054,0.0103,0.006
256,0.0063,0.0415,0.0056,0.0026
263,0.0128,0.0446,0.0125,0.0076
266,0.0088,0.0595,0.0104,0.0049
274,0.0103,0.0595,0.01,0.0044
279,0.014,0.0637,0.0174,0.0102
288,0.0115,0.0577,0.0152,0.01
296,0.0137,0.0561,0.0179,0.0129
303,0.0114,0.0696,0.0132,0.0089
306,0.0077,0.0494,0.0057,0.0034
308,0.0112,0.0345,0.0108,0.0073
318,0.014,0.0336,0.0095,0.0079
328,0.0126,0.0402,0.0129,0.0114
330,0.0097,0.039,0.0077,0.0059
338,0.0115,0.029,0.0139,0.0092
346,0.0131,0.0464,0.0051,0.004
349,0.0082,0.0527,0.0108,0.009
352,0.0088,0.0459,0.0092,0.0075
355,0.011,0.0424,0.0049,0.0031
363,0.0117,0.0266,0.003,0.0024
371,0.0099,0.041,0.0048,0.0026
381,0.0138,0.0372,0.0112,0.007
386,0.0137,0.0465,0.0051,0.0016
393,0.0107,0.0419,0.0083,0.0047
399,0.0211,0.0653,0.0059,0.0017
403,0.0234,0.0736,0.0116,0.0075
405,0.0171,0.073,0.0082,0.0035
411,0.0225,0.0437,0.0087,0.0036
414,0.0204,0.0622,0.0089,0.0021
416,0.0245,0.0707,0.0117,0.007
422,0.0207,0.0831,0.0098,0.0062
424,0.0152,0.0818,0.0123,0.0081
434,0.0179,0.0741,0.0113,0.0068
443,0.0222,0.0941,0.009,0.0053
449,0.0183,0.0949,0.0091,0.0058
456,0.0177,0.0852,0.0223,0.0196
461,0.0247,0.0855,0.0129,0.0095
463,0.0225,0.1056,0.0155,0.0125
465,0.0289,0.0945,0.0158,0.0116
474,0.0216,0.0994,0.013,0.0067
483,0.0209,0.0793,0.009,0.0062
486,0.0192,0.1019,0.0129,0.0084
491,0.0203,0.0824,0.0137,0.0087
500,0.0296,0.0765,0.0157,0.0093
510,0.024,0.0771,0.016,0.0105
512,0.0236,0.0912,0.0114,0.0066
520,0.0197,0.0927,0.0102,0.0057
523,0.0236,0.1066,0.0095,0.0062
532,0.0242,0.1102,0.0201,0.0146
535,0.0295,0.1225,0.0097,0.0047
542,0.0245,0.1131,0.0062,0.004
544,0.0236,0.1108,0.0118,0.0065
551,0.0318,0.1042,0.0074,0.0033
554,0.0348,0.0936,0.0151,0.0095
557,0.0324,0.0968,0.0271,0.0159
561,0.0296,0.1116,0.0072,0.0047
565,0.0282,0.0861,0.0084,0.0032
567,0.0248,0.1098,0.0102,0.0053
569,0.0347,0.1124,0.0104,0.0072
576,0.0276,0.1042,0.0112,0.0071
580,0.0357,0.1253,0.0129,0.0066
587,0.0321,0.1124,0.015,0.0075
591,0.0329,0.1055,0.0118,0.005
600,0.0334,0.0998,0.0156,0.0081
606,0.0296,0.0964,0.0106,0.0055
614,0.0289,0.1008,0.0131,0.0063
623,0.0314,0.0914,0.0156,0.007
630,0.0261,0.0972,0.0127,0.006
640,0.029,0.091,0.0076,0.0037
642,0.0298,0.1084,0.0073,0.0027
650,0.028,0.1035,0.0097,0.0046
658,0.0211,0.1097,0.0066,0.0036
665,0.0264,0.1236,0.0075,0.0038
671,0.0345,0.1366,0.0243,0.0081
677,0.0252,0.1239,0.0085,0.0063
679,0.0279,0.1413,0.012,0.0089
685,0.0272,0.1197,0.0122,0.0049
693,0.0263,0.1305,0.009,0.0052
698,0.0273,0.129,0.0108,0.0077
706,0.0255,0.132,0.0078,0.0054
715,0.0288,0.1189,0.0078,0.0051
725,0.0313,0.1126,0.0113,0.0074
731,0.0273,0.1058,0.0082,0.0062
740,0.0282,0.1092,0.0116,0.0078
747,0.0281,0.1229,0.009,0.0052
749,0.0326,0.1469,0.0134,0.0077
759,0.0266,0.1375,0.0165,0.0102
769,0.0275,0.1224,0.007,0.0038
777,0.0316,0.135,0.0205,0.0152
785,0.0337,0.1253,0.0084,0.0048
790,0.0308,0.0994,0.0207,0.0121
797,0.0325,0.1303,0.0158,0.0085
799,0.0281,0.1212,0.0159,0.012
807,0.0256,0.122,0.008,0.0067
815,0.0374,0.1503,0.0102,0.0063
822,0.0287,0.1266,0.0163,0.0112
827,0.0316,0.142,0.01,0.0054
829,0.0272,0.1286,0.0096,0.0043
837,0.0308,0.1399,0.0148,0.01
844,0.0334,0.1418,0.0111,0.0088
852,0.0245,0.1273,0.0096,0.005
855,0.0246,0.1278,0.009,0.004
862,0.035,0.1455,0.0149,0.0106
865,0.0306,0.1317,0.0083,0.0045
870,0.0317,0.1296,0.0082,0.0053
880,0.0343,0.1318,0.0093,0.0044
887,0.0325,0.1306,0.0134,0.0086
893,0.0323,0.1261,0.0064,0.0035
897,0.034,0.1335,0.0079,0.0039
900,0.037,0.1611,0.0132,0.0079
903,0.034,0.1298,0.0063,0.0031
909,0.0375,0.1557,0.0073,0.0034
916,0.0283,0.1333,0.0076,0.0042
920,0.0365,0.1287,0.0082,0.0042
923,0.0339,0.1444,0.0107,0.006
929,0.0357,0.1531,0.0086,0.0058
932,0.0423,0.1545,0.0138,0.0085
934,0.0262,0.1253,0.0085,0.0041
939,0.0303,0.1251,0.0096,0.0045
942,0.0388,0.158,0.0095,0.004
952,0.0332,0.1385,0.0091,0.0044
960,0.0301,0.1536,0.0088,0.0049
970,0.037,0.1508,0.011,0.0084
978,0.0414,0.1529,0.0122,0.0067
984,0.0357,0.155,0.0125,0.0064
990,0.0347,0.1394,0.0125,0.0066
996,0.0407,0.1399,0.0174,0.0085
1002,0.0376,0.1417,0.0184,0.0081
1012,0.0369,0.1477,0.0111,0.0063
1014,0.0373,0.2031,0.0126,0.0069
1022,0.0379,0.2049,0.0218,0.0125
1026,0.0385,0.1615,0.0146,0.0058
1036,0.0368,0.1613,0.0217,0.0124
