env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-7.9,0.01,0.86,100,0.0,0.196
100,-9.6,0.0,0.96,100,666.1908,0.1501
200,-8.5,0.02,0.87,100,694.9044,0.1439
300,-8.7,0.03,0.9,100,630.1198,0.1587
400,-9.0,0.01,0.9,100,634.52,0.1576
500,-5.9,0.0,0.87,100,593.7442,0.1684
600,-6.2,0.01,0.87,100,651.5879,0.1535
700,-7.1,0.03,0.89,100,707.0879,0.1414
800,-9.5,0.04,0.95,100,688.496,0.1452
900,-9.6,0.0,0.96,100,708.5823,0.1411
1000,-8.9,0.04,0.9,100,14.7549,6.7774
1100,-8.3,0.02,0.86,100,89.8103,1.1135
1200,-8.0,0.0,0.84,100,90.684,1.1027
1300,-9.8,0.0,0.98,100,89.9951,1.1112
1400,-8.9,0.03,0.9,100,90.8065,1.1012
1500,-9.3,0.01,0.94,100,92.3487,1.0829
1600,-8.8,0.0,0.89,100,90.5928,1.1038
1700,-9.2,0.0,0.92,100,89.8129,1.1134
1800,-9.6,0.01,0.96,100,90.8987,1.1001
1900,-3.7,0.03,0.84,100,92.2724,1.0838
2000,-9.1,0.03,0.92,100,88.8851,1.1251
2100,-8.8,0.0,0.92,100,91.6123,1.0916
2200,-7.8,0.02,0.85,100,91.3117,1.0952
2300,-8.7,0.0,0.89,100,90.5017,1.105
2400,-9.1,0.01,0.91,100,84.9228,1.1775
2500,-7.5,0.0,0.89,100,89.3099,1.1197
2600,-9.4,0.02,0.95,100,89.3074,1.1197
2700,-9.1,0.01,0.91,100,87.1902,1.1469
2800,-6.1,0.01,0.87,100,91.0862,1.0979
2900,-6.2,0.0,0.86,100,95.0141,1.0525
3000,-9.5,0.0,0.95,100,90.6835,1.1027
3100,-8.8,0.01,0.89,100,91.5681,1.0921
3200,-9.4,0.01,0.94,100,91.4001,1.0941
3300,-8.9,0.0,0.89,100,91.0121,1.0988
3400,-9.0,0.02,0.91,100,90.7074,1.1024
3500,-9.2,0.01,0.92,100,89.717,1.1146
3600,-8.6,0.01,0.88,100,69.0483,1.4483
3700,-7.3,0.0,0.85,100,86.6214,1.1545
3800,-9.7,0.04,0.97,100,87.2951,1.1455
3900,-9.6,0.01,0.96,100,89.7985,1.1136
4000,-9.2,0.0,0.93,100,34.6217,2.8884
4100,-9.2,0.0,0.92,100,29.3375,3.4086
4200,-8.9,0.0,0.91,100,32.2567,3.1001
4300,-8.8,0.02,0.9,100,33.4069,2.9934
4400,-8.4,0.03,0.87,100,32.2929,3.0967
4500,-5.8,0.0,0.9,100,71.1037,1.4064
4600,-8.8,0.01,0.89,100,91.2745,1.0956
4700,-8.7,0.02,0.87,100,88.7604,1.1266
4800,-9.3,0.0,0.93,100,76.5213,1.3068
4900,-9.4,0.0,0.94,100,91.7344,1.0901
5000,-9.5,0.01,0.95,100,90.6909,1.1027
5100,-8.8,0.01,0.9,100,90.0664,1.1103
5200,-8.9,0.01,0.9,100,86.4806,1.1563
5300,-9.4,0.0,0.94,100,88.7621,1.1266
5400,-9.3,0.0,0.93,100,83.5183,1.1973
5500,-7.7,0.01,0.91,100,89.4913,1.1174
5600,-8.9,0.01,0.9,100,83.869,1.1923
5700,-9.1,0.0,0.91,100,83.013,1.2046
5800,-8.6,0.03,0.87,100,81.2282,1.2311
5900,-9.2,0.02,0.92,100,84.5913,1.1822
6000,-9.2,0.0,0.93,100,71.5521,1.3976
6100,-9.1,0.0,0.91,100,89.5019,1.1173
6200,-8.5,0.03,0.88,100,85.751,1.1662
6300,-8.4,0.05,0.86,100,91.1209,1.0974
6400,-9.1,0.02,0.91,100,88.3754,1.1315
6500,-4.3,0.0,0.88,100,90.358,1.1067
6600,-9.1,0.01,0.92,100,91.5243,1.0926
6700,-9.1,0.03,0.91,100,92.369,1.0826
6800,-8.3,0.0,0.86,100,91.6287,1.0914
6900,-9.6,0.0,0.96,100,88.3637,1.1317
7000,-8.9,0.02,0.9,100,92.2924,1.0835
7100,-9.6,0.0,0.96,100,92.7994,1.0776
7200,-9.6,0.03,0.96,100,88.7649,1.1266
7300,-8.8,0.0,0.88,100,87.031,1.149
7400,-9.0,0.01,0.91,100,89.7311,1.1144
7500,-9.2,0.02,0.92,100,87.3934,1.1443
7600,-8.7,0.0,0.88,100,85.9419,1.1636
7700,-6.2,0.0,0.91,100,88.4989,1.13
7800,-9.3,0.01,0.93,100,83.7858,1.1935
7900,-8.4,0.01,0.87,100,85.5391,1.1691
8000,-8.1,0.03,0.83,100,88.5129,1.1298
8100,-4.6,0.0,0.9,100,86.2493,1.1594
8200,-9.1,0.02,0.92,100,89.0835,1.1225
8300,-8.7,0.0,0.9,100,92.1552,1.0851
8400,-9.1,0.02,0.92,100,88.0736,1.1354
8500,0.1,0.0,0.88,100,86.2004,1.1601
8600,-8.4,0.02,0.87,100,91.6432,1.0912
8700,-9.3,0.0,0.93,100,89.7106,1.1147
8800,-9.2,0.0,0.93,100,89.5843,1.1163
8900,-7.3,0.0,0.88,100,85.8788,1.1644
9000,-8.4,0.01,0.87,100,88.8471,1.1255
9100,-8.7,0.02,0.9,100,89.0347,1.1232
9200,-9.5,0.01,0.95,100,79.1669,1.2632
9300,-6.3,0.0,0.88,100,87.3366,1.145
9400,-9.6,0.02,0.96,100,84.7851,1.1795
9500,-8.5,0.04,0.9,100,85.3657,1.1714
9600,-2.1,0.0,0.77,100,45.1911,2.2128
9700,-5.2,0.0,0.89,100,92.5084,1.081
9800,-8.9,0.03,0.9,100,88.7749,1.1264
9900,-8.6,0.01,0.89,100,82.9979,1.2049
10000,-9.2,0.02,0.93,100,0.0,0.5424
10100,-7.7,0.0,0.86,100,87.5062,1.1428
10200,-7.8,0.0,0.83,100,89.7283,1.1145
10300,-6.0,0.02,0.89,100,88.7071,1.1273
10400,-8.7,0.03,0.89,100,85.1404,1.1745
10500,-5.6,0.0,0.92,100,89.659,1.1153
10600,-8.9,0.02,0.9,100,85.6695,1.1673
10700,-8.3,0.0,0.89,100,93.6656,1.0676
10800,-9.4,0.02,0.94,100,88.4978,1.13
10900,-1.2,0.0,0.84,100,89.8693,1.1127
11000,-8.8,0.01,0.89,100,88.3429,1.132
11100,-9.1,0.05,0.91,100,92.0112,1.0868
11200,-9.8,0.02,0.98,100,83.5385,1.1971
11300,-7.6,0.0,0.91,100,82.4064,1.2135
11400,-8.3,0.02,0.9,100,92.5712,1.0803
11500,-8.3,0.02,0.86,100,82.8012,1.2077
11600,-9.2,0.03,0.92,100,72.9537,1.3707
11700,-4.2,0.0,0.88,100,49.0821,2.0374
11800,-9.1,0.0,0.92,100,83.9917,1.1906
11900,-8.6,0.02,0.88,100,70.7776,1.4129
12000,-8.2,0.02,0.86,100,90.5936,1.1038
12100,-8.4,0.0,0.9,100,91.4938,1.093
12200,-8.4,0.0,0.87,100,90.6619,1.103
12300,-9.5,0.01,0.95,100,90.4561,1.1055
12400,-8.4,0.02,0.88,100,86.4639,1.1566
12500,-7.5,0.0,0.91,100,90.9061,1.1
12600,-7.7,0.0,0.83,100,91.2609,1.0958
12700,-8.8,0.0,0.89,100,94.9681,1.053
12800,-9.2,0.05,0.92,100,91.3656,1.0945
12900,-8.2,0.0,0.91,100,92.4453,1.0817
13000,-8.8,0.01,0.88,100,80.9305,1.2356
13100,-8.2,0.02,0.86,100,85.7793,1.1658
13200,-4.7,0.05,0.87,100,88.8579,1.1254
13300,10.4,0.0,0.81,100,86.9879,1.1496
13400,-9.1,0.02,0.91,100,94.4226,1.0591
13500,-8.8,0.0,0.89,100,92.2488,1.084
13600,-7.0,0.0,0.87,100,89.8595,1.1129
13700,-8.6,0.0,0.92,100,91.2281,1.0962
13800,-8.4,0.02,0.9,100,90.2714,1.1078
13900,-8.0,0.0,0.83,100,87.7282,1.1399
14000,-8.4,0.0,0.86,100,90.1533,1.1092
14100,-9.4,0.0,0.94,100,96.0423,1.0412
14200,-6.7,0.03,0.89,100,85.1334,1.1746
14300,-9.0,0.0,0.91,100,87.9452,1.1371
14400,-8.9,0.02,0.91,100,93.8568,1.0655
14500,-4.3,0.0,0.9,100,91.9177,1.0879
14600,-8.8,0.02,0.91,100,91.1134,1.0975
14700,-9.3,0.04,0.94,100,77.8081,1.2852
14800,-6.1,0.04,0.86,100,89.4978,1.1173
14900,-1.0,0.0,0.85,100,75.567,1.3233
15000,-8.9,0.03,0.91,100,90.7982,1.1013
15100,-9.0,0.03,0.92,100,86.2839,1.159
15200,-8.8,0.02,0.89,100,80.3142,1.2451
15300,-9.0,0.0,0.9,100,90.7813,1.1016
15400,-9.1,0.01,0.93,100,86.075,1.1618
15500,-8.8,0.0,0.89,100,90.2132,1.1085
15600,-7.7,0.04,0.85,100,76.6262,1.305
15700,-9.2,0.0,0.92,100,92.5505,1.0805
15800,-8.2,0.01,0.86,100,90.5742,1.1041
15900,-9.5,0.02,0.96,100,91.5374,1.0925
16000,-9.1,0.01,0.91,100,89.5565,1.1166
16100,-9.6,0.0,0.96,100,91.5439,1.0924
16200,-8.8,0.03,0.9,100,89.8401,1.1131
16300,-8.3,0.01,0.93,100,92.7611,1.078
16400,-9.2,0.03,0.93,100,93.585,1.0686
16500,-5.8,0.0,0.88,100,92.0423,1.0865
16600,-8.5,0.02,0.89,100,93.0357,1.0749
16700,-8.8,0.02,0.89,100,96.4456,1.0369
16800,-8.1,0.02,0.85,100,86.8626,1.1512
16900,-9.0,0.0,0.9,100,90.5804,1.104
17000,-9.4,0.0,0.94,100,77.9084,1.2836
17100,-9.1,0.01,0.92,100,37.1352,2.6929
17200,-7.7,0.01,0.88,100,34.2329,2.9212
17300,-8.9,0.0,0.93,100,40.1845,2.4885
17400,-8.4,0.01,0.88,100,36.9862,2.7037
17500,-8.9,0.03,0.9,100,41.6847,2.399
17600,-8.9,0.0,0.91,100,87.431,1.1438
17700,-8.8,0.0,0.9,100,93.4434,1.0702
17800,-9.0,0.02,0.9,100,96.7333,1.0338
17900,-9.2,0.05,0.93,100,91.3517,1.0947
18000,-8.6,0.02,0.87,100,91.4137,1.0939
18100,-9.5,0.0,0.95,100,90.8688,1.1005
18200,-8.8,0.03,0.89,100,86.5272,1.1557
18300,-7.7,0.0,0.82,100,89.4011,1.1186
18400,-8.5,0.0,0.86,100,91.4461,1.0935
18500,-6.1,0.0,0.87,100,90.8688,1.1005
18600,-8.6,0.01,0.87,100,90.7608,1.1018
18700,-8.6,0.03,0.89,100,90.1944,1.1087
18800,-7.6,0.0,0.86,100,90.914,1.0999
18900,-7.9,0.0,0.89,100,90.8547,1.1007
19000,-8.7,0.02,0.9,100,90.3007,1.1074
19100,-7.6,0.0,0.88,100,88.4273,1.1309
19200,-8.3,0.0,0.87,100,86.2232,1.1598
19300,-9.5,0.0,0.95,100,90.3975,1.1062
19400,-9.1,0.01,0.93,100,90.6146,1.1036
19500,-8.1,0.01,0.86,100,89.1363,1.1219
19600,-8.2,0.01,0.86,100,91.1926,1.0966
