env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
1000,11.9838,-6.9346,0.5089,0.4196
1100,0.4616,-10.2504,0.5891,0.4612
1200,0.4802,-10.7143,0.4195,0.337
1300,0.217,-10.1505,0.7853,0.6353
1400,0.66,-10.8011,0.706,0.5548
1500,0.6798,-11.0536,0.2452,0.1724
1600,0.2837,-10.6209,0.1611,0.1005
1700,0.7931,-10.8874,1.7552,1.4337
1800,0.4916,-10.9074,0.7304,0.5618
1900,0.2083,-10.7893,0.206,0.1606
2000,0.2987,-10.9766,0.3279,0.2574
2100,0.4301,-11.4567,0.2465,0.1852
2200,0.3114,-11.2108,0.7247,0.5881
2300,0.318,-11.4631,0.3916,0.3091
2400,0.2953,-11.8985,0.6314,0.4772
2500,0.1975,-11.2068,0.5301,0.4182
2600,0.2232,-12.0762,0.3717,0.2657
2700,0.3308,-11.9366,0.3411,0.2749
2800,0.2096,-11.959,0.7476,0.6042
2900,0.2571,-12.4036,0.3578,0.3141
3000,0.2865,-12.5172,1.1236,0.9294
3100,0.2123,-12.216,0.6164,0.4886
3200,0.5478,-12.4538,0.8548,0.8135
3300,0.6064,-12.6298,0.4223,0.3674
3400,0.2546,-12.4857,0.8294,0.6603
3500,0.2254,-12.6736,0.5455,0.5528
3600,0.2283,-12.844,0.5266,0.5444
3700,0.1631,-12.5871,0.512,0.47
3800,0.2237,-12.7119,0.6147,0.4811
3900,0.3657,-12.6755,0.9354,0.7399
4000,0.1886,-12.3061,0.5359,0.4702
4100,0.259,-12.9212,0.3501,0.3394
4200,0.2654,-13.2554,0.5533,0.5806
4300,0.1815,-13.0668,0.2483,0.2161
4400,0.2027,-13.433,1.119,0.9927
4500,0.231,-13.4519,1.4444,1.1688
4600,0.1701,-13.0274,0.6775,0.5685
4700,0.191,-13.882,1.506,1.3814
4800,0.2649,-13.6185,0.5548,0.4471
4900,0.1867,-13.5921,1.2842,1.0417
5000,0.2589,-14.2478,1.0429,0.7796
5100,0.4467,-13.9741,4.6252,4.7607
5200,0.2353,-13.9966,0.6073,0.562
5300,0.2591,-13.9264,0.7293,0.7103
5400,0.3205,-14.2375,0.8468,0.686
5500,0.2368,-14.1386,1.4237,1.3071
5600,0.247,-14.5284,0.5857,0.5078
5700,0.5615,-14.3815,2.3569,2.1332
5800,0.3092,-14.1599,3.1393,3.2594
5900,0.2967,-14.1254,1.1859,1.0934
6000,0.3266,-14.7783,2.0663,2.3941
6100,0.2765,-14.6287,2.2182,2.28
6200,0.3181,-14.6215,2.9214,3.2028
6300,0.3265,-14.6126,1.4002,1.2784
6400,0.2803,-14.5482,3.0477,2.9823
6500,0.3019,-14.8074,2.0013,1.9631
6600,0.3695,-14.8076,0.9103,0.9244
6700,0.2937,-14.562,2.6842,2.7867
6800,0.3478,-14.8852,2.2396,1.9344
6900,0.4065,-14.7252,2.6513,2.4259
7000,0.3201,-14.706,3.5848,3.0634
7100,0.3216,-14.9745,3.1022,3.5031
7200,0.3716,-14.9227,2.0213,1.6277
7300,0.3237,-14.7901,2.9171,2.7064
7400,0.3424,-14.8341,2.3154,2.4495
7500,0.4161,-15.4121,4.2949,4.5744
7600,0.3365,-15.1682,2.0536,1.968
7700,0.408,-15.1209,1.6543,1.5204
7800,0.4307,-14.8986,5.3588,5.3183
7900,0.3481,-15.1082,4.9514,4.9078
8000,0.5219,-15.0901,2.8019,2.4624
8100,0.6122,-14.9585,4.4046,3.7218
8200,0.4366,-14.87,1.6993,1.907
8300,0.4756,-14.9805,4.425,4.4031
8400,0.471,-14.8863,5.8862,6.133
8500,0.43,-14.9203,2.0767,1.8007
8600,0.5188,-15.0529,7.8091,8.115
8700,0.5219,-15.2783,1.9725,1.8184
8800,0.4539,-15.067,3.2043,3.0218
8900,0.625,-15.135,4.1606,3.8721
9000,0.5171,-14.8574,1.8262,2.0305
9100,0.4549,-14.9167,4.6068,4.3311
9200,0.5865,-15.1479,1.9737,1.776
9300,0.5892,-15.1517,6.726,6.3998
9400,0.5314,-15.0032,1.2089,1.0668
9500,0.5544,-15.4035,3.9695,3.5934
9600,0.5974,-15.0062,2.9776,2.9177
9700,0.5008,-14.7425,1.7656,1.6069
9800,0.6247,-15.1664,8.4781,8.3855
9900,0.68,-14.9196,2.0123,1.6571
10000,0.5996,-14.8527,3.9346,4.0571
10100,0.6114,-14.8697,4.3909,3.9287
10200,0.6946,-14.8933,4.3863,4.3281
10300,0.6001,-15.326,1.5065,1.5189
10400,0.7712,-15.1661,6.1042,5.926
10500,0.692,-14.9041,2.0787,1.896
10600,0.6306,-14.8585,3.257,2.6898
10700,0.6591,-14.7567,4.9627,4.3103
10800,0.6592,-15.2277,3.7971,3.4896
10900,0.5925,-14.7757,3.9286,3.7437
11000,0.6429,-14.8154,4.7939,4.1878
11100,0.6925,-14.6381,4.1665,3.968
11200,0.6043,-14.6901,12.3349,12.2853
11300,0.6861,-14.3775,4.3162,4.2284
11400,0.7157,-14.4413,4.7885,4.9357
11500,0.6243,-14.697,2.4177,2.4803
11600,0.652,-14.5451,2.8504,2.6106
11700,0.6483,-14.3939,3.2517,3.1682
11800,0.5961,-14.1395,2.0697,2.1456
11900,0.6535,-13.9849,3.3758,3.0922
12000,0.6565,-13.9702,3.5471,3.289
12100,0.5811,-13.8324,4.1867,4.4081
12200,0.6023,-13.9995,3.0925,3.165
12300,0.6351,-13.5418,3.3476,2.9589
12400,0.5519,-13.6348,1.3165,1.2782
12500,0.5873,-13.8539,1.3146,1.2408
12600,0.6281,-13.8435,1.3064,1.2594
12700,0.5262,-13.445,2.2674,2.1347
12800,0.5333,-13.3705,3.4721,3.4701
12900,0.5321,-13.2844,6.6477,6.3799
13000,0.4842,-12.9357,3.593,3.4685
13100,0.5066,-12.942,2.5703,2.5806
13200,0.614,-13.4581,3.6292,3.5217
13300,0.5417,-12.8762,6.2841,6.2276
13400,0.5366,-13.3888,1.8385,1.6433
13500,0.5359,-13.0566,1.4072,1.3057
13600,0.4879,-12.8462,1.6289,1.5583
13700,0.4828,-13.1267,2.6619,2.4973
13800,0.4545,-12.8921,1.8971,1.9377
13900,0.4216,-12.7537,1.4864,1.4364
14000,0.4461,-12.6384,2.0983,2.0801
14100,0.4183,-12.8561,0.8438,0.8045
14200,0.4051,-12.6309,2.2919,2.1411
14300,0.4101,-13.0307,2.7983,2.6332
14400,0.4379,-12.8981,1.4141,1.584
14500,0.3903,-12.791,1.5615,1.3689
14600,0.4165,-12.4957,2.392,2.2568
14700,0.4409,-12.7955,1.3703,1.3297
14800,0.4001,-12.7728,3.8226,3.6244
14900,0.426,-13.0887,1.9816,1.932
15000,0.518,-12.7182,3.3206,3.2887
15100,0.3993,-12.629,1.4001,1.2909
15200,0.4071,-12.8443,1.9035,1.9894
15300,0.4405,-13.0909,2.4033,2.1452
15400,0.3893,-12.8392,6.6285,6.5758
15500,0.4039,-12.874,1.7021,1.6634
15600,0.4245,-13.0849,4.3563,4.2561
15700,0.388,-13.2875,1.9861,1.8737
15800,0.4089,-13.1437,2.2067,2.4802
15900,0.4573,-12.9899,1.0925,1.0453
16000,0.4206,-13.362,1.9444,1.7535
16100,0.4338,-13.1349,3.5236,3.397
16200,0.4589,-13.3104,0.9501,0.8321
16300,0.4333,-13.425,2.4243,2.3503
