env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-23.2,0.12,0.0,100,0.0,1.1041
100,-1128.9,0.08,0.0,100,84.0481,1.1898
200,-1015.2001,0.19,0.0,100,91.3352,1.0949
300,-25.8,0.08,0.0,100,45.308,2.2071
400,-942.6,0.11,0.0,100,52.4724,1.9058
500,-844.0,0.15,0.0,100,62.1962,1.6078
600,-16.1,0.11,0.0,100,84.4688,1.1839
700,-1129.4001,0.08,0.0,100,71.2266,1.404
800,-825.7,0.18,0.0,100,71.257,1.4034
900,-22.0,0.1,0.0,100,52.5957,1.9013
1000,-952.4001,0.12,0.0,100,1.0172,98.3122
1100,-720.3,0.12,0.0,100,7.1385,14.0086
1200,-28.2,0.12,0.0,100,7.3073,13.6849
1300,-1148.8,0.1,0.0,100,7.6427,13.0844
1400,-765.8,0.15,0.0,100,7.6898,13.0042
1500,-29.3,0.13,0.0,100,7.6842,13.0138
1600,-1008.9,0.11,0.0,100,7.2514,13.7904
1700,-947.4,0.03,0.0,100,7.2941,13.7097
1800,-20.4,0.14,0.0,100,7.1536,13.979
1900,-1016.0,0.13,0.0,100,7.295,13.708
2000,-848.0,0.11,0.0,100,7.0476,14.1892
2100,-29.1,0.11,0.0,100,6.9416,14.4059
2200,-1103.7001,0.09,0.0,100,7.298,13.7024
2300,-781.5,0.13,0.0,100,7.3566,13.5933
2400,-20.1,0.11,0.0,100,7.3479,13.6093
2500,-992.9,0.14,0.0,100,7.4634,13.3986
2600,-877.4,0.15,0.0,100,7.3585,13.5897
2700,-22.9,0.09,0.0,100,7.406,13.5026
2800,-1046.6001,0.12,0.0,100,6.8959,14.5013
2900,-833.0,0.11,0.0,100,7.2484,13.7961
3000,-24.1,0.11,0.0,100,7.3449,13.6148
3100,-1016.1001,0.07,0.0,100,7.3616,13.584
3200,-962.1,0.16,0.0,100,7.5073,13.3203
3300,-28.5,0.15,0.0,100,7.5724,13.2058
3400,-1065.4001,0.09,0.0,100,7.101,14.0826
3500,-838.3999,0.11,0.0,100,7.138,14.0094
3600,-15.6,0.06,0.0,100,7.2448,13.803
3700,-1046.5,0.09,0.0,100,7.5191,13.2994
3800,-750.3,0.11,0.0,100,7.5189,13.2999
3900,-29.7,0.07,0.0,100,7.3101,13.6797
4000,-938.2001,0.15,0.0,100,7.3411,13.6219
4100,-721.1,0.09,0.0,100,7.3643,13.579
4200,-25.5,0.15,0.0,100,7.2448,13.803
4300,-1015.9,0.12,0.0,100,7.0798,14.1246
4400,-812.6,0.12,0.0,100,7.0047,14.2762
4500,-29.1,0.11,0.0,100,7.3529,13.6002
4600,-1136.5,0.17,0.0,100,6.9848,14.3168
4700,-701.1,0.1,0.0,100,7.307,13.6856
4800,-17.4,0.04,0.0,100,7.2929,13.712
4900,-467.4,0.07,0.0,100,7.4694,13.388
5000,-826.4,0.12,0.0,100,7.1462,13.9935
5100,-20.5,0.15,0.0,100,7.3459,13.613
5200,-1031.8,0.13,0.0,100,7.0367,14.2112
5300,-824.6,0.1,0.0,100,6.8563,14.5852
5400,-16.8,0.08,0.0,100,7.5741,13.2029
5500,-1035.7,0.13,0.0,100,7.4656,13.3948
5600,-829.7,0.11,0.0,100,7.6235,13.1173
5700,-22.7,0.17,0.0,100,7.6957,12.9942
5800,-1055.7001,0.1,0.0,100,7.8103,12.8036
5900,-802.4,0.17,0.0,100,7.6363,13.0954
6000,-26.4,0.04,0.0,100,7.2016,13.8858
6100,-855.7001,0.12,0.0,100,7.3436,13.6174
6200,-735.7,0.17,0.0,100,7.1503,13.9855
6300,-25.7,0.07,0.0,100,7.0918,14.1008
6400,-1125.6001,0.12,0.0,100,6.94,14.4091
6500,-583.5,0.07,0.0,100,7.25,13.7932
6600,-29.0,0.1,0.0,100,7.0475,14.1895
6700,-904.7001,0.1,0.0,100,7.2469,13.7991
6800,-791.0,0.13,0.0,100,7.1853,13.9174
6900,-25.4,0.14,0.0,100,6.948,14.3927
7000,-818.9,0.23,0.0,100,6.85,14.5986
7100,-766.7,0.18,0.0,100,7.1936,13.9012
7200,-25.6,0.16,0.0,100,7.4075,13.4999
7300,-1085.4001,0.1,0.0,100,7.2488,13.7954
7400,-788.7,0.1,0.0,100,7.5651,13.2186
7500,-23.9,0.09,0.0,100,7.0021,14.2815
7600,-945.7001,0.15,0.0,100,7.1335,14.0184
