env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-25.9,0.09,0.0,100,0.0,2.0824
100,-1124.8,0.15,0.0,100,49.4769,2.0212
200,-855.1,0.14,0.0,100,55.2843,1.8088
300,-15.4,0.14,0.0,100,83.6002,1.1962
400,-1064.2001,0.16,0.0,100,93.4095,1.0706
500,-516.8,0.17,0.0,100,107.6828,0.9287
600,-22.6,0.06,0.0,100,49.9083,2.0037
700,-1020.3,0.11,0.0,100,56.0016,1.7857
800,-887.8,0.15,0.0,100,58.8677,1.6987
900,-25.6,0.06,0.0,100,66.3568,1.507
1000,-1139.0,0.14,0.0,100,1.7129,58.3803
1100,-693.6,0.13,0.0,100,10.8442,9.2215
1200,-24.0,0.1,0.0,100,10.8894,9.1833
1300,-1092.4,0.08,0.0,100,10.405,9.6108
1400,-718.4,0.06,0.0,100,10.3225,9.6876
1500,-23.9,0.09,0.0,100,10.3032,9.7057
1600,-1078.9,0.13,0.0,100,10.8675,9.2017
1700,-702.1,0.08,0.0,100,11.1273,8.9869
1800,-27.8,0.08,0.0,100,11.4932,8.7008
1900,-1131.8,0.13,0.0,100,11.0942,9.0137
2000,-695.9,0.14,0.0,100,10.19,9.8136
2100,-21.3,0.13,0.0,100,10.3319,9.6788
2200,-1084.9001,0.04,0.0,100,11.4704,8.7181
2300,-906.3,0.15,0.0,100,11.0125,9.0806
2400,-20.0,0.1,0.0,100,10.5277,9.4988
2500,-1011.4,0.08,0.0,100,11.1041,9.0057
2600,-712.9,0.16,0.0,100,10.4284,9.5892
2700,-20.8,0.18,0.0,100,10.6393,9.3991
2800,-904.8,0.14,0.0,100,13.4966,7.4093
2900,-817.5,0.12,0.0,100,12.3134,8.1213
3000,-19.2,0.12,0.0,100,11.6574,8.5782
3100,-1117.8,0.16,0.0,100,10.6405,9.3981
3200,-786.9999,0.08,0.0,100,10.0887,9.9121
3300,-30.0,0.1,0.0,100,10.0124,9.9876
3400,-1023.6,0.12,0.0,100,10.5348,9.4924
3500,-884.3,0.15,0.0,100,11.3607,8.8023
3600,-20.0,0.1,0.0,100,10.8567,9.2109
3700,-1112.7001,0.13,0.0,100,11.1209,8.9921
3800,-751.5,0.16,0.0,100,10.3884,9.6262
3900,-19.9,0.09,0.0,100,10.7569,9.2964
4000,-940.1,0.06,0.0,100,9.9965,10.0035
4100,-836.7,0.09,0.0,100,11.2641,8.8777
4200,-24.6,0.16,0.0,100,11.1224,8.9909
4300,-1144.9,0.13,0.0,100,10.8287,9.2348
4400,-947.3,0.1,0.0,100,11.4971,8.6978
4500,-21.2,0.12,0.0,100,10.6596,9.3812
4600,-909.3,0.09,0.0,100,10.2112,9.7932
4700,-608.7,0.08,0.0,100,10.2028,9.8012
4800,-30.0,0.1,0.0,100,10.74,9.311
4900,-1094.6001,0.11,0.0,100,12.2066,8.1923
5000,-719.7,0.14,0.0,100,10.4256,9.5918
5100,-25.0,0.1,0.0,100,10.5265,9.4999
5200,-993.2,0.09,0.0,100,10.6207,9.4156
5300,-719.9,0.14,0.0,100,10.4147,9.6018
5400,-23.4,0.14,0.0,100,10.4375,9.5808
5500,-1055.0,0.15,0.0,100,10.1885,9.815
5600,-734.1,0.08,0.0,100,10.6499,9.3897
5700,-18.4,0.04,0.0,100,11.3552,8.8065
5800,-1000.6,0.14,0.0,100,11.3444,8.8149
5900,-832.6,0.15,0.0,100,11.3855,8.7831
6000,-23.9,0.09,0.0,100,10.5105,9.5143
6100,-1079.1,0.16,0.0,100,10.0048,9.9952
6200,-762.4,0.12,0.0,100,10.4185,9.5983
6300,-26.9,0.09,0.0,100,11.3314,8.825
6400,-1018.5001,0.1,0.0,100,11.5447,8.662
6500,-914.8,0.1,0.0,100,11.6283,8.5997
6600,-20.2,0.12,0.0,100,10.7395,9.3114
