env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
1000,22.3306,-5.6544,6.3363,4.6679
1100,3.8973,-9.4819,5.7804,4.4746
1200,4.1925,-9.4777,6.0735,4.1356
1300,3.7364,-9.2167,11.388,10.5115
1400,5.7836,-9.7091,10.1459,4.99
1500,5.1633,-10.1494,9.147,6.5631
1600,4.7643,-9.6015,6.2439,2.9117
1700,4.4003,-10.0075,4.5379,2.2804
1800,4.9769,-10.5099,6.2044,3.6956
1900,4.4058,-9.81,8.566,7.6659
2000,5.126,-10.1777,8.0538,5.1665
2100,5.4889,-10.4062,12.1088,9.5514
2200,4.9429,-10.0498,17.6795,16.9386
2300,5.2528,-10.2519,9.0345,7.4567
2400,5.2129,-10.3689,12.1874,9.9089
2500,4.6763,-9.8317,9.4554,7.8431
2600,5.2652,-10.0321,7.2446,3.8582
2700,5.5875,-10.0242,14.7461,12.2882
2800,4.5573,-9.6884,6.8686,4.164
2900,5.5523,-9.9342,22.076,20.9957
3000,5.6432,-9.9365,16.0623,14.9552
3100,4.9871,-9.1963,9.3871,6.518
3200,5.5861,-9.6258,14.8136,14.3458
3300,5.5721,-9.4471,14.5644,13.0264
3400,5.2627,-8.9912,9.5453,6.4938
3500,5.163,-9.4756,20.7766,18.4807
3600,4.862,-9.3681,7.068,4.4653
3700,4.8384,-9.068,16.7764,16.2092
3800,5.0907,-9.179,12.8862,10.0252
3900,5.0984,-9.1863,17.4694,17.355
4000,4.405,-9.3925,7.4318,4.5265
4100,4.4269,-9.2427,16.7246,16.504
4200,4.9399,-9.671,9.4146,9.2513
4300,4.2036,-9.5639,7.26,5.7599
4400,4.7587,-9.5703,22.5136,23.8122
4500,4.7082,-9.3146,12.2344,10.238
4600,4.1626,-9.3429,7.8451,5.2788
4700,4.0025,-9.2712,6.992,5.6879
4800,4.1542,-9.4992,8.2866,7.486
4900,4.1,-9.2887,21.3796,22.2884
5000,4.5411,-9.4755,8.8902,7.3853
5100,4.3462,-9.8527,23.2437,26.7701
5200,3.8483,-9.5544,12.9187,13.9681
5300,3.8248,-9.3547,19.6421,23.2552
5400,3.9313,-9.6028,9.0454,9.376
5500,3.6745,-9.3715,11.9074,13.1903
5600,3.7149,-9.6021,9.9411,8.1981
5700,3.3384,-9.6542,21.8246,25.28
5800,3.9249,-9.7625,22.1058,24.5087
5900,3.3248,-9.6326,17.0018,19.5327
6000,3.7034,-9.9976,7.6121,8.7801
6100,3.6467,-9.6338,7.9782,8.0793
6200,3.2998,-9.7019,17.2,18.5703
6300,3.3037,-9.5532,8.0444,7.7596
6400,3.2117,-9.6159,19.3166,21.91
6500,3.4871,-9.7668,22.2124,25.5131
6600,3.2891,-9.9624,14.5648,17.4942
6700,3.2089,-9.7135,20.2755,23.0262
6800,3.1912,-10.1224,18.3741,19.4921
6900,3.1916,-10.1151,10.4237,8.5458
7000,3.2368,-10.1815,11.447,10.031
7100,3.1597,-10.1014,8.7963,9.8355
7200,3.2119,-10.2464,16.1457,16.7876
7300,3.1571,-10.3048,6.7449,5.5069
7400,3.2623,-10.3124,15.7158,12.743
7500,3.0403,-10.3266,10.9128,10.4998
7600,3.0981,-9.8555,12.3317,10.8481
7700,2.9707,-10.5108,16.5588,23.3466
7800,2.8594,-10.4299,8.476,8.3101
7900,3.0877,-10.2572,9.6891,11.1044
8000,2.9691,-10.6494,13.8409,16.8054
8100,3.1417,-10.4903,24.8056,33.2254
8200,3.3114,-10.1563,17.5172,19.1389
8300,2.8318,-10.2725,11.1024,13.0926
8400,3.1086,-10.6406,7.7665,6.3266
8500,3.1399,-10.324,11.4212,13.6433
8600,2.6078,-10.3898,8.6009,6.5059
8700,2.9053,-10.6981,17.5316,20.965
8800,3.0241,-10.6062,21.2905,23.9944
8900,2.9027,-10.7962,18.019,22.6518
9000,3.2333,-11.2008,26.9421,35.3279
9100,2.7922,-10.607,17.1292,21.6625
9200,3.1888,-10.8429,18.9078,25.8025
9300,3.0371,-10.6235,12.0935,13.6882
9400,2.9146,-10.7274,14.9929,17.7498
9500,2.9388,-11.2266,8.2358,10.1733
9600,2.7333,-11.283,18.3298,23.8332
9700,2.6353,-11.2283,8.1259,9.0321
9800,3.0552,-11.1108,12.5529,17.8617
9900,3.0114,-11.5461,13.8014,18.8669
10000,2.8869,-11.507,14.0735,18.1011
10100,3.251,-11.4259,8.6558,6.2084
10200,2.7862,-11.1933,7.5558,8.7509
10300,2.606,-11.2658,10.0532,13.5151
10400,2.7872,-11.5799,14.0694,18.0387
10500,2.5939,-11.5839,5.4585,5.9627
10600,2.5947,-11.9715,5.536,6.5417
10700,2.9648,-11.8361,8.1795,10.8332
10800,2.9805,-11.8795,11.8141,17.3587
10900,2.8641,-11.816,7.1012,6.9031
11000,2.9708,-12.0811,16.6413,22.479
11100,3.025,-12.2227,16.1946,21.547
11200,3.154,-12.2694,14.1972,21.1448
11300,2.8141,-12.4804,20.3493,31.294
11400,3.0086,-12.3938,11.5749,15.6089
11500,3.032,-12.3729,7.5441,9.1975
11600,2.9743,-12.2051,10.7718,14.4072
11700,2.8717,-12.5492,17.6473,24.5311
11800,3.0637,-12.39,12.2553,16.117
11900,3.2025,-12.262,22.2423,31.4074
12000,3.437,-12.7579,12.0149,16.9732
12100,3.0978,-12.9001,14.2122,17.3094
12200,3.3772,-12.9516,11.6893,15.0326
12300,3.0392,-13.3481,10.2201,9.9404
12400,2.969,-12.8829,8.1125,9.9849
12500,3.319,-13.367,18.9815,28.2287
12600,3.2873,-13.6353,11.3553,14.1872
12700,3.3152,-13.255,13.1627,18.5815
12800,3.4518,-14.0617,12.6174,19.2961
12900,3.1452,-13.9347,11.0321,12.173
13000,3.3823,-13.9963,8.5072,11.6991
13100,3.2701,-14.2034,8.2205,9.763
13200,3.3134,-14.4287,32.3485,50.6628
13300,3.9445,-14.3328,17.835,26.8298
13400,3.5099,-14.6928,10.5205,15.5206
13500,3.8562,-14.8474,21.0185,29.1495
13600,3.4948,-14.6439,32.3744,59.2139
13700,3.601,-14.561,10.2202,15.4516
13800,3.7012,-15.0316,32.5413,50.8706
13900,3.5727,-15.0411,11.5803,12.1525
14000,3.6592,-15.0776,9.1492,9.2061
14100,4.1559,-15.408,14.5883,22.4487
14200,4.3895,-15.6868,27.334,40.3074
14300,4.5101,-15.537,18.4717,27.6855
14400,4.211,-15.7889,30.8779,39.8983
14500,4.0442,-16.2355,23.4603,29.2334
14600,4.6734,-16.0325,8.3025,9.5227
14700,4.2054,-16.2199,22.2583,33.8291
14800,4.3351,-16.5024,11.7124,15.1146
14900,4.1993,-16.4761,15.6308,21.4232
15000,4.4642,-17.0499,10.8736,14.5301
15100,4.4288,-16.9928,31.6698,44.8004
15200,4.5012,-16.683,35.3513,47.3499
15300,4.1455,-16.6535,14.8204,17.9956
15400,4.7189,-17.1916,16.301,24.5663
15500,4.8474,-17.2325,17.7689,21.2687
15600,5.0018,-17.6376,18.3976,23.5545
15700,5.2719,-18.0455,27.0628,41.6373
15800,4.3003,-17.7261,13.4475,17.4653
15900,4.9045,-17.8289,17.0211,22.9716
16000,5.0741,-17.7493,17.4111,21.6499
16100,4.2994,-17.5995,16.8864,21.3048
16200,5.2941,-17.9904,17.4754,20.3836
16300,5.0209,-18.3674,14.2584,18.0176
16400,5.3114,-17.7265,24.766,38.9221
16500,4.9519,-18.2154,14.1657,19.508
16600,4.9497,-18.3896,13.3287,15.5916
16700,5.459,-18.5427,14.1299,18.9386
16800,5.1088,-18.3098,31.135,49.9819
16900,4.9566,-19.1068,15.6952,16.4111
17000,5.2436,-18.5619,20.4742,32.7037
17100,5.0772,-18.6145,13.8722,13.9569
17200,6.1561,-18.3229,22.906,31.6607
17300,5.7626,-18.7747,24.3919,36.8788
17400,5.7779,-19.1591,52.1767,81.0308
17500,5.2643,-19.5352,21.7057,30.3968
17600,5.904,-19.9259,14.7684,18.3592
17700,4.9682,-19.0779,8.9021,11.2606
17800,6.3187,-19.9022,34.9218,49.7955
17900,5.2112,-19.8082,10.6414,12.68
