env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
1000,10.3795,-6.1149,0.4619,0.4133
1100,0.1804,-9.1213,0.6458,0.6013
1200,0.343,-9.3175,0.169,0.1242
1300,0.1435,-9.0726,0.096,0.0686
1400,0.3847,-9.4162,1.0762,0.9717
1500,0.2333,-9.97,0.4429,0.4011
1600,0.1439,-9.4392,0.2083,0.2249
1700,0.1668,-9.7498,0.1329,0.0974
1800,0.3925,-10.0518,0.2356,0.1782
1900,0.142,-9.6569,0.2098,0.1834
2000,0.3095,-10.0054,0.1616,0.1276
2100,0.1798,-10.3435,0.1815,0.1383
2200,0.1534,-10.2468,0.1948,0.152
2300,0.3636,-10.3818,1.3196,1.1865
2400,0.265,-10.3261,0.4568,0.4188
2500,0.2064,-10.1844,0.3077,0.2606
2600,0.1694,-10.7503,0.1782,0.1691
2700,0.2188,-10.9642,0.3601,0.2975
2800,0.1573,-10.4392,0.4275,0.3216
2900,0.2033,-11.1453,0.506,0.3922
3000,0.3785,-11.3158,0.7075,0.6227
3100,0.1681,-10.879,0.2247,0.1702
3200,0.233,-11.317,0.2782,0.2013
3300,0.2103,-11.8034,0.8143,0.7646
3400,0.157,-11.5277,0.248,0.2184
3500,0.2069,-12.0374,0.3474,0.2645
3600,0.3979,-12.2662,1.3384,1.1173
3700,0.1919,-11.9899,0.7407,0.5746
3800,0.2324,-11.9282,0.474,0.4141
3900,0.2046,-12.3037,0.4867,0.42
4000,0.1716,-12.3419,1.2426,1.0721
4100,0.2834,-12.4474,0.8904,0.8397
4200,0.3764,-12.8006,0.3695,0.3737
4300,0.2958,-12.5401,1.1114,1.1525
4400,0.322,-12.9573,0.8314,0.7712
4500,0.2937,-12.8981,0.4104,0.3756
4600,0.2429,-12.9579,0.8387,0.6494
4700,0.2987,-12.963,0.93,0.8669
4800,0.3095,-13.2767,0.4336,0.3766
4900,0.2288,-13.0986,0.3608,0.3394
5000,0.2664,-13.4724,0.4372,0.3908
5100,0.3194,-13.722,4.1296,4.0069
5200,0.2494,-13.5387,4.7881,4.5677
5300,0.2802,-13.692,4.156,3.768
5400,0.3229,-14.0716,0.4618,0.4307
5500,0.2345,-13.7597,1.4483,1.1381
5600,0.3024,-13.9574,2.0188,1.7702
5700,0.2987,-14.113,2.3425,1.9769
5800,0.2315,-14.1793,1.1848,0.9336
5900,0.2908,-14.195,0.7489,0.6982
6000,0.297,-14.6791,1.3285,1.3467
6100,0.2407,-13.9937,2.9381,2.5793
6200,0.3289,-14.4365,1.5468,1.3366
6300,0.4592,-14.4714,5.1081,4.8829
6400,0.2596,-14.4443,1.8689,1.7338
6500,0.3853,-14.685,1.817,1.8473
6600,0.315,-14.9405,4.9418,4.5169
6700,0.2987,-14.8629,1.7622,1.5657
6800,0.37,-15.0913,1.525,1.4294
6900,0.4448,-15.003,2.0027,1.7379
7000,0.3496,-15.1729,6.7545,6.0237
7100,0.4106,-15.2598,2.2577,1.9001
7200,0.409,-15.3672,1.0743,1.0296
7300,0.3535,-15.4592,4.6818,4.3333
7400,0.3798,-15.6435,3.5582,3.3949
7500,0.5538,-15.3204,1.8064,1.6391
7600,0.349,-15.079,1.9796,1.8279
7700,0.3576,-15.8071,2.7056,2.3881
7800,0.3598,-15.7044,3.1083,2.918
7900,0.3265,-15.6738,1.243,1.1061
8000,0.3415,-15.928,3.3318,3.0578
8100,0.3791,-15.8615,1.0122,0.8815
8200,0.3301,-15.6367,2.8011,2.2579
8300,0.4226,-15.4668,7.3565,6.5421
8400,0.4364,-15.7702,1.3101,1.1607
8500,0.3526,-15.3986,2.0743,2.1543
8600,0.4117,-15.146,3.5541,3.2793
8700,0.4648,-15.6922,2.6782,2.6531
8800,0.3857,-15.4014,3.1932,2.6924
8900,0.3998,-15.8953,1.8516,1.6698
9000,0.4646,-15.7742,4.9855,4.6982
9100,0.3784,-14.9944,2.535,2.407
9200,0.4417,-15.1747,10.4123,9.7511
9300,0.4736,-15.1183,2.3876,2.4989
9400,0.4066,-15.3238,1.0306,0.9769
9500,0.4512,-15.4276,4.6032,4.4962
9600,0.4172,-15.4376,5.5542,5.2229
9700,0.3668,-15.4529,2.0129,1.8278
9800,0.4822,-15.4694,4.2805,3.9918
9900,0.4735,-15.8786,1.4314,1.5856
10000,0.4281,-15.573,5.6264,5.4504
10100,0.4481,-15.4735,1.0201,0.9756
10200,0.6106,-15.8926,2.3853,2.1527
10300,0.4521,-15.5966,7.9088,7.5048
10400,0.4705,-15.3166,3.2615,3.1027
10500,0.5375,-15.4721,1.2053,1.1235
10600,0.455,-15.489,3.124,2.8851
10700,0.4828,-15.2261,2.4273,2.3855
10800,0.5285,-15.2588,8.1434,7.3867
10900,0.4585,-15.1956,3.7253,3.3136
11000,0.4795,-15.1897,4.9286,4.551
11100,0.5448,-15.1031,1.9622,2.1414
11200,0.4722,-15.3273,2.6939,2.5652
11300,0.5135,-14.9754,2.075,2.1431
11400,0.4873,-14.8467,4.4293,4.3857
11500,0.4478,-14.7513,3.9446,3.6217
11600,0.5285,-15.0198,1.7491,1.6868
11700,0.5478,-15.2515,2.7623,2.5528
11800,0.4745,-14.7717,5.1755,5.1385
11900,0.5902,-14.4666,6.0215,5.6549
12000,0.5808,-14.924,2.2475,2.4243
12100,0.4679,-14.6623,3.8587,3.9774
12200,0.4926,-14.9266,2.471,2.1499
12300,0.5539,-15.2561,0.9521,0.9878
12400,0.4552,-14.781,2.9962,2.8846
12500,0.5205,-15.2206,2.62,2.4325
12600,0.5204,-15.0472,3.9162,4.1674
12700,0.466,-14.9628,5.8275,5.4395
12800,0.5117,-15.045,3.597,3.1383
12900,0.5927,-14.9653,18.8479,18.8638
13000,0.5014,-15.0218,4.0435,3.9758
13100,0.5002,-14.8846,2.8377,2.9389
13200,0.5576,-15.2236,5.1795,5.3502
13300,0.4849,-14.6618,2.217,2.1742
13400,0.6199,-15.2991,9.9678,9.8235
13500,0.6094,-15.2593,5.4699,5.6244
13600,0.5154,-14.7332,3.9093,4.1657
13700,0.5388,-14.6481,4.7276,4.5181
13800,0.5789,-15.1422,8.137,8.5724
13900,0.5204,-14.7725,3.2746,3.1036
14000,0.5966,-14.5808,5.9819,5.9253
14100,0.5967,-14.4493,6.5294,7.0095
14200,0.591,-15.0033,3.1197,2.9742
14300,0.5938,-14.5631,3.8836,4.0425
14400,0.5956,-14.3216,2.1458,2.2803
14500,0.5602,-14.9059,6.0425,6.3766
14600,0.6027,-14.84,4.3464,4.7385
14700,0.615,-14.5995,4.1967,4.4021
14800,0.5785,-14.4439,5.8635,5.7971
14900,0.5759,-14.4217,5.8393,5.7171
15000,0.6195,-14.5895,4.8188,4.7333
15100,0.5764,-14.3418,6.4994,5.9236
15200,0.5994,-14.2903,2.9241,2.7187
15300,0.6795,-14.3644,5.188,5.7433
15400,0.643,-14.4438,18.903,18.8271
15500,0.6299,-14.2346,5.3384,4.9064
15600,0.608,-14.4419,3.1472,3.3846
15700,0.586,-14.7199,6.0116,5.8108
15800,0.5995,-14.4159,1.5759,1.6084
15900,0.6897,-14.5618,6.8328,5.9336
16000,0.5986,-14.1702,4.1303,3.9818
16100,0.5796,-14.0641,1.8158,1.7196
16200,0.6412,-14.3012,7.3048,6.8915
16300,0.5732,-14.3246,5.2196,5.1606
16400,0.5826,-13.7917,2.7746,2.9678
16500,0.5858,-14.2138,3.4946,3.5009
16600,0.5507,-13.9439,5.3445,5.021
16700,0.5832,-14.1045,7.7184,7.8195
16800,0.5559,-13.7969,2.3508,2.4059
16900,0.5346,-13.9057,1.2051,1.2712
17000,0.5814,-14.0007,3.1346,2.9313
17100,0.5752,-13.828,3.8728,4.2115
17200,0.5503,-13.5535,3.8588,3.7454
17300,0.5674,-13.5397,2.3727,2.2339
17400,0.6512,-14.0008,3.9364,3.8425
17500,0.5646,-13.6318,4.1865,4.1168
17600,0.623,-13.6856,11.7698,12.2397
17700,0.6481,-13.7918,3.2219,3.2527
17800,0.5685,-13.6236,8.8981,9.2759
17900,0.5965,-13.9473,5.603,5.6067
18000,0.6317,-13.9571,3.7647,4.282
18100,0.5774,-13.5981,2.759,2.9155
18200,0.5817,-13.45,9.135,9.414
18300,0.6062,-13.8314,5.3944,5.6398
18400,0.5719,-13.5264,5.3321,5.5055
18500,0.6237,-13.6193,3.0548,3.4337
18600,0.591,-13.6476,4.0668,4.0166
18700,0.5562,-13.4653,5.0349,5.4597
18800,0.5711,-13.4619,3.4828,3.4765
18900,0.6071,-13.7315,6.5487,6.2239
19000,0.5392,-13.3169,5.845,5.8078
19100,0.5779,-13.5983,2.784,2.789
19200,0.5606,-13.2989,1.5332,1.5446
19300,0.5433,-13.2639,1.9881,1.9081
19400,0.5219,-13.082,8.8213,9.3123
19500,0.5258,-12.9315,4.0933,4.1204
19600,0.5285,-13.3612,2.2404,2.5193
19700,0.5402,-13.1638,4.7576,5.1062
19800,0.5244,-13.0507,1.9389,1.9656
19900,0.5119,-13.1065,1.3819,1.3358
20000,0.508,-13.0396,1.2923,1.2276
20100,0.5431,-12.8435,1.817,1.9331
20200,0.4958,-13.0568,3.8512,4.0223
20300,0.4939,-12.7426,2.5572,2.3884
20400,0.4979,-13.0319,1.6729,1.6276
20500,0.4828,-12.5347,5.296,5.3242
20600,0.5331,-12.8404,1.8733,1.7131
20700,0.5343,-12.4863,3.9828,4.1636
20800,0.4802,-12.6011,2.695,2.5066
20900,0.4785,-12.2049,3.2598,3.3771
21000,0.5143,-12.6015,1.9736,1.8794
21100,0.4602,-12.4169,1.5731,1.4871
21200,0.5079,-12.4927,3.2235,3.192
