env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-31.2,0.12,0.0,100,0.0,1.0755
100,-1113.1,0.15,0.0,100,69.8629,1.4314
200,-851.2,0.13,0.0,100,66.6369,1.5007
300,-28.1,0.11,0.0,100,73.1201,1.3676
400,-1056.9,0.1,0.0,100,107.1902,0.9329
500,-801.0,0.1,0.0,100,111.1243,0.8999
600,-23.2,0.12,0.0,100,90.9475,1.0995
700,-1046.2001,0.08,0.0,100,66.9167,1.4944
800,-610.1,0.14,0.0,100,63.3487,1.5786
900,-25.2,0.12,0.0,100,71.6284,1.3961
1000,-1144.1001,0.07,0.0,100,1.2851,77.8147
1100,-828.5,0.08,0.0,100,9.6963,10.3132
1200,-14.7,0.17,0.0,100,9.8234,10.1797
1300,-1019.8,0.1,0.0,100,10.1836,9.8197
1400,-692.3,0.07,0.0,100,10.2114,9.793
1500,-22.9,0.09,0.0,100,9.3382,10.7087
1600,-1045.3,0.09,0.0,100,9.0298,11.0745
1700,-390.3,0.12,0.0,100,9.8052,10.1987
1800,-24.5,0.15,0.0,100,10.1835,9.8198
1900,-1152.5001,0.11,0.0,100,9.3669,10.6759
2000,-737.5,0.07,0.0,100,9.6875,10.3226
2100,-29.5,0.05,0.0,100,9.3602,10.6835
2200,-794.1,0.1,0.0,100,9.0805,11.0126
2300,-970.4,0.14,0.0,100,8.6982,11.4966
2400,-22.0,0.1,0.0,100,9.1873,10.8847
2500,-1029.0,0.07,0.0,100,9.6783,10.3324
2600,-827.3,0.11,0.0,100,10.2027,9.8014
2700,-23.3,0.13,0.0,100,9.4536,10.578
2800,-1054.2001,0.15,0.0,100,9.7865,10.2181
2900,-837.3,0.11,0.0,100,9.6307,10.3835
3000,-20.2,0.12,0.0,100,9.9129,10.0879
3100,-1073.6001,0.12,0.0,100,8.9252,11.2042
3200,-564.1,0.1,0.0,100,9.0681,11.0277
3300,-19.1,0.11,0.0,100,9.0206,11.0857
3400,-1049.9001,0.13,0.0,100,9.0829,11.0097
3500,-865.9,0.16,0.0,100,9.3657,10.6773
3600,-19.8,0.18,0.0,100,9.6973,10.3121
3700,-732.6,0.18,0.0,100,9.3504,10.6948
