env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-22.0,0.1,0.0,100,0.0,3.3983
100,-1129.0001,0.08,0.0,100,40.0484,2.497
200,-645.4,0.06,0.0,100,65.931,1.5167
300,-20.1,0.11,0.0,100,83.3649,1.1995
400,-1079.1001,0.09,0.0,100,43.6857,2.2891
500,-711.5,0.19,0.0,100,32.2918,3.0968
600,-24.3,0.13,0.0,100,27.7712,3.6009
700,-1100.4,0.07,0.0,100,47.8296,2.0908
800,-382.7,0.1,0.0,100,83.5693,1.1966
900,-23.3,0.13,0.0,100,99.2375,1.0077
1000,-989.9,0.13,0.0,100,1.5404,64.9195
1100,-871.3,0.12,0.0,100,9.5435,10.4783
1200,-25.9,0.09,0.0,100,9.4254,10.6096
1300,-1086.2001,0.1,0.0,100,8.1973,12.1991
1400,-878.4,0.17,0.0,100,8.4,11.9047
1500,-26.3,0.13,0.0,100,9.5376,10.4848
1600,-1120.3,0.07,0.0,100,10.1847,9.8186
1700,-790.0,0.08,0.0,100,9.1681,10.9074
1800,-32.3,0.13,0.0,100,8.4957,11.7707
1900,-1032.3,0.15,0.0,100,10.5054,9.5189
2000,-759.7,0.11,0.0,100,9.6141,10.4014
2100,-19.3,0.13,0.0,100,8.7755,11.3953
2200,-1056.6001,0.11,0.0,100,8.2714,12.0898
2300,-952.0,0.11,0.0,100,9.092,10.9987
2400,-26.8,0.08,0.0,100,9.9002,10.1008
2500,-1159.1001,0.08,0.0,100,9.5961,10.4209
2600,-858.1,0.1,0.0,100,8.7028,11.4905
2700,-28.2,0.12,0.0,100,9.3563,10.688
2800,-974.3,0.15,0.0,100,9.707,10.3018
2900,-822.3,0.09,0.0,100,9.5113,10.5138
3000,-27.9,0.09,0.0,100,8.8587,11.2884
3100,-1036.9,0.13,0.0,100,8.1313,12.2981
3200,-406.4,0.11,0.0,100,8.4741,11.8007
3300,-21.3,0.13,0.0,100,9.621,10.3939
3400,-1032.3,0.09,0.0,100,10.2033,9.8008
3500,-606.1,0.11,0.0,100,8.6042,11.6222
3600,-28.0,0.1,0.0,100,8.6375,11.5774
3700,-1043.0001,0.07,0.0,100,9.7032,10.3059
3800,-943.2,0.1,0.0,100,10.5364,9.4909
3900,-21.7,0.07,0.0,100,9.6073,10.4088
4000,-1101.5,0.09,0.0,100,8.5453,11.7024
4100,-829.7,0.09,0.0,100,8.612,11.6117
4200,-17.3,0.13,0.0,100,11.5124,8.6863
4300,-1036.4001,0.09,0.0,100,12.0553,8.2951
4400,-785.0,0.14,0.0,100,8.3204,12.0187
4500,-26.4,0.14,0.0,100,8.6306,11.5867
4600,-1089.9001,0.13,0.0,100,9.5257,10.498
4700,-731.2,0.14,0.0,100,10.1062,9.8949
4800,-14.5,0.15,0.0,100,8.7671,11.4062
4900,-1105.6001,0.12,0.0,100,8.2007,12.1941
5000,-723.9,0.08,0.0,100,9.6982,10.3112
5100,-25.4,0.14,0.0,100,9.6144,10.401
5200,-900.6,0.08,0.0,100,9.2692,10.7884
5300,-651.2,0.13,0.0,100,8.5334,11.7187
5400,-27.4,0.14,0.0,100,8.554,11.6905
5500,-856.4,0.1,0.0,100,9.6206,10.3943
5600,-763.4,0.05,0.0,100,9.603,10.4134
5700,-25.6,0.16,0.0,100,8.7765,11.3941
5800,-1013.0001,0.15,0.0,100,8.2669,12.0965
5900,-609.4,0.08,0.0,100,9.5285,10.4949
6000,-22.8,0.08,0.0,100,10.0945,9.9064
6100,-839.3,0.16,0.0,100,9.6047,10.4116
6200,-615.9,0.1,0.0,100,8.7101,11.4809
6300,-23.9,0.09,0.0,100,9.3441,10.7019
6400,-948.9,0.13,0.0,100,9.7094,10.2993
6500,-640.8,0.12,0.0,100,9.7033,10.3058
6600,-22.3,0.13,0.0,100,8.4035,11.8998
6700,-1041.7001,0.14,0.0,100,8.2584,12.1089
6800,-814.9,0.15,0.0,100,8.9444,11.1801
6900,-27.5,0.15,0.0,100,9.7061,10.3028
7000,-1045.6001,0.13,0.0,100,10.4102,9.606
7100,-750.2,0.13,0.0,100,8.6252,11.5939
7200,-23.8,0.18,0.0,100,8.5241,11.7315
7300,-1105.4001,0.11,0.0,100,9.4449,10.5877
7400,-733.5,0.13,0.0,100,10.651,9.3888
7500,-22.3,0.13,0.0,100,9.8925,10.1086
7600,-990.4001,0.11,0.0,100,8.847,11.3033
7700,-941.2999,0.11,0.0,100,9.274,10.7829
7800,-19.7,0.07,0.0,100,10.6047,9.4298
7900,-1039.4001,0.17,0.0,100,9.1179,10.9674
8000,-857.4,0.12,0.0,100,8.3996,11.9053
8100,-21.2,0.12,0.0,100,8.4069,11.895
8200,-1001.2001,0.07,0.0,100,9.0865,11.0053
8300,-782.5,0.11,0.0,100,10.1773,9.8258
8400,-22.1,0.11,0.0,100,9.3744,10.6673
8500,-969.3,0.07,0.0,100,8.8458,11.3048
8600,-917.7,0.13,0.0,100,9.5229,10.501
8700,-22.2,0.12,0.0,100,10.1023,9.8987
8800,-899.0,0.15,0.0,100,9.4351,10.5987
8900,-772.1,0.08,0.0,100,8.3925,11.9154
9000,-25.1,0.11,0.0,100,8.3302,12.0045
9100,-943.6,0.11,0.0,100,8.7724,11.3994
9200,-839.9,0.07,0.0,100,9.8195,10.1839
9300,-22.9,0.09,0.0,100,9.9949,10.0051
9400,-1037.9,0.15,0.0,100,8.688,11.5101
9500,-750.8,0.12,0.0,100,9.27,10.7875
9600,-22.1,0.11,0.0,100,9.1742,10.9001
