env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
1000,18.1468,-5.8397,1.2007,1.5078
1100,2.2826,-8.9122,14.3723,21.6483
1200,2.1674,-9.7787,2.5315,3.6448
1300,1.9278,-9.3671,0.5537,0.5179
1400,2.6571,-10.3878,6.7504,9.2921
1500,2.575,-11.2029,7.7564,10.5317
1600,2.1804,-10.6716,15.9907,26.1104
1700,3.0345,-11.7952,74.8218,124.607
1800,3.1388,-12.2732,3.5777,7.3998
1900,2.7852,-12.5141,10.8958,26.8958
2000,3.7523,-12.8564,1.358,1.7589
2100,4.1387,-13.6916,1.7998,3.0535
2200,3.6687,-13.3225,4.3417,6.4457
2300,4.2276,-14.56,4.2614,7.0579
2400,5.576,-14.976,4.4473,8.6762
2500,5.3671,-14.6419,10.1604,20.7322
2600,5.8245,-15.289,5.2287,8.8936
2700,6.4669,-15.918,4.6945,6.4734
2800,6.3575,-16.304,26.0807,63.8834
2900,6.176,-16.5511,100.3035,206.2837
3000,6.7311,-17.4716,10.6018,19.7982
3100,6.0408,-17.0185,10.2397,20.4499
3200,6.0832,-17.5845,43.527,101.2538
3300,5.8689,-17.9675,12.8616,23.6545
3400,5.7813,-18.2393,44.7319,103.3772
3500,6.6086,-18.7939,92.2039,205.8048
3600,6.231,-19.2693,26.3739,66.5679
3700,6.1774,-19.2729,51.5516,119.2665
3800,6.1515,-19.7552,20.9669,39.6023
3900,6.6417,-19.8341,13.2742,30.5639
4000,6.3255,-19.7085,43.6762,95.7197
4100,6.702,-20.3229,64.3809,149.4669
4200,6.9603,-20.7293,99.7417,230.7513
4300,6.3453,-20.7454,15.7547,33.6481
4400,6.7796,-21.644,100.5396,241.7019
4500,7.1493,-21.1405,198.4657,492.8341
4600,6.7321,-20.9467,92.752,219.6541
4700,7.5368,-22.3214,386.6187,952.1735
4800,7.2043,-22.2,93.9294,224.5908
4900,6.8725,-22.0331,119.4571,290.9065
5000,7.1035,-22.9047,13.55,32.1405
5100,7.7248,-22.5803,172.5966,406.5352
5200,7.2274,-22.3471,32.6505,83.5375
5300,7.2414,-22.7715,74.4991,163.0279
5400,7.8894,-23.3726,148.3355,370.3933
5500,7.2422,-22.5238,17.2532,41.6066
5600,7.3231,-23.2553,26.5025,69.7027
5700,7.3893,-23.4169,287.5226,683.7312
5800,7.0584,-22.5467,69.4707,165.1171
5900,7.2574,-23.0088,17.2649,41.4605
6000,7.3466,-23.5836,31.9819,77.5316
6100,6.8787,-22.9875,11.1721,25.1772
6200,6.7257,-22.5669,52.3245,122.9915
6300,6.8782,-23.0066,54.1489,128.2739
6400,6.7391,-22.8447,60.9919,162.6738
6500,6.5686,-22.6451,15.4502,37.4458
6600,7.0919,-22.6455,53.9393,137.4778
6700,6.7924,-22.0161,15.4305,35.2165
6800,6.4895,-22.4577,38.0375,95.8688
6900,6.3523,-22.4108,8.5941,20.3668
7000,5.7755,-20.9161,74.4799,169.4193
7100,6.0995,-21.3228,162.9894,411.9439
7200,5.9989,-21.1054,16.7743,32.0959
7300,5.4651,-20.131,111.1126,264.5667
7400,5.2566,-19.5559,34.3369,86.2293
7500,6.087,-19.6398,251.788,605.3772
7600,5.377,-18.813,45.1499,114.5948
7700,4.8507,-18.3574,25.793,60.3227
7800,4.689,-17.8194,37.9319,93.8571
7900,4.3992,-17.3136,19.1526,42.2999
