env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
1000,12.1474,-5.4735,0.1301,0.0791
1100,0.4473,-8.2807,0.1228,0.0712
1200,0.5651,-8.3672,0.4985,0.3042
1300,0.2608,-8.1052,0.1262,0.0822
1400,0.3753,-8.6899,0.4049,0.296
1500,0.3972,-8.9969,0.2233,0.1346
1600,0.2556,-8.7034,0.2605,0.1626
1700,0.6783,-9.0833,0.509,0.3272
1800,0.4492,-9.1192,0.3468,0.2371
1900,0.2175,-8.7996,0.2766,0.1827
2000,0.2822,-9.1383,0.2163,0.1465
2100,0.2709,-9.5205,0.1964,0.1341
2200,0.19,-9.2468,0.1624,0.1214
2300,0.2265,-9.522,0.1449,0.1022
2400,0.2243,-9.7954,0.1834,0.1317
2500,0.1689,-9.7462,0.1446,0.1007
2600,0.184,-10.0396,0.1527,0.1079
2700,0.2766,-10.4266,0.3428,0.225
2800,0.1798,-9.8905,0.196,0.1218
2900,0.3321,-10.4236,0.3462,0.2345
3000,0.2689,-10.3967,0.3508,0.2111
3100,0.1775,-10.4017,0.1492,0.105
3200,0.2534,-10.5177,0.2006,0.1317
3300,0.2195,-10.7633,0.1856,0.1305
3400,0.1837,-10.7049,0.2356,0.1765
3500,0.2156,-10.9527,0.2069,0.1405
3600,0.3203,-11.0406,0.3638,0.2494
3700,0.1847,-10.9966,0.2186,0.1534
3800,0.2672,-11.3142,0.2424,0.172
3900,0.2595,-11.388,0.3421,0.25
4000,0.2162,-11.5589,0.2677,0.1997
4100,0.2584,-11.5856,0.3251,0.2201
4200,0.3142,-11.9392,0.5462,0.3765
4300,0.2348,-11.6519,0.3255,0.226
4400,0.3539,-11.8611,0.311,0.2364
4500,0.2878,-12.0926,0.4079,0.2839
4600,0.2271,-12.1023,0.3132,0.2374
4700,0.2493,-12.1738,0.5138,0.3634
4800,0.3339,-12.8515,0.3068,0.2265
4900,0.2385,-12.5107,0.3492,0.2508
5000,0.2912,-12.8493,0.4042,0.3109
5100,0.3941,-13.1399,0.718,0.5232
5200,0.2618,-12.875,0.475,0.3703
5300,0.2708,-13.0239,0.4186,0.3357
5400,0.3216,-13.5119,0.5694,0.4154
5500,0.2753,-13.2991,0.8019,0.5888
5600,0.3165,-13.7849,0.4699,0.3514
5700,0.3137,-13.843,0.3863,0.2988
5800,0.2627,-13.8543,0.3497,0.2683
5900,0.3123,-14.067,0.7988,0.5813
6000,0.3272,-14.3529,0.4551,0.3223
6100,0.28,-14.1976,0.5807,0.4251
6200,0.3368,-14.4474,0.7201,0.523
6300,0.3745,-14.6643,0.3961,0.2908
6400,0.3095,-14.7548,0.8127,0.5783
6500,0.3275,-14.8411,1.2555,0.9031
6600,0.3419,-15.0226,1.7822,1.3305
6700,0.3012,-15.0373,0.7234,0.5259
6800,0.3654,-15.3768,0.7057,0.509
6900,0.4069,-15.3198,0.812,0.5921
7000,0.3283,-15.5621,0.9052,0.6771
7100,0.3662,-15.6284,0.4701,0.3667
7200,0.3724,-15.9248,0.6348,0.4743
7300,0.3593,-15.9916,0.6392,0.5098
7400,0.3642,-16.3277,0.5946,0.4548
7500,0.3623,-16.2607,1.1985,0.9554
7600,0.3333,-15.905,1.5359,1.1344
7700,0.3889,-16.6213,0.9719,0.735
7800,0.4533,-16.4766,0.5381,0.3907
7900,0.4252,-16.5727,0.8473,0.6417
8000,0.4655,-16.8856,1.2156,0.8394
8100,0.494,-16.9971,1.3671,1.0914
8200,0.4494,-16.6398,1.3452,1.0852
8300,0.5408,-16.6084,0.8392,0.6589
8400,0.4997,-17.3568,1.3699,1.0072
8500,0.4288,-17.035,1.029,0.7821
8600,0.521,-16.8583,0.7712,0.5677
8700,0.525,-17.5524,1.3908,1.0881
8800,0.469,-17.3927,2.4606,1.8322
8900,0.5288,-17.7502,0.8857,0.6607
9000,0.5748,-18.0196,1.7882,1.3434
9100,0.491,-17.3637,0.9775,0.7312
9200,0.5416,-18.6636,0.9515,0.7432
9300,0.5685,-18.1678,0.9798,0.7335
9400,0.5086,-17.987,1.0706,0.804
9500,0.6312,-18.1393,1.5909,1.1737
