env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-18.3,0.13,0.0,100,0.0,9.0024
100,-825.8,0.12,0.0,100,5.6513,17.6952
200,-622.1,0.1,0.0,100,5.1787,19.3098
300,-22.0,0.1,0.0,100,4.8761,20.5081
400,-983.9001,0.17,0.0,100,5.6237,17.7819
500,-568.7,0.13,0.0,100,5.3184,18.8026
600,-20.7,0.07,0.0,100,5.6152,17.8087
700,-1019.6,0.07,0.0,100,5.781,17.2982
800,-626.6,0.13,0.0,100,5.0231,19.9082
900,-27.5,0.15,0.0,100,5.7169,17.4919
1000,-1026.8,0.11,0.0,100,5.7489,17.3947
1100,-740.9,0.13,0.0,100,5.914,16.9091
1200,-15.8,0.18,0.0,100,5.7464,17.4021
1300,-1024.9,0.11,0.0,100,5.4645,18.3
1400,-752.2001,0.07,0.0,100,5.3498,18.6922
1500,-27.8,0.08,0.0,100,5.617,17.8032
1600,-934.8,0.1,0.0,100,5.6854,17.5891
1700,-438.8,0.09,0.0,100,5.8793,17.0088
1800,-25.5,0.15,0.0,100,5.6197,17.7945
1900,-808.4,0.08,0.0,100,5.7145,17.4994
2000,-654.5,0.08,0.0,100,5.5856,17.9032
2100,-14.2,0.12,0.0,100,5.9189,16.8949
2200,-1021.4001,0.1,0.0,100,5.6458,17.7122
2300,-503.9,0.12,0.0,100,5.0268,19.8932
2400,-23.0,0.1,0.0,100,5.6783,17.611
2500,-647.1,0.11,0.0,100,5.5575,17.9937
2600,-504.5,0.1,0.0,100,5.3199,18.7975
2700,-24.0,0.1,0.0,100,5.1802,19.3042
2800,-740.2001,0.08,0.0,100,5.2663,18.9886
2900,-647.0,0.07,0.0,100,5.4046,18.5029
3000,-24.5,0.15,0.0,100,5.3471,18.7019
3100,-833.3,0.07,0.0,100,5.075,19.7044
3200,-723.8,0.1,0.0,100,5.2103,19.1927
3300,-16.8,0.08,0.0,100,5.1015,19.602
3400,-568.3,0.09,0.0,100,5.7133,17.5031
3500,-510.9,0.14,0.0,100,5.5851,17.9048
3600,-21.1,0.11,0.0,100,5.4631,18.3048
3700,-710.3,0.12,0.0,100,5.2389,19.0879
3800,-757.7,0.1,0.0,100,5.1782,19.3117
3900,-16.5,0.15,0.0,100,5.4996,18.1833
4000,-738.1,0.06,0.0,100,5.7107,17.5111
4100,-514.4,0.12,0.0,100,5.3491,18.6948
4200,-20.7,0.07,0.0,100,5.3183,18.803
4300,-551.5,0.11,0.0,100,5.2915,18.8983
4400,-595.2,0.09,0.0,100,5.3192,18.7998
4500,-21.0,0.1,0.0,100,5.1529,19.4064
4600,-771.2,0.04,0.0,100,5.4078,18.4917
4700,-448.0,0.13,0.0,100,4.7626,20.9968
4800,-20.5,0.25,0.0,100,5.5257,18.0974
