env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
100,0.0559,-0.1171,0.0116,0.0054
200,29.4774,-3.2573,4.5544,5.5311
300,8.2161,-5.8476,2.3704,2.4654
400,1.1655,-4.4151,0.7197,0.5422
500,2.3869,-5.6259,0.4042,0.2576
600,4.5165,-5.9753,0.4441,0.2978
700,3.407,-5.5261,1.0575,1.1503
800,3.8142,-6.4036,1.4034,1.4266
900,3.9301,-6.85,1.0356,1.272
1000,3.722,-6.7277,1.0674,0.8156
1100,2.9316,-7.856,0.9365,0.9496
1200,3.6836,-8.2766,0.9653,1.1021
1300,2.3883,-8.3028,0.9306,1.0796
1400,2.034,-9.1806,1.3186,1.4087
1500,2.5225,-9.7645,0.9198,1.3409
1600,1.8042,-9.6825,2.6006,4.8127
1700,1.8553,-10.4509,1.9038,3.4936
1800,1.8964,-10.9565,2.084,3.5833
1900,1.5581,-10.7739,2.3945,4.5416
2000,1.7579,-11.5278,2.2502,4.476
2100,1.9829,-12.0636,10.4291,21.7717
2200,1.6367,-12.0195,2.8429,6.3308
2300,1.964,-12.4497,5.5997,10.737
2400,1.8766,-13.3175,2.8571,6.2513
2500,1.5171,-12.7248,5.9526,13.4296
2600,1.6436,-13.2367,3.7036,6.9838
2700,1.8682,-13.5245,2.8989,6.104
2800,1.6469,-12.8187,6.5529,14.1812
2900,1.819,-13.3261,9.9587,21.8506
3000,1.8503,-13.7895,10.3267,23.2672
3100,1.4528,-12.9781,2.9804,6.7427
3200,1.5153,-13.6537,6.4385,12.9231
3300,1.6103,-13.6603,11.9464,19.1491
3400,1.384,-13.414,5.0656,10.3739
3500,1.6437,-13.5292,11.3431,23.4832
3600,1.9504,-13.7033,7.0965,15.7557
3700,1.5722,-13.3637,8.8818,21.7237
3800,1.5237,-13.5452,2.8438,6.6204
3900,1.5199,-13.3545,14.1978,31.7265
4000,1.3827,-13.5671,12.8223,30.7123
4100,1.2319,-13.1151,7.6747,17.377
4200,1.6314,-13.4152,6.5829,14.4908
4300,1.4645,-13.4075,10.9096,22.2522
4400,1.3352,-13.0038,10.658,26.9669
4500,2.2416,-12.8666,4.8431,10.7727
4600,1.3759,-12.7409,2.1301,4.7341
4700,1.3408,-12.8368,3.0823,6.9347
4800,1.4469,-12.9762,10.7247,25.6582
4900,1.2946,-12.7662,2.7152,6.0256
5000,1.3762,-12.9586,3.8178,7.4714
5100,1.5725,-13.2795,7.6457,18.4173
5200,1.4184,-13.0584,5.7061,12.4837
5300,1.7453,-12.9659,4.9242,10.9681
5400,1.493,-13.0054,2.9562,5.9816
5500,1.3858,-12.9671,4.0513,9.5672
5600,1.6326,-13.1607,6.3523,14.5702
5700,1.7733,-13.2119,6.4628,15.2526
5800,1.6204,-13.2862,7.8688,18.744
5900,1.6762,-13.1843,14.4699,35.6986
6000,1.7485,-13.8313,3.3342,7.7388
6100,1.4516,-13.1877,5.9514,10.6419
6200,1.5418,-13.5388,7.9537,18.6062
6300,1.6436,-13.7801,4.8656,11.4544
6400,1.3865,-13.3553,3.3916,7.6217
6500,1.4681,-13.7332,5.6122,12.6201
6600,1.5213,-14.132,9.1257,19.025
6700,1.4631,-13.687,11.0399,25.4273
6800,1.4399,-13.9182,2.6882,5.3697
6900,1.397,-13.6729,4.0305,8.5166
7000,1.4014,-14.3538,4.135,8.9678
7100,1.3141,-14.1022,4.4009,9.3048
7200,1.3643,-14.4299,6.3663,14.8569
7300,1.3238,-14.1782,14.4585,35.0981
7400,1.4356,-14.7117,7.4008,17.2558
7500,1.5146,-14.3706,5.6133,13.4113
7600,1.5287,-14.1911,3.4359,7.928
7700,1.6421,-14.4154,9.2869,20.8033
7800,1.5465,-14.8336,5.5483,12.0181
7900,1.4534,-14.9775,9.3146,15.2202
8000,1.5301,-15.1766,5.5125,11.6687
8100,1.6128,-15.0384,22.418,49.6807
8200,1.5447,-15.2039,12.7186,29.3952
8300,1.5915,-15.3083,14.924,35.7583
8400,1.893,-15.8216,25.636,61.1399
8500,1.6689,-15.4183,6.092,13.1052
8600,1.8076,-15.7366,16.2009,37.6093
8700,2.0368,-16.0051,21.8537,52.567
8800,2.4903,-16.4155,28.7355,70.2904
8900,2.1061,-16.9585,10.3974,22.6996
9000,1.9586,-16.9036,11.708,27.4883
9100,1.8696,-16.6814,11.4152,27.717
9200,2.0589,-17.6056,46.3706,110.2368
9300,2.3319,-16.7796,10.3256,23.5482
9400,2.0273,-17.209,33.2626,74.7127
9500,2.0523,-17.4109,16.7578,39.0259
9600,2.6493,-18.0727,22.5429,49.2421
9700,2.1276,-18.0136,7.983,16.6643
9800,2.6435,-18.1989,7.1015,16.3095
9900,2.3521,-18.4521,22.4058,52.2227
10000,2.327,-18.0872,16.9067,40.5044
10100,2.5821,-18.4518,67.2758,161.1097
10200,2.9428,-18.9426,28.0742,65.9302
10300,2.3002,-18.4282,14.5136,32.7212
10400,2.3786,-18.9872,16.6692,38.7909
10500,2.3732,-18.88,11.995,23.7992
10600,2.2184,-18.5282,13.8094,31.5567
10700,2.46,-19.076,14.8154,34.6082
10800,2.603,-19.2405,43.1607,90.4593
10900,2.5184,-18.7393,14.9608,34.583
11000,2.5069,-19.5054,17.6496,41.9809
11100,2.6152,-19.3938,30.7171,68.884
11200,2.6215,-19.7272,25.8776,55.2863
11300,3.1855,-19.9161,40.7191,90.2265
11400,2.9275,-19.7895,17.2584,37.0445
11500,2.7056,-19.5985,21.9705,51.534
11600,2.7921,-20.037,45.6929,109.1659
11700,2.8227,-20.0439,56.5194,133.7874
11800,2.7965,-19.8034,28.9845,64.2848
11900,2.6836,-19.5958,21.4542,44.3005
12000,2.9337,-20.0527,15.9367,36.3656
12100,2.6621,-19.4961,31.987,61.6279
12200,2.9784,-20.3615,78.887,174.2706
12300,3.3816,-20.4479,51.225,113.6231
12400,3.1582,-20.3452,76.7013,186.0275
12500,3.5798,-20.5447,23.8864,59.9234
12600,7.0413,-21.0516,26.7033,61.8919
12700,3.1404,-20.0422,28.196,68.0398
12800,2.9883,-20.7411,18.4654,44.0873
12900,3.1618,-20.4021,26.101,55.6649
13000,3.0522,-21.2071,24.1864,57.355
13100,3.216,-20.7971,56.9788,139.4331
13200,4.1217,-21.1915,62.8501,154.6564
13300,3.5571,-20.4092,22.1036,53.7686
13400,3.4391,-20.7523,22.2216,48.4441
13500,3.6402,-21.5121,28.7455,66.1634
13600,3.3197,-21.2019,27.2461,64.0408
13700,3.663,-21.2768,34.3834,77.6452
13800,3.9929,-21.5767,58.8128,141.0062
13900,3.852,-21.3264,24.3645,52.7759
14000,3.4723,-21.4699,19.9014,43.6574
14100,3.5484,-21.5277,46.7557,109.5108
14200,3.749,-21.8441,71.4445,151.1509
14300,5.8192,-21.3855,66.7121,162.3622
14400,4.0719,-21.8669,62.2895,140.7145
14500,3.7882,-22.2616,11.1869,22.4683
14600,3.7164,-21.7393,19.0534,43.5762
14700,3.8624,-22.2154,41.5544,90.9774
14800,3.9264,-21.9208,39.3014,91.0878
14900,3.9242,-22.2314,49.3328,117.2377
15000,4.0389,-22.2894,39.4496,86.0519
15100,3.9073,-22.0926,28.6312,64.3195
15200,5.0476,-22.5419,76.4066,179.6539
15300,4.5322,-21.7904,57.2922,124.4841
15400,4.9737,-22.8117,62.4431,128.7146
15500,4.2506,-21.6409,27.0754,63.0567
15600,4.2531,-21.8317,45.0192,105.3224
15700,4.1728,-21.8768,30.4557,63.3604
15800,4.4567,-22.316,23.0342,52.5701
15900,4.4829,-22.1367,45.8459,104.3569
16000,4.1518,-22.059,63.3075,103.7041
16100,4.374,-21.9603,43.61,104.6309
16200,5.2602,-22.6235,59.0127,141.7365
16300,5.6878,-22.0875,211.7528,475.9059
16400,6.9489,-22.1831,48.6351,116.3608
16500,5.3514,-22.189,118.4924,266.8881
16600,5.9604,-22.5135,275.2886,620.2495
16700,5.5382,-22.0509,53.9253,128.2081
16800,4.5375,-22.2722,37.1735,80.7919
16900,5.1523,-21.8077,54.9701,129.9177
17000,6.1366,-21.8772,158.3805,393.2443
17100,4.993,-22.4408,27.81,62.7925
17200,4.7012,-22.0012,20.0192,46.8769
17300,5.0304,-22.3823,136.0069,320.9819
17400,5.6369,-21.7235,46.3478,109.92
17500,4.829,-21.5123,29.5037,68.2957
17600,4.755,-21.4439,23.1422,47.3532
17700,4.8153,-21.945,42.4613,99.8678
17800,29.6426,-21.561,127.4146,296.7692
17900,7.817,-21.472,51.1049,123.2876
18000,5.7429,-21.7875,40.9319,92.6972
18100,5.1577,-21.2984,21.6382,48.6234
18200,4.9698,-20.8725,18.1926,41.2566
18300,5.2226,-21.7769,18.8246,48.0664
18400,5.1883,-21.0359,67.5911,151.3005
18500,5.4475,-21.652,82.3977,191.9071
18600,7.4077,-21.3768,77.9665,186.5477
18700,5.4498,-21.3262,19.1627,46.2884
18800,5.6941,-21.3632,119.0228,271.5207
18900,6.1696,-22.0868,38.7051,92.7058
19000,5.5076,-21.2285,77.9868,182.7845
19100,5.6575,-21.8433,32.3478,76.6552
19200,5.4631,-20.8554,43.0736,97.995
19300,6.7328,-21.1089,90.755,218.3837
19400,5.8054,-20.9901,67.235,159.2934
19500,5.3266,-20.3536,50.0636,117.3556
19600,5.4251,-20.8331,60.7597,143.7841
19700,5.6764,-20.3909,40.7803,96.3942
19800,5.7548,-20.4985,54.6191,131.9004
19900,5.9304,-20.5662,74.1306,172.6689
20000,5.6239,-20.6165,46.1945,102.605
20100,5.4933,-20.8496,34.7931,75.4239
20200,5.2384,-19.8249,22.2999,57.138
20300,5.6773,-20.3901,55.6584,124.7245
20400,6.4505,-20.2195,101.3805,241.3791
20500,6.9583,-20.3369,69.8563,165.1237
20600,5.7724,-19.1815,58.4574,138.9979
20700,5.6741,-19.2609,51.756,114.9262
20800,5.5155,-19.9158,40.9905,89.4388
20900,5.7353,-19.226,78.2501,168.3058
21000,5.8151,-18.9419,32.3798,76.1967
21100,5.7762,-19.7383,139.7664,326.2571
