env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-23.8,0.08,0.0,100,0.0,3.7031
100,-1066.2001,0.15,0.0,100,16.4372,6.0838
200,-736.7,0.11,0.0,100,19.6061,5.1005
300,-16.3,0.13,0.0,100,20.7209,4.826
400,-946.4,0.1,0.0,100,20.1023,4.9746
500,-757.3,0.1,0.0,100,20.7272,4.8246
600,-23.1,0.11,0.0,100,20.4885,4.8808
700,-1081.5,0.14,0.0,100,19.6052,5.1007
800,-868.2,0.06,0.0,100,19.9595,5.0102
900,-22.9,0.19,0.0,100,20.5019,4.8776
1000,-983.5001,0.1,0.0,100,19.131,5.2271
1100,-646.3,0.11,0.0,100,19.2644,5.1909
1200,-16.1,0.11,0.0,100,19.2198,5.203
1300,-954.5001,0.09,0.0,100,19.623,5.0961
1400,-477.3,0.11,0.0,100,18.9344,5.2814
1500,-25.2,0.12,0.0,100,19.5121,5.125
1600,-800.9,0.11,0.0,100,16.4651,6.0734
1700,-626.4,0.04,0.0,100,19.9167,5.0209
1800,-27.3,0.03,0.0,100,17.2176,5.808
1900,-949.5,0.11,0.0,100,19.6356,5.0928
2000,-623.6,0.15,0.0,100,19.3023,5.1807
2100,-13.4,0.14,0.0,100,19.6001,5.102
2200,-987.1,0.17,0.0,100,20.716,4.8272
2300,-655.6,0.17,0.0,100,20.0319,4.992
2400,-18.1,0.11,0.0,100,21.8138,4.5842
2500,-588.8,0.07,0.0,100,21.7031,4.6076
2600,-701.7,0.1,0.0,100,21.211,4.7145
2700,-19.6,0.06,0.0,100,19.9974,5.0007
2800,-985.7001,0.11,0.0,100,20.5031,4.8773
2900,-525.1,0.11,0.0,100,20.8274,4.8014
3000,-24.1,0.11,0.0,100,20.7878,4.8105
3100,-880.4,0.06,0.0,100,19.6393,5.0918
3200,-816.2,0.13,0.0,100,16.6613,6.0019
3300,-20.0,0.1,0.0,100,20.8705,4.7914
3400,-834.6,0.08,0.0,100,20.3636,4.9107
3500,-808.1,0.1,0.0,100,20.4503,4.8899
3600,-20.6,0.06,0.0,100,21.2583,4.7041
3700,-825.6,0.11,0.0,100,20.3605,4.9115
3800,-650.7,0.1,0.0,100,20.4515,4.8896
3900,-21.7,0.17,0.0,100,22.2019,4.5041
4000,-751.5,0.06,0.0,100,21.6857,4.6113
4100,-776.4,0.12,0.0,100,20.8649,4.7928
4200,-19.5,0.15,0.0,100,20.4566,4.8884
4300,-904.5001,0.1,0.0,100,19.9967,5.0008
4400,-793.4,0.1,0.0,100,20.0268,4.9933
4500,-21.9,0.19,0.0,100,16.9484,5.9003
4600,-725.6,0.08,0.0,100,20.3084,4.9241
4700,-701.0,0.09,0.0,100,20.4703,4.8851
4800,-17.4,0.14,0.0,100,20.8284,4.8012
4900,-727.4,0.08,0.0,100,16.6513,6.0055
5000,-579.4,0.12,0.0,100,21.7093,4.6063
5100,-22.1,0.11,0.0,100,20.9104,4.7823
5200,-1030.8,0.12,0.0,100,19.9528,5.0118
5300,-679.3,0.09,0.0,100,21.2975,4.6954
5400,-34.1,0.11,0.0,100,21.7934,4.5885
5500,-686.7,0.06,0.0,100,21.2193,4.7127
5600,-642.8,0.13,0.0,100,19.6511,5.0888
5700,-21.1,0.21,0.0,100,17.55,5.698
5800,-959.3,0.1,0.0,100,21.2384,4.7084
5900,-686.7,0.07,0.0,100,17.2573,5.7947
6000,-21.7,0.17,0.0,100,20.7913,4.8097
6100,-526.8,0.07,0.0,100,20.4235,4.8963
6200,-477.1,0.12,0.0,100,20.3767,4.9076
6300,-21.1,0.11,0.0,100,20.8043,4.8067
