env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
100,0.0372,-0.1386,0.0074,0.0027
200,21.0936,-3.7182,1.3993,1.2347
300,4.6092,-5.3564,1.5225,1.0804
400,0.9293,-4.3473,0.426,0.2158
500,2.01,-5.7183,0.2809,0.1515
600,4.3624,-6.1441,0.727,0.6478
700,3.2207,-5.7065,1.8809,4.0042
800,3.4164,-6.5109,1.0723,1.0635
900,3.3068,-7.052,0.8263,1.0281
1000,3.5823,-7.1408,1.8935,2.974
1100,2.5771,-8.2897,3.3618,4.0961
1200,2.3588,-8.7023,2.3317,3.8194
1300,1.2956,-8.6437,1.0619,2.0577
1400,1.2439,-9.1468,3.6087,6.9996
1500,1.1204,-9.666,1.6818,3.4948
1600,0.7875,-9.4279,0.7757,1.4621
1700,1.1148,-9.9065,4.3961,8.4297
1800,1.2267,-10.1302,2.3266,4.691
1900,0.9143,-9.6473,1.2364,2.6412
2000,0.9775,-10.0488,6.1549,13.5694
2100,1.0632,-10.0883,6.5661,13.7546
2200,0.8649,-9.7358,3.8219,7.7287
2300,0.93,-10.0387,2.3984,5.1035
2400,1.014,-10.1061,1.7635,3.8096
2500,0.814,-9.9028,2.2716,4.2975
2600,0.8695,-10.2015,2.6446,6.0054
2700,1.0595,-10.359,3.8904,7.5749
2800,0.7914,-9.8556,2.001,4.0248
2900,0.8388,-10.4228,1.7457,3.4503
3000,0.872,-10.6551,1.2239,2.4352
3100,0.6907,-10.1948,4.2059,8.6813
3200,0.8118,-10.7015,3.2597,7.0947
3300,0.8253,-11.0938,2.095,4.7779
3400,0.7083,-10.891,1.6838,3.3858
3500,0.9664,-11.0627,5.8247,9.8417
3600,1.3386,-11.3572,3.5309,6.7971
3700,0.804,-11.1772,1.8765,3.7875
3800,0.7911,-11.4784,1.7077,3.595
3900,0.809,-11.6251,1.2167,2.311
4000,0.8782,-11.938,4.788,8.3115
4100,0.9592,-11.7413,2.4767,5.0063
4200,1.0144,-12.4189,5.2235,9.0012
4300,0.9593,-12.5273,2.0182,3.8843
4400,0.982,-12.3023,4.6244,9.596
4500,1.0848,-12.3213,3.0275,5.9418
4600,0.95,-12.2409,4.8656,10.8637
4700,1.063,-12.3291,4.0827,8.8332
4800,1.0546,-12.7801,5.3086,10.3026
4900,0.9081,-12.441,1.8936,3.7888
5000,0.9781,-12.758,6.9186,15.3876
5100,1.4952,-13.1681,8.8421,17.0395
5200,1.0175,-12.9748,3.4254,6.7588
5300,1.1388,-12.8203,7.061,16.0735
5400,0.9532,-13.1179,6.3892,13.1247
5500,0.8672,-12.8142,3.0238,6.4351
5600,1.0752,-13.0272,14.6398,32.7206
5700,0.9838,-13.1075,4.1325,6.9976
5800,0.8574,-13.3625,1.1749,2.2525
5900,0.8569,-13.3778,9.1418,21.5536
6000,0.8335,-13.3705,7.1073,16.3214
6100,0.8124,-13.0784,12.1826,26.2921
6200,0.9588,-13.6082,2.2649,4.7501
6300,0.8559,-13.6707,5.7192,12.9138
6400,0.7777,-13.4564,3.5743,7.8435
6500,0.9074,-13.4583,12.7042,27.896
6600,1.1422,-14.0997,11.4316,24.4433
6700,0.827,-13.5612,6.4436,14.7417
6800,1.1234,-14.0148,9.1017,18.6311
6900,0.951,-13.8013,5.7343,11.1621
7000,0.7918,-14.1416,5.7089,11.841
7100,0.8007,-14.2191,6.3425,14.4725
7200,3.7803,-14.6864,5.758,11.3636
7300,1.3082,-14.5048,3.2603,6.8343
7400,0.9784,-14.76,4.235,8.1006
7500,1.0171,-14.5776,3.5573,7.2791
7600,0.9058,-14.1468,3.5883,5.7652
7700,0.9328,-14.5961,1.5734,3.0389
7800,0.994,-14.8968,5.4619,12.3304
7900,1.1313,-14.9299,18.3364,41.2543
8000,1.2073,-15.2348,8.7187,17.9097
8100,1.1368,-15.2993,11.2032,21.2341
8200,1.0779,-15.0475,8.2527,16.7626
8300,1.0891,-15.1556,5.9441,11.6968
8400,1.0152,-15.0986,8.858,20.1141
8500,0.9455,-15.1571,8.366,14.5773
8600,1.0845,-15.1475,28.2225,60.4182
8700,1.7828,-15.4266,39.9494,87.4877
8800,2.9191,-15.5737,9.5398,18.9647
8900,1.3091,-15.4153,4.4686,8.6902
9000,1.1951,-15.6519,9.0221,17.4721
9100,1.0938,-15.5516,6.4653,13.4785
9200,1.1373,-15.6575,9.0314,17.7538
9300,1.2202,-15.2291,18.1834,39.2016
9400,1.1816,-15.854,9.2699,20.5103
9500,1.3047,-15.7233,14.0976,27.6489
9600,1.3126,-16.1143,8.1888,16.6651
9700,1.2607,-16.3485,38.6916,86.1457
9800,1.7542,-15.7635,14.676,29.6951
9900,1.4716,-16.1527,18.1581,38.3105
10000,1.339,-15.6477,7.8072,17.0013
10100,1.3764,-16.2409,13.9158,29.7759
10200,1.7045,-16.3494,20.2376,39.4663
10300,1.4941,-16.1162,20.0405,44.1658
10400,1.5661,-16.1662,14.5658,31.5933
10500,1.5729,-16.1238,18.907,41.2415
10600,1.4337,-16.1724,13.3939,26.6496
10700,1.5539,-16.4008,19.6147,44.9453
10800,2.805,-16.2473,23.6932,50.0649
10900,1.8367,-16.1165,21.494,48.758
11000,1.5265,-16.8794,12.3796,28.2154
11100,1.5076,-16.5804,7.9046,17.5886
11200,1.5455,-16.5754,17.0618,39.063
11300,1.7051,-16.8596,13.7737,31.2908
11400,1.64,-17.2349,15.6,34.5344
11500,1.6515,-16.8584,31.3159,68.249
11600,2.2167,-16.9814,34.841,78.939
11700,2.169,-17.0102,12.0928,26.2981
11800,1.9373,-17.0258,29.8385,63.7117
11900,1.8867,-16.5948,15.2201,31.2996
12000,1.9304,-16.8182,33.2349,64.3578
12100,1.8544,-16.7643,15.7545,33.5462
12200,1.9127,-17.3292,36.8442,67.7827
12300,11.1497,-17.0363,48.8432,103.2074
12400,2.996,-16.7973,8.3531,17.9661
12500,2.0087,-16.7242,5.1839,11.2427
12600,1.9884,-16.8532,8.4073,16.576
12700,1.8645,-17.0926,7.0057,14.77
12800,1.9002,-17.0057,13.1858,28.4644
12900,2.0434,-16.6894,11.5728,24.9319
13000,1.8498,-16.6833,18.8267,41.9011
13100,1.926,-16.9051,13.961,29.4145
13200,2.0646,-16.6561,10.1105,20.2562
13300,1.964,-16.6471,9.7217,18.4001
13400,2.0933,-16.846,16.6692,36.7716
13500,2.2177,-16.7742,26.5084,54.2255
13600,2.1087,-16.5425,21.132,40.4415
13700,2.088,-16.3414,26.5402,53.662
13800,2.2346,-16.5404,51.3688,116.7011
13900,2.5098,-16.5321,78.5584,181.3264
14000,2.3144,-16.4954,24.2599,56.2144
14100,2.168,-16.6929,16.2777,32.4004
14200,2.0204,-16.7522,21.3074,43.4389
14300,2.02,-16.2475,66.1598,150.6191
14400,2.5806,-16.5684,45.8398,97.775
14500,2.4381,-16.7747,8.6475,18.8537
14600,2.1835,-16.1557,30.6009,59.5935
14700,2.19,-16.5488,27.7248,60.1707
14800,2.044,-16.0606,18.2625,42.6438
14900,2.5924,-16.0291,90.115,177.5885
15000,3.9992,-16.3606,28.5562,60.2457
15100,2.3008,-16.5039,8.0675,16.6352
15200,1.988,-15.6222,11.6462,21.6915
15300,2.2134,-16.2429,20.8598,42.4933
15400,2.234,-16.6672,12.7427,29.2721
15500,2.1531,-16.0856,10.3458,20.9046
15600,2.9694,-16.7444,20.164,41.0448
15700,2.6808,-16.7978,13.5751,27.9964
15800,2.2679,-16.3548,10.1115,23.4207
15900,2.3115,-16.2764,13.6523,27.6135
16000,2.3558,-16.1218,16.8008,31.9801
16100,2.464,-15.9016,16.6969,35.7177
16200,2.5774,-16.6996,30.5867,64.0546
16300,2.818,-16.6143,45.2765,90.0501
16400,3.0718,-16.3461,33.6503,72.9004
16500,2.5732,-16.287,41.4402,87.7185
16600,2.8906,-16.3728,15.7022,34.1623
16700,2.7062,-16.3191,37.0994,80.5219
16800,2.9327,-16.461,62.099,134.6205
16900,2.4729,-16.9243,7.8886,16.2361
17000,2.3254,-16.5224,21.7539,47.1301
17100,2.4574,-17.013,9.9313,20.3445
17200,2.3822,-16.3472,24.4384,47.0988
17300,4.3546,-16.5773,115.063,258.077
17400,4.3775,-16.766,18.7135,31.9835
17500,2.4349,-16.3469,11.826,25.1451
17600,2.3999,-16.4787,15.3783,33.5612
17700,2.7488,-17.2293,26.6645,55.758
17800,2.48,-16.7367,11.2858,24.0258
17900,2.5229,-16.9715,17.5971,39.5688
18000,2.6293,-16.9731,21.8359,44.2039
18100,3.2228,-16.916,129.4859,283.7372
18200,3.7147,-17.0031,24.0503,54.5696
18300,2.7643,-17.035,30.9129,60.024
18400,2.611,-16.9837,19.4804,39.1412
18500,2.7562,-17.1256,38.0259,72.6865
18600,29.2272,-17.6998,56.2993,122.7222
18700,7.1396,-17.4479,11.4684,23.0558
18800,3.5892,-16.9278,21.2993,42.0198
18900,3.3295,-18.169,10.0,20.128
19000,3.0392,-17.5613,7.1964,14.6475
19100,3.0935,-18.0285,11.562,24.2534
19200,3.0601,-17.6388,10.2475,22.1144
19300,2.9245,-17.4246,18.1996,39.1666
19400,3.1312,-17.6819,33.0091,65.8144
19500,3.749,-17.7178,23.3554,47.9523
19600,3.0707,-17.7779,12.5734,26.6506
19700,2.9069,-17.9361,13.8792,29.2694
19800,3.4887,-17.7513,33.6003,77.3397
19900,3.3086,-17.6204,21.9693,46.0696
20000,2.9548,-17.9308,23.8175,52.2105
20100,3.5226,-17.9386,38.7242,83.5818
20200,3.1745,-17.8556,35.7208,71.5126
20300,3.2354,-18.3763,38.677,89.3657
20400,3.3455,-18.2758,24.7684,45.0839
20500,3.1433,-18.3859,17.1053,36.7803
20600,3.079,-18.0086,23.0179,47.9009
20700,3.7914,-18.6463,37.6619,71.031
20800,4.0296,-18.8535,37.5812,70.6593
20900,3.1917,-17.6246,14.9466,30.2227
21000,3.0794,-18.3321,40.5009,88.4248
21100,3.3295,-18.651,34.9637,69.4166
21200,3.2789,-18.8674,57.1687,127.2761
21300,3.6903,-18.5429,30.9163,59.5562
21400,3.3698,-19.0576,19.9217,39.8702
21500,3.215,-18.8418,42.8463,94.1761
21600,3.5664,-19.3773,40.7415,87.5489
21700,3.4722,-19.3302,41.7528,93.1467
21800,7.9514,-18.9396,93.0904,206.5957
21900,7.8722,-19.3058,60.6148,130.347
22000,3.9043,-19.3941,17.1638,37.5018
22100,3.3042,-18.9646,18.7222,40.2525
22200,3.3688,-19.0861,22.05,45.8755
22300,3.3178,-19.3288,36.2687,80.5334
22400,3.4506,-19.8905,26.7579,58.6592
22500,3.3347,-19.5966,13.1669,26.9084
22600,3.4378,-19.5528,23.5192,47.5498
22700,3.6797,-19.5222,56.8249,129.0396
22800,3.9794,-19.6338,25.5376,47.9249
22900,3.7071,-19.9621,33.8334,63.3191
23000,3.9564,-19.2367,53.0827,108.4712
23100,4.4766,-19.9911,24.8183,47.7983
23200,3.8476,-19.6818,40.4393,84.4455
23300,3.4874,-19.62,22.9815,45.4865
23400,3.8241,-19.7781,33.3632,71.6483
23500,3.8044,-19.7488,41.6514,88.4989
23600,3.7434,-20.1992,50.6742,100.7872
23700,5.2246,-20.1494,80.457,145.846
23800,28.5981,-20.3469,185.3127,359.4667
23900,13.2922,-20.154,35.6305,70.0744
24000,4.4903,-20.3282,18.1495,36.8836
24100,3.9224,-20.6203,20.5169,43.3479
24200,3.5992,-19.7868,6.5972,12.935
24300,3.5972,-20.2649,12.4978,27.0547
24400,7.1103,-20.6565,58.0666,119.7341
24500,3.9508,-20.2927,13.6666,30.2376
24600,3.7954,-20.2135,16.2242,34.7265
24700,3.5945,-20.0008,9.4768,19.234
24800,3.7006,-19.7369,14.2386,30.3669
24900,3.7827,-20.7671,17.3282,33.155
25000,3.6099,-20.3421,10.5518,22.6348
25100,3.7271,-20.7188,12.2313,27.1895
25200,3.755,-20.9111,18.4874,39.9192
25300,3.7826,-20.402,21.4958,37.0094
25400,3.9212,-20.6116,22.0051,43.8665
25500,3.6731,-20.18,18.055,38.6083
25600,3.6256,-19.7481,21.9384,45.381
25700,3.738,-20.0079,23.1543,45.5999
25800,4.0739,-20.567,55.5793,110.8259
25900,4.2364,-20.1854,49.334,98.4558
26000,4.3136,-20.4019,47.2674,93.009
26100,4.4253,-20.473,37.3385,70.3421
26200,4.4947,-20.2497,44.9449,93.3497
26300,4.4798,-20.9592,119.3522,240.6596
26400,4.616,-20.1512,31.383,65.4767
26500,4.1595,-20.3588,38.4435,79.468
26600,3.9297,-19.6394,34.9089,69.4611
26700,4.7259,-20.9672,51.3764,102.7526
26800,4.8579,-20.191,38.4174,74.9317
26900,4.4907,-19.8036,29.6731,66.3168
27000,4.0791,-20.3376,21.7231,43.0246
27100,4.1638,-21.0702,27.5367,61.0225
27200,4.6806,-20.3306,64.09,125.9482
27300,4.9746,-20.4256,55.7506,117.8542
27400,72.7635,-21.0728,167.3648,341.5146
27500,34.177,-21.772,42.2592,81.7096
27600,10.2195,-21.8195,30.8072,65.2907
27700,6.2387,-21.5147,15.8295,32.0817
27800,5.8889,-22.1694,25.34,53.6002
27900,5.3983,-21.6115,14.0439,26.3847
28000,4.9407,-20.7861,23.0296,39.6368
28100,4.9119,-21.0847,9.9325,19.8697
28200,4.9412,-21.5908,13.2341,23.4667
28300,4.862,-21.3423,13.612,26.0297
28400,4.8644,-21.5398,11.411,22.6166
28500,4.9561,-21.0254,28.7266,58.7449
28600,4.8603,-20.9168,27.3832,49.0814
28700,4.8109,-20.8183,18.3327,36.3095
28800,5.0754,-21.045,36.5659,74.6866
28900,4.9454,-21.0556,22.735,42.4713
29000,4.622,-20.2678,22.9062,45.5186
29100,4.9092,-21.2546,18.4956,34.8036
29200,4.7214,-20.6886,22.6814,44.5203
29300,4.8043,-21.4735,11.2503,23.0745
29400,4.7588,-20.4761,15.935,31.1368
29500,4.8856,-20.9852,40.2629,86.7147
29600,4.852,-20.8877,38.1711,74.5594
29700,4.8697,-20.5253,77.4191,161.1729
29800,5.6213,-20.6,41.5815,91.1184
29900,4.9745,-20.2276,23.7728,54.5661
30000,4.6471,-20.0936,15.9795,33.3068
30100,5.4153,-20.1274,76.9426,163.1873
30200,5.3889,-20.5855,31.9137,64.0231
30300,5.3998,-20.6406,43.8071,92.4707
30400,5.257,-20.6767,56.0832,117.6908
30500,5.0463,-20.6159,36.4193,79.8596
30600,5.4001,-20.573,36.989,69.6019
30700,5.81,-20.2614,86.6785,176.031
30800,6.5014,-20.1362,56.0409,112.6568
30900,5.8523,-20.1505,55.9982,122.089
31000,5.09,-20.0749,42.5421,88.6688
31100,4.9503,-19.4485,32.9635,64.2432
31200,5.6808,-19.9795,34.3353,74.5259
31300,5.0967,-19.5677,42.4779,89.3136
31400,5.9682,-19.9771,38.4527,79.5222
31500,5.7046,-20.0333,76.4429,147.8898
31600,6.1135,-20.0551,88.1145,179.7215
31700,6.066,-19.9666,41.5958,83.6733
31800,5.0951,-19.8391,54.1803,118.2464
31900,4.803,-19.5706,23.6643,42.9421
32000,5.2857,-20.2058,32.431,56.9832
32100,5.3743,-19.6787,66.982,132.8812
32200,4.865,-18.996,44.3961,88.1535
32300,5.1456,-19.9875,35.9961,79.3235
32400,6.3351,-19.0851,65.803,140.0406
32500,7.0921,-19.1657,129.5167,266.7262
32600,7.8185,-19.855,76.8692,157.1994
32700,5.4512,-19.3035,24.9985,46.6797
32800,4.8844,-19.1457,35.3279,70.4646
32900,4.8292,-19.1402,23.6314,46.3405
33000,4.8885,-19.2373,24.9054,51.0329
33100,4.8347,-18.4123,34.5113,72.7192
33200,5.367,-18.8995,57.9458,121.0264
33300,6.1395,-18.9433,72.2064,146.2693
33400,5.5968,-18.4825,42.9769,89.451
33500,32.4328,-19.2524,164.712,329.5575
33600,9.6759,-19.0043,46.6681,91.4159
33700,5.4973,-19.1188,17.7709,35.3717
33800,6.2222,-18.4493,81.5611,164.2407
33900,5.834,-18.0002,27.9422,52.404
34000,4.896,-18.8026,16.3989,29.5662
34100,4.8555,-19.0122,20.3726,39.6409
34200,4.6729,-18.2874,12.0669,25.5501
34300,4.7283,-18.6005,26.2052,52.7608
34400,4.7764,-18.5509,36.8449,70.2773
34500,5.0549,-18.5238,24.5763,47.8766
34600,5.0839,-17.7649,85.6321,183.9151
34700,5.0786,-18.5629,18.9261,40.5049
34800,4.9555,-18.5022,31.3727,64.0267
34900,4.9142,-18.1872,18.8377,37.6666
35000,5.06,-18.9931,59.6417,113.9987
35100,8.7359,-18.3607,236.0219,469.0207
35200,28.433,-18.2283,56.6645,107.2549
35300,7.3187,-18.1713,26.2172,47.2517
35400,5.6091,-17.8924,15.3949,31.8632
35500,5.3462,-18.6377,19.0515,37.084
35600,5.0199,-17.8514,16.5225,33.8723
35700,4.8918,-17.7297,19.473,40.0946
35800,4.6922,-17.6177,12.8447,27.372
35900,5.1872,-17.366,29.0163,57.9853
36000,4.9835,-17.1214,23.2603,47.8292
36100,4.7761,-18.263,13.3254,26.4848
36200,4.9052,-18.5791,33.2111,66.9801
36300,5.6081,-18.1046,53.6193,101.0856
36400,5.5651,-17.3185,27.2296,55.8372
36500,5.1213,-18.065,17.3811,36.5636
36600,5.1814,-18.0542,41.2188,83.2216
36700,5.214,-17.7281,49.0582,100.1936
36800,5.027,-17.2758,39.1788,77.4773
36900,4.7228,-17.458,28.5912,56.293
37000,4.804,-17.7147,33.1664,64.1741
37100,5.3565,-17.4187,95.3321,189.2344
37200,5.9899,-17.1742,73.5535,145.583
37300,5.6288,-17.6803,81.6118,168.8887
37400,5.0646,-17.2018,29.0781,55.3899
37500,4.9921,-17.3522,75.6914,147.0595
37600,5.3078,-17.0851,30.4635,59.75
37700,5.5853,-17.263,158.8087,323.0241
37800,6.2606,-17.6934,56.215,120.7485
37900,5.3221,-17.5881,34.2713,61.533
38000,5.0458,-17.5324,28.7022,59.1332
38100,5.1718,-17.2005,23.5508,49.6275
38200,5.114,-17.4076,119.9615,249.847
38300,5.7533,-17.4029,37.8375,80.8571
38400,5.7004,-17.4281,89.1212,190.6698
38500,5.2175,-17.368,47.0012,94.2499
38600,5.5037,-18.0628,65.6757,135.3589
38700,6.2985,-16.374,87.778,177.6135
38800,19.2603,-17.5202,340.1259,536.0662
38900,19.9493,-17.2621,95.3605,196.3479
39000,7.6634,-18.1553,17.9929,32.8676
39100,5.3256,-17.7233,17.0174,35.2158
39200,5.0168,-17.5115,14.8011,28.0348
39300,5.0194,-18.0378,19.7719,41.2126
39400,4.7987,-17.1409,23.347,46.1837
39500,5.0232,-18.0994,21.3006,46.0766
39600,5.0693,-17.4169,22.246,47.046
39700,4.9705,-17.8554,9.6201,18.9035
39800,4.9482,-16.9158,28.6307,55.7028
39900,5.2419,-17.8681,27.665,51.0257
40000,5.4354,-17.6555,56.3801,117.6627
40100,5.5384,-17.6744,29.8964,61.6734
40200,5.382,-17.2493,52.4312,104.7924
40300,5.3354,-17.5477,29.8955,55.923
40400,5.5139,-18.3646,19.2665,39.8272
40500,5.3237,-17.7593,27.552,57.5313
