env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-18.3,0.13,0.0,100,0.0,1.1841
100,-825.8,0.12,0.0,100,37.0341,2.7002
200,-622.1,0.1,0.0,100,35.9759,2.7796
300,-20.0,0.1,0.0,100,38.4693,2.5995
400,-1034.9001,0.17,0.0,100,36.9394,2.7071
500,-568.7,0.13,0.0,100,37.1881,2.689
600,-21.7,0.07,0.0,100,38.1653,2.6202
700,-941.7001,0.07,0.0,100,35.8667,2.7881
800,-612.8,0.12,0.0,100,35.8337,2.7907
900,-28.5,0.15,0.0,100,36.7351,2.7222
1000,-1043.8,0.11,0.0,100,35.5772,2.8108
1100,-778.6,0.13,0.0,100,41.9495,2.3838
1200,-23.0,0.1,0.0,100,39.5511,2.5284
1300,-1024.9,0.11,0.0,100,37.3864,2.6748
1400,-748.8,0.07,0.0,100,37.2634,2.6836
1500,-27.8,0.08,0.0,100,38.529,2.5955
1600,-936.7001,0.1,0.0,100,36.7611,2.7203
1700,-480.7,0.09,0.0,100,35.8873,2.7865
1800,-25.5,0.15,0.0,100,38.2983,2.6111
1900,-793.4,0.08,0.0,100,37.0779,2.697
2000,-492.0,0.08,0.0,100,37.0253,2.7009
2100,-14.2,0.12,0.0,100,36.8362,2.7147
2200,-1019.5001,0.1,0.0,100,36.0101,2.777
2300,-682.2999,0.12,0.0,100,34.4451,2.9032
2400,-19.7,0.07,0.0,100,38.2689,2.6131
2500,-588.0,0.1,0.0,100,38.1308,2.6226
2600,-460.8,0.1,0.0,100,35.934,2.7829
2700,-23.7,0.07,0.0,100,37.123,2.6938
2800,-740.3,0.08,0.0,100,38.1861,2.6188
2900,-776.7,0.07,0.0,100,36.1843,2.7636
3000,-23.8,0.08,0.0,100,37.0378,2.6999
3100,-833.1,0.07,0.0,100,36.9699,2.7049
3200,-735.0,0.1,0.0,100,35.8329,2.7907
3300,-16.8,0.08,0.0,100,38.1335,2.6224
3400,-568.4,0.09,0.0,100,35.9354,2.7828
3500,-568.5,0.14,0.0,100,38.0771,2.6263
3600,-21.1,0.11,0.0,100,36.9878,2.7036
3700,-724.2001,0.12,0.0,100,37.2046,2.6878
3800,-733.2,0.1,0.0,100,35.8915,2.7862
3900,-16.4,0.14,0.0,100,38.3846,2.6052
4000,-739.2001,0.07,0.0,100,36.6119,2.7314
4100,-542.1,0.13,0.0,100,36.112,2.7692
4200,-20.7,0.07,0.0,100,37.2178,2.6869
4300,-582.6,0.12,0.0,100,35.5886,2.8099
4400,-400.3,0.1,0.0,100,36.7913,2.718
4500,-21.0,0.1,0.0,100,37.2064,2.6877
4600,-740.3,0.06,0.0,100,35.7789,2.795
4700,-558.4,0.13,0.0,100,38.1254,2.6229
4800,-19.3,0.13,0.0,100,37.2509,2.6845
4900,-490.2,0.06,0.0,100,34.5513,2.8942
5000,-497.0,0.02,0.0,100,35.4535,2.8206
5100,-19.4,0.14,0.0,100,37.2762,2.6827
5200,-718.6,0.09,0.0,100,35.8122,2.7924
5300,-417.1,0.07,0.0,100,36.6569,2.728
5400,-27.1,0.11,0.0,100,36.043,2.7745
5500,-669.2,0.1,0.0,100,36.8847,2.7112
5600,-559.5,0.12,0.0,100,37.0041,2.7024
5700,-26.4,0.14,0.0,100,36.9819,2.704
5800,-681.9,0.13,0.0,100,35.5765,2.8108
5900,-575.2,0.15,0.0,100,35.7682,2.7958
6000,-17.1,0.11,0.0,100,37.4246,2.672
6100,-371.4,0.1,0.0,100,38.0945,2.6251
6200,-457.9,0.15,0.0,100,37.4506,2.6702
6300,-22.1,0.11,0.0,100,38.2267,2.616
6400,-628.2001,0.1,0.0,100,35.6872,2.8021
6500,-445.7,0.09,0.0,100,34.3765,2.909
6600,-22.1,0.11,0.0,100,37.2748,2.6828
6700,-702.4,0.1,0.0,100,35.662,2.8041
6800,-514.3,0.06,0.0,100,34.6803,2.8835
6900,-19.9,0.09,0.0,100,36.539,2.7368
7000,-655.6,0.11,0.0,100,34.9235,2.8634
7100,-411.3,0.11,0.0,100,30.1648,3.3151
7200,-17.5,0.05,0.0,100,36.9091,2.7094
7300,-879.7001,0.1,0.0,100,36.9784,2.7043
7400,-476.1,0.07,0.0,100,36.0994,2.7701
7500,-27.3,0.03,0.0,100,38.2159,2.6167
7600,-654.8,0.12,0.0,100,36.7918,2.718
7700,-376.1,0.12,0.0,100,37.3999,2.6738
7800,-21.0,0.1,0.0,100,37.0959,2.6957
7900,-543.2,0.04,0.0,100,36.8859,2.7111
8000,-380.7,0.11,0.0,100,35.8595,2.7887
8100,-15.7,0.07,0.0,100,36.6765,2.7265
8200,-590.0,0.07,0.0,100,35.8132,2.7923
8300,-380.7,0.07,0.0,100,34.57,2.8927
8400,-8.2,0.12,0.0,100,36.9441,2.7068
8500,-363.5,0.1,0.0,100,35.6609,2.8042
8600,-373.1,0.11,0.0,100,36.8884,2.7109
8700,-15.4,0.24,0.0,100,37.4793,2.6681
8800,-491.5,0.17,0.0,100,36.6692,2.7271
8900,-566.0,0.14,0.0,100,35.702,2.801
9000,-14.1,0.21,0.0,100,37.4848,2.6678
9100,-504.9,0.15,0.0,100,36.6295,2.73
9200,-426.9,0.07,0.0,100,35.8374,2.7904
9300,-15.6,0.06,0.0,100,35.7981,2.7934
9400,-585.8,0.16,0.0,100,33.3381,2.9996
9500,-485.0,0.09,0.0,100,36.757,2.7206
9600,-18.0,0.1,0.0,100,36.0235,2.776
9700,-398.4,0.09,0.0,100,35.7131,2.8001
9800,-279.0,0.05,0.0,100,38.1675,2.62
9900,-20.7,0.07,0.0,100,34.8372,2.8705
10000,-386.2,0.08,0.0,100,0.0,1.3604
10100,-358.7,0.03,0.0,100,35.4579,2.8203
10200,-13.1,0.11,0.0,100,38.3136,2.61
10300,-511.6,0.13,0.0,100,35.8954,2.7859
10400,-418.6,0.08,0.0,100,37.0804,2.6968
10500,-18.7,0.07,0.0,100,37.1572,2.6913
10600,-395.7,0.05,0.0,100,35.5204,2.8153
10700,-418.7,0.11,0.0,100,36.9701,2.7049
10800,-8.2,0.12,0.0,100,38.4449,2.6011
10900,-429.4,0.1,0.0,100,35.7704,2.7956
11000,-458.3,0.06,0.0,100,35.9784,2.7794
11100,-11.7,0.07,0.0,100,39.6339,2.5231
11200,-346.2,0.09,0.0,100,41.5649,2.4059
11300,-443.1,0.12,0.0,100,34.7595,2.8769
11400,-15.0,0.1,0.0,100,37.0297,2.7005
11500,-505.3,0.1,0.0,100,35.3717,2.8271
11600,-429.9,0.08,0.0,100,35.8267,2.7912
11700,-10.7,0.07,0.0,100,35.6654,2.8038
11800,-283.9,0.07,0.0,100,35.7743,2.7953
11900,-346.6,0.03,0.0,100,37.162,2.6909
12000,-12.7,0.07,0.0,100,36.6477,2.7287
