env_steps,critic_loss,q,critic_grad_norm,critic_seq_grad_norm
100,0.2042,-0.0448,0.0705,0.0238
200,55.8343,-1.4365,3.2751,1.7906
300,29.9224,-5.5067,2.4786,3.1816
400,20.8727,-4.5113,4.715,7.9198
500,8.4631,-6.3635,1.1397,1.384
600,6.1562,-7.1986,1.4706,1.6404
700,5.8863,-6.9072,1.3581,1.2619
800,5.235,-8.1845,2.1976,2.7051
900,5.9901,-8.8701,1.9527,2.5766
1000,4.9781,-8.506,1.2956,1.2695
1100,5.8544,-9.5469,1.3841,1.5995
1200,5.9344,-10.3057,0.9839,1.088
1300,5.246,-10.0739,1.6951,2.3442
1400,6.0232,-11.0139,8.5599,14.9153
1500,5.5517,-11.7657,2.5839,4.2364
1600,4.735,-11.7057,2.657,4.5286
1700,4.8431,-12.8232,4.398,8.2151
1800,4.8753,-13.8609,3.3768,5.4674
1900,4.2401,-13.8583,6.4997,12.5389
2000,4.4865,-14.9686,6.1443,10.4096
2100,5.6767,-15.0732,9.8754,17.4843
2200,4.1794,-14.6938,6.208,14.0656
2300,5.1801,-15.9958,7.3656,14.5646
2400,5.7098,-16.0068,8.1011,19.2779
2500,4.973,-15.7708,53.886,125.2476
2600,6.9933,-16.4246,30.8145,75.051
2700,6.3158,-17.03,8.9113,17.6276
2800,5.3935,-16.2377,16.0922,37.7511
2900,5.6717,-16.491,10.98,26.7095
3000,5.9982,-16.7993,44.2084,99.5548
3100,5.4509,-16.6727,21.7795,53.6577
3200,8.744,-16.6516,12.732,26.0093
3300,6.341,-16.8697,12.6824,29.9455
3400,5.6518,-16.2986,10.5466,24.8126
3500,5.5583,-16.7807,14.0251,32.9101
3600,5.6028,-16.6208,5.8382,11.1644
3700,5.1289,-16.2832,11.8295,26.9944
3800,5.1382,-16.2429,42.3064,91.1578
3900,5.1296,-15.723,23.4281,55.7175
4000,4.8135,-15.5802,8.8062,16.8672
4100,4.649,-15.2731,11.6142,25.3095
4200,4.6884,-14.963,42.8218,107.9788
4300,4.1713,-14.0762,7.1208,13.6934
4400,3.9841,-14.0958,6.1784,13.39
4500,3.9727,-13.536,15.5195,38.4326
4600,3.6877,-13.1083,9.2459,22.9333
4700,3.8628,-12.5855,2.935,5.4604
4800,4.712,-12.3587,33.4417,81.5238
4900,3.7355,-12.0768,13.418,31.7078
5000,3.3721,-11.4623,15.0384,36.5791
5100,3.2546,-10.9328,10.0088,21.4343
5200,3.2057,-10.6798,14.4527,35.6594
5300,3.01,-10.169,17.4097,44.576
5400,2.9574,-9.9826,14.2673,34.3596
5500,2.9054,-9.8461,8.01,17.7177
5600,2.7805,-9.5895,8.38,19.1324
5700,2.7839,-9.4106,6.9131,16.8413
5800,2.5908,-9.0041,7.4261,18.617
5900,2.9773,-8.8216,27.6077,62.675
6000,2.8675,-9.0631,5.9652,13.85
6100,2.6057,-8.6547,9.9315,24.5682
6200,2.6518,-8.7718,7.0703,15.3677
6300,2.6082,-8.8705,6.7348,16.2127
6400,2.4495,-8.5546,15.6946,41.1672
6500,2.4869,-8.7673,8.5757,20.7895
6600,2.544,-8.9035,4.8036,11.42
6700,2.3912,-8.9996,23.072,59.0857
6800,2.4565,-9.0399,5.271,11.8959
6900,2.5359,-9.5111,11.0182,27.8712
7000,2.4404,-9.4128,7.7308,18.7107
7100,2.4353,-9.6429,13.2681,32.0608
7200,2.5043,-9.7671,4.9645,11.4393
7300,2.4563,-9.9434,10.98,25.3799
7400,2.5203,-10.3897,10.9334,23.8733
7500,3.1701,-10.5917,21.3579,46.3212
7600,2.6125,-10.4552,6.2147,14.0144
7700,2.5759,-10.9451,15.3414,39.6352
7800,2.7077,-11.3433,32.1681,79.6179
7900,2.7106,-11.4,7.0644,15.404
8000,2.8686,-11.9173,10.3672,23.9792
8100,2.8046,-12.1027,9.6869,21.5954
8200,2.8533,-12.582,12.2726,28.782
8300,2.9014,-12.6966,24.6747,63.147
8400,2.9434,-13.0317,17.1597,39.6944
8500,2.8917,-13.2867,8.1406,19.2052
8600,2.9642,-13.2068,12.3538,31.6641
8700,2.9866,-14.0001,9.1987,21.4376
8800,2.9761,-13.9229,20.5018,49.9419
8900,3.0766,-14.0478,30.4544,75.0601
9000,3.2602,-14.6246,10.9534,25.7111
9100,3.1164,-14.7677,16.817,41.9887
9200,3.2277,-15.352,14.27,31.9493
9300,3.4073,-15.3481,55.5811,135.4186
9400,3.2881,-15.0385,14.6204,34.8294
9500,3.4211,-16.1587,21.4604,50.9669
9600,3.5033,-16.4926,19.9206,50.1211
9700,3.6026,-16.4649,32.918,83.877
9800,3.3279,-15.996,12.3228,29.5937
9900,3.5642,-16.6852,16.0901,39.9338
10000,3.4802,-16.9095,57.5606,149.3526
10100,3.5936,-17.2519,57.9321,147.9587
10200,3.7862,-17.7093,33.4074,84.1206
10300,3.7212,-17.8584,50.9193,133.4655
10400,3.9792,-18.2104,33.3069,69.8675
10500,3.8722,-18.6514,20.0438,49.6319
10600,3.7892,-18.48,43.3611,111.4792
10700,3.9733,-19.1919,69.5003,180.1513
10800,4.0652,-18.9186,39.2341,99.3995
10900,4.1351,-19.0827,155.2984,384.3557
11000,5.4121,-19.1405,42.7792,102.4989
11100,4.285,-19.692,8.9774,21.3991
11200,4.1395,-19.6299,38.6233,94.4313
11300,4.2252,-19.9964,19.7254,49.8486
11400,4.3666,-20.1953,45.254,108.2428
11500,4.2217,-19.8358,15.96,40.5093
11600,4.4534,-20.2116,18.2637,45.8454
11700,4.5358,-20.9043,51.2531,128.0015
11800,4.4543,-20.3014,61.7557,158.7326
11900,4.5425,-20.5637,29.6804,78.3815
12000,4.7792,-21.3582,53.1764,135.8585
12100,5.037,-21.2232,155.0628,382.2535
12200,5.2323,-21.6095,19.1557,47.1026
12300,4.9885,-22.0322,37.0825,95.0705
12400,4.7336,-21.3673,31.8636,78.5226
12500,4.7871,-22.0626,37.1414,82.0787
12600,4.8219,-21.3497,31.1051,78.5768
12700,4.6526,-21.4367,58.0525,150.0655
12800,4.9224,-22.1852,79.9789,191.5583
12900,5.456,-21.8804,110.7964,286.966
13000,11.0556,-21.5578,67.9546,174.6355
13100,5.8016,-22.3167,148.9067,383.473
13200,5.3964,-22.5085,46.0841,112.7976
13300,4.9504,-21.815,14.3016,35.2146
