env_steps,return,invalid_actions_blue,invalid_actions_red,length,FPS,time
0,-25.3,0.13,0.0,100,0.0,1.0213
100,-1041.9,0.15,0.0,100,16.1233,6.2022
200,-517.6,0.16,0.0,100,15.9341,6.2759
300,-16.3,0.13,0.0,100,17.1499,5.8309
400,-861.2,0.04,0.0,100,15.6651,6.3836
500,-718.5,0.04,0.0,100,15.9167,6.2827
600,-20.6,0.06,0.0,100,16.5875,6.0286
700,-906.9,0.13,0.0,100,17.2476,5.7979
800,-852.4999,0.14,0.0,100,16.4528,6.078
900,-18.1,0.11,0.0,100,17.2291,5.8041
1000,-300.1,0.16,0.0,100,16.9421,5.9025
1100,-341.2,0.15,0.0,100,16.3774,6.106
1200,-11.6,0.16,0.0,100,16.6949,5.9898
1300,-455.8,0.1,0.0,100,16.5911,6.0273
1400,-536.6,0.21,0.0,100,16.4838,6.0666
1500,-18.5,0.15,0.0,100,16.5865,6.029
1600,-779.4,0.21,0.0,100,16.419,6.0905
1700,-525.1,0.15,0.0,100,16.6725,5.9979
1800,-16.7,0.17,0.0,100,16.9794,5.8895
1900,-492.3,0.16,0.0,100,16.3627,6.1115
2000,-354.5,0.07,0.0,100,16.1548,6.1901
2100,-22.4,0.14,0.0,100,16.3262,6.1251
2200,-387.3,0.07,0.0,100,16.7157,5.9824
2300,-643.7,0.03,0.0,100,16.6901,5.9916
2400,-13.3,0.13,0.0,100,16.9316,5.9061
2500,-327.7,0.12,0.0,100,17.2563,5.795
2600,-417.6,0.06,0.0,100,16.1002,6.2111
2700,-24.0,0.1,0.0,100,16.0939,6.2135
2800,-275.5,0.08,0.0,100,16.1416,6.1952
2900,-312.6,0.05,0.0,100,16.4488,6.0795
3000,-21.9,0.19,0.0,100,16.414,6.0924
3100,-453.0,0.06,0.0,100,16.1322,6.1988
3200,-316.9,0.07,0.0,100,16.0729,6.2217
3300,-24.2,0.12,0.0,100,16.1605,6.1879
3400,-428.5,0.07,0.0,100,16.6062,6.0218
3500,-456.7,0.06,0.0,100,16.9437,5.9019
3600,-23.9,0.09,0.0,100,16.7483,5.9708
3700,-341.0,0.06,0.0,100,15.8794,6.2975
3800,-443.9,0.07,0.0,100,15.6267,6.3993
3900,-21.2,0.12,0.0,100,16.6184,6.0174
4000,-337.2,0.06,0.0,100,16.1404,6.1956
4100,-398.5,0.11,0.0,100,16.0867,6.2163
4200,-19.8,0.18,0.0,100,16.1804,6.1803
4300,-315.2,0.07,0.0,100,16.1265,6.201
4400,-401.8,0.09,0.0,100,16.6392,6.0099
4500,-20.7,0.07,0.0,100,15.9241,6.2798
4600,-378.5,0.07,0.0,100,17.1502,5.8308
4700,-382.1,0.09,0.0,100,15.8755,6.299
4800,-26.5,0.15,0.0,100,17.5339,5.7032
4900,-483.1,0.06,0.0,100,16.2212,6.1648
5000,-543.9,0.1,0.0,100,17.157,5.8285
5100,-19.4,0.14,0.0,100,15.9042,6.2876
5200,-675.4,0.07,0.0,100,16.1072,6.2084
5300,-621.7999,0.07,0.0,100,15.9324,6.2765
5400,-33.0,0.1,0.0,100,16.6335,6.012
5500,-625.8,0.13,0.0,100,16.1006,6.2109
5600,-468.2,0.09,0.0,100,15.4006,6.4933
5700,-27.9,0.09,0.0,100,16.3851,6.1031
5800,-655.3,0.11,0.0,100,16.1237,6.2021
5900,-748.3,0.05,0.0,100,15.8717,6.3005
6000,-26.8,0.08,0.0,100,16.6806,5.995
6100,-829.2001,0.07,0.0,100,16.3499,6.1162
6200,-511.5,0.06,0.0,100,16.476,6.0694
6300,-27.2,0.12,0.0,100,17.4619,5.7268
6400,-901.0,0.07,0.0,100,17.2906,5.7835
6500,-640.0,0.05,0.0,100,16.9186,5.9106
6600,-21.4,0.14,0.0,100,17.3142,5.7756
6700,-781.7,0.1,0.0,100,16.6515,6.0055
6800,-281.4,0.05,0.0,100,16.3789,6.1054
6900,-27.5,0.15,0.0,100,16.4076,6.0947
7000,-740.3,0.05,0.0,100,16.9495,5.8999
7100,-509.7,0.14,0.0,100,16.1302,6.1996
7200,-21.3,0.13,0.0,100,16.5849,6.0296
7300,-782.5,0.17,0.0,100,16.1994,6.1731
7400,-726.4,0.1,0.0,100,16.648,6.0067
7500,-22.8,0.08,0.0,100,16.962,5.8955
7600,-1143.8,0.1,0.0,100,16.9542,5.8983
7700,-595.6,0.09,0.0,100,17.1662,5.8254
7800,-21.5,0.15,0.0,100,17.0429,5.8675
7900,-942.2,0.09,0.0,100,16.9217,5.9096
8000,-522.9,0.05,0.0,100,16.6428,6.0086
8100,-22.1,0.11,0.0,100,16.9285,5.9072
8200,-1070.9,0.16,0.0,100,16.9741,5.8913
8300,-813.5,0.11,0.0,100,16.9602,5.8962
