env_steps,critic_loss,q,raw_critic_grad_norm,critic_grad_norm,critic_seq_grad_norm
1000,0.194,-0.9373,0.4279,0.0275,0.0271
1100,0.0446,-1.2779,0.6314,0.0257,0.0241
1200,0.0423,-1.307,0.5093,0.0354,0.0361
1300,0.0432,-1.3363,0.5548,0.0202,0.0173
1400,0.0513,-1.3412,0.6583,0.0281,0.0265
1500,0.0512,-1.3505,0.8818,0.0483,0.0481
1600,0.0591,-1.3607,0.648,0.033,0.0306
1700,0.0479,-1.3595,0.9599,0.0701,0.0706
1800,0.0601,-1.3435,0.5719,0.0502,0.0485
1900,0.0623,-1.3504,0.7802,0.0795,0.0823
2000,0.0537,-1.344,0.747,0.1004,0.1042
2100,0.0615,-1.3253,1.1381,0.0577,0.0581
2200,0.0602,-1.3399,0.9545,0.085,0.086
2300,0.0693,-1.3193,1.0095,0.0475,0.048
2400,0.058,-1.3135,0.8105,0.0583,0.0596
2500,0.0649,-1.296,1.0568,0.0485,0.0477
2600,0.0643,-1.2932,1.5427,0.0797,0.0814
2700,0.0692,-1.2766,1.3135,0.1673,0.1726
2800,0.0719,-1.2557,0.9491,0.1081,0.111
2900,0.072,-1.229,1.1609,0.0572,0.0589
3000,0.0713,-1.1968,0.9996,0.1729,0.1789
3100,0.0723,-1.1717,1.5328,0.0538,0.054
3200,0.0839,-1.1378,1.3843,0.083,0.0843
3300,0.0768,-1.1074,1.2378,0.1546,0.1638
3400,0.075,-1.0749,1.2615,0.1089,0.113
3500,0.0768,-1.0358,1.0488,0.138,0.1445
3600,0.0752,-1.0183,0.9142,0.0966,0.0996
3700,0.075,-0.9683,1.1956,0.2604,0.2686
3800,0.073,-0.9464,1.1431,0.0763,0.0817
3900,0.0726,-0.9088,1.4391,0.1323,0.1381
4000,0.0738,-0.8712,1.3151,0.1127,0.116
4100,0.0791,-0.8279,1.5122,0.1045,0.1083
4200,0.077,-0.7959,1.1175,0.0872,0.0901
4300,0.0827,-0.7523,1.2616,0.1668,0.1727
4400,0.0791,-0.699,1.1024,0.098,0.1036
4500,0.0791,-0.6387,1.2417,0.0919,0.0937
4600,0.0865,-0.5793,1.4454,0.1422,0.1503
4700,0.0854,-0.525,1.4112,0.0689,0.0715
4800,0.0797,-0.4691,1.2533,0.0981,0.0999
4900,0.0798,-0.4126,1.5567,0.0743,0.0763
5000,0.0797,-0.3671,1.1736,0.1248,0.1273
5100,0.0887,-0.3066,1.1003,0.0939,0.1034
5200,0.088,-0.2554,1.2663,0.1056,0.1101
5300,0.0817,-0.2046,1.1931,0.1425,0.1431
5400,0.0827,-0.1394,1.1391,0.22,0.2252
5500,0.0822,-0.091,1.3516,0.0782,0.0797
5600,0.085,-0.0378,1.3204,0.1629,0.1667
5700,0.0847,0.0238,1.4239,0.112,0.1164
5800,0.0857,0.0704,1.3324,0.1492,0.151
5900,0.0879,0.126,1.1103,0.1283,0.1323
6000,0.0846,0.1686,1.2269,0.09,0.0911
6100,0.0821,0.2275,1.469,0.085,0.0877
6200,0.0873,0.2752,1.3622,0.1836,0.1848
6300,0.0848,0.3374,1.3551,0.097,0.1035
6400,0.0833,0.3938,1.1689,0.1044,0.1056
6500,0.0828,0.4516,1.1968,0.1582,0.1646
6600,0.0837,0.5215,1.2163,0.1769,0.1764
6700,0.0814,0.5755,1.5049,0.0896,0.0949
6800,0.0839,0.6331,1.0714,0.0875,0.0917
6900,0.084,0.694,1.0738,0.0701,0.068
