env_steps,critic_loss,q,raw_critic_grad_norm,critic_grad_norm,critic_seq_grad_norm
1000,0.2481,-1.1126,0.4539,0.0268,0.0202
1100,0.0539,-1.3814,0.5181,0.044,0.0374
1200,0.0645,-1.428,0.6595,0.0356,0.0299
1300,0.063,-1.4215,0.5997,0.0337,0.0286
1400,0.0625,-1.4268,0.5495,0.0314,0.0278
1500,0.061,-1.4114,0.567,0.0512,0.0442
1600,0.0639,-1.4247,0.7445,0.029,0.0233
1700,0.0647,-1.4662,0.7197,0.0369,0.0271
1800,0.0605,-1.4542,0.8125,0.0446,0.0375
1900,0.0607,-1.4942,0.6108,0.0529,0.0422
2000,0.0633,-1.5418,0.6408,0.0481,0.0406
2100,0.054,-1.5385,0.5436,0.0327,0.0288
2200,0.0568,-1.5856,0.7362,0.0508,0.0426
2300,0.0563,-1.6026,0.7379,0.0486,0.0422
2400,0.0586,-1.6409,0.7571,0.0543,0.046
2500,0.0577,-1.6414,0.5626,0.0416,0.0358
2600,0.0655,-1.6195,0.8636,0.0688,0.0558
2700,0.0595,-1.612,0.7558,0.0453,0.0394
2800,0.0653,-1.6189,0.9859,0.0638,0.0511
2900,0.0654,-1.6506,0.8292,0.0439,0.0365
3000,0.067,-1.6708,0.8049,0.1197,0.1031
3100,0.0644,-1.6531,0.7786,0.0662,0.0559
3200,0.0659,-1.6466,0.7756,0.0566,0.0486
3300,0.0704,-1.6261,0.9451,0.0918,0.0778
3400,0.0703,-1.6267,0.8712,0.0509,0.0425
3500,0.0723,-1.632,0.8116,0.0677,0.057
3600,0.0732,-1.6185,0.8581,0.0864,0.0742
3700,0.0744,-1.6193,0.8861,0.0554,0.0503
3800,0.0705,-1.6004,0.8911,0.0822,0.0732
3900,0.076,-1.5729,0.8199,0.0518,0.0466
4000,0.0743,-1.5735,1.0369,0.0936,0.0818
4100,0.0784,-1.5594,0.9538,0.0592,0.0534
4200,0.0766,-1.5339,0.962,0.0663,0.061
4300,0.0755,-1.5154,0.8752,0.0826,0.0726
4400,0.0748,-1.511,1.1527,0.1257,0.1112
4500,0.0782,-1.4684,1.0919,0.0685,0.0635
4600,0.079,-1.4479,0.9364,0.0621,0.0567
4700,0.076,-1.4305,1.0436,0.0516,0.0453
4800,0.0788,-1.4202,0.927,0.0609,0.0572
4900,0.0785,-1.4186,1.0779,0.0894,0.079
5000,0.0796,-1.404,1.0515,0.0629,0.0546
