env_steps,critic_loss,q,raw_critic_grad_norm,critic_grad_norm,critic_seq_grad_norm
1000,0.6267,-1.0428,1.2584,0.3034,0.2142
1100,0.526,-1.7512,1.6037,0.2534,0.1549
1200,0.5391,-1.872,1.7701,0.4387,0.4196
1300,0.5502,-1.9463,1.7733,0.4044,0.4324
1400,0.5517,-2.0549,1.87,0.2774,0.2193
1500,0.5529,-2.1666,1.8658,0.3084,0.3318
1600,0.5531,-2.2442,1.943,0.3634,0.4778
1700,0.558,-2.3409,2.0055,0.3973,0.326
1800,0.5612,-2.435,2.1029,0.4292,0.5759
1900,0.5444,-2.5354,2.2047,0.645,0.8974
2000,0.5483,-2.5759,2.2743,0.4924,0.647
2100,0.5565,-2.6738,2.3247,0.3451,0.3427
2200,0.5741,-2.7035,2.4636,0.5913,0.7829
2300,0.5502,-2.8059,2.4506,0.4158,0.3733
2400,0.5738,-2.8946,2.3833,0.4397,0.4182
2500,0.5665,-2.9548,2.5228,0.4639,0.5549
2600,0.576,-2.9966,2.4612,0.397,0.456
2700,0.5613,-3.05,2.5528,0.5301,0.7864
2800,0.5512,-3.1346,2.5848,0.4958,0.6163
2900,0.5479,-3.214,2.7066,0.3911,0.6228
3000,0.5511,-3.26,2.6543,0.5206,0.551
3100,0.5447,-3.3346,2.7028,0.3909,0.447
3200,0.5543,-3.3561,2.7843,0.5583,0.6635
3300,0.5591,-3.4181,2.7941,0.511,0.6446
3400,0.5427,-3.5494,3.0231,0.6895,1.1331
3500,0.5703,-3.5578,2.8,0.6083,0.8065
3600,0.562,-3.6055,2.8376,0.4689,0.5808
3700,0.5833,-3.6236,2.9647,0.5408,0.7975
3800,0.5648,-3.6976,2.8646,0.5474,0.6858
3900,0.5623,-3.7374,3.1096,0.6147,0.9753
4000,0.5576,-3.791,2.9911,0.6187,0.8563
4100,0.5725,-3.8759,3.1886,0.5648,0.7067
4200,0.5621,-3.9195,3.2309,0.5123,0.6501
4300,0.5746,-3.9719,3.0015,0.6447,0.9279
4400,0.5857,-3.9891,3.265,0.5318,0.6587
4500,0.5996,-4.0193,3.074,0.6391,0.8867
4600,0.5739,-4.0791,3.1242,0.5633,0.891
4700,0.6028,-4.083,3.2437,0.6373,0.9673
4800,0.5676,-4.1121,3.1832,0.6288,0.9781
4900,0.5976,-4.1539,3.2387,0.673,1.1152
5000,0.5985,-4.1964,3.3924,0.5455,0.7002
5100,0.5884,-4.259,3.3726,0.6402,0.9294
5200,0.6184,-4.2755,3.5838,0.564,0.7776
5300,0.5756,-4.3463,3.428,0.5984,0.9132
5400,0.5802,-4.3942,3.4668,0.5296,0.645
5500,0.5944,-4.3962,3.6216,0.5967,0.8772
5600,0.5957,-4.4504,3.6744,0.5773,0.8184
5700,0.6106,-4.5001,3.7529,0.5915,0.8377
5800,0.6153,-4.54,3.614,0.6219,0.977
5900,0.6103,-4.565,3.7858,0.5702,0.7752
6000,0.6129,-4.5934,3.6866,0.5632,0.7502
6100,0.6623,-4.6147,3.7492,0.6817,1.1292
6200,0.5968,-4.6965,3.744,0.6067,0.9452
6300,0.5942,-4.7434,3.7078,0.6517,1.0122
6400,0.6381,-4.7707,3.7901,0.5739,0.8169
6500,0.6468,-4.7957,4.155,0.6489,1.0327
6600,0.6579,-4.8858,4.2232,0.633,0.9495
6700,0.6521,-4.9122,4.0723,0.5564,0.8132
6800,0.6548,-4.9962,4.3651,0.6081,0.8404
6900,0.6575,-5.0252,4.4582,0.5924,0.8304
7000,0.6764,-5.0905,4.4393,0.7011,1.2637
7100,0.611,-5.1271,3.9998,0.6824,1.2197
7200,0.6963,-5.1405,4.69,0.6451,1.0328
7300,0.6676,-5.1758,4.2114,0.7002,1.2326
7400,0.6588,-5.258,4.349,0.5737,0.8624
7500,0.639,-5.324,4.4131,0.5945,0.8902
7600,0.6482,-5.3419,4.5075,0.6086,0.9864
7700,0.6844,-5.3695,4.5198,0.6364,0.9767
7800,0.6599,-5.4344,4.4914,0.5208,0.5943
7900,0.7087,-5.4574,4.6985,0.6003,0.8266
8000,0.693,-5.5258,4.61,0.6556,1.1336
