env_steps,return,restorations,infiltrations,length,FPS,time
0,-55.1,45,742,100,0.0,0.0544
100,-71.1,54,702,100,2983.8893,0.0335
200,-66.1,60,490,100,3133.7727,0.0319
300,-66.45,51,601,100,2809.1058,0.0356
400,-70.8,45,868,100,3081.3056,0.0325
500,-66.2,43,832,100,3025.8441,0.0331
600,-55.6,60,416,100,2819.9087,0.0355
700,-64.4,50,664,100,3098.5144,0.0323
800,-60.9,51,630,100,3072.165,0.0326
900,-78.65,66,433,100,2110.2567,0.0474
1000,-84.9,65,542,100,23.6154,4.2345
1100,-65.25,43,889,100,151.7583,0.6589
1200,-60.55,43,919,100,162.1604,0.6167
1300,-71.85,60,613,100,163.3882,0.612
1400,-76.85,63,605,100,162.7213,0.6146
1500,-81.15,52,839,100,151.4194,0.6604
1600,-82.2,61,688,100,163.0453,0.6133
1700,-64.8,55,648,100,163.8243,0.6104
1800,-64.1,42,862,100,148.4529,0.6736
1900,-72.25,48,833,100,162.9577,0.6137
2000,-55.45,53,557,100,162.2921,0.6162
2100,-57.45,47,729,100,163.3613,0.6121
2200,-79.3,56,670,100,153.884,0.6498
2300,-59.55,63,395,100,162.408,0.6157
2400,-69.05,56,593,100,164.0492,0.6096
2500,-79.9,65,510,100,163.1291,0.613
2600,-78.65,55,725,100,148.6932,0.6725
2700,-80.95,48,919,100,162.4755,0.6155
2800,-62.4,57,508,100,162.3518,0.616
2900,-72.1,54,710,100,165.1547,0.6055
3000,-59.9,40,806,100,152.6812,0.655
3100,-66.65,55,645,100,163.3037,0.6124
3200,-67.95,42,883,100,162.2478,0.6163
3300,-54.7,42,718,100,161.3796,0.6197
3400,-72.3,52,742,100,148.688,0.6726
3500,-68.2,53,652,100,162.4624,0.6155
3600,-55.3,34,914,100,150.5374,0.6643
3700,-66.55,43,843,100,162.6524,0.6148
3800,-67.15,52,659,100,162.5972,0.615
3900,-74.5,69,414,100,165.1932,0.6054
4000,-66.5,54,602,100,152.2552,0.6568
4100,-73.4,52,784,100,161.2622,0.6201
4200,-68.7,55,638,100,147.1637,0.6795
4300,-65.35,48,699,100,163.1601,0.6129
4400,-50.75,39,771,100,158.5784,0.6306
4500,-80.65,65,525,100,149.0476,0.6709
4600,-69.05,56,545,100,163.3367,0.6122
4700,-60.95,52,627,100,162.7179,0.6146
4800,-69.35,54,615,100,163.3358,0.6122
4900,-47.4,30,936,100,150.4732,0.6646
5000,-63.65,57,537,100,158.6024,0.6305
5100,-61.55,54,527,100,149.1425,0.6705
5200,-67.1,48,682,100,160.6796,0.6224
5300,-79.2,54,812,100,150.9767,0.6624
5400,-69.45,48,789,100,162.7669,0.6144
5500,-65.45,40,941,100,161.2349,0.6202
5600,-66.15,55,567,100,163.3708,0.6121
5700,-77.85,63,549,100,151.4723,0.6602
5800,-69.15,48,771,100,156.5355,0.6388
5900,-57.05,34,889,100,149.0688,0.6708
6000,-59.5,42,810,100,163.2597,0.6125
6100,-64.45,47,741,100,162.8574,0.614
6200,-57.95,39,799,100,152.8751,0.6541
6300,-54.85,45,641,100,165.8039,0.6031
6400,-64.1,60,410,100,163.9806,0.6098
6500,-69.9,56,602,100,164.242,0.6089
6600,-66.6,41,852,100,159.7468,0.626
6700,-59.9,47,694,100,151.5917,0.6597
6800,-59.35,54,463,100,159.5386,0.6268
6900,-74.6,56,640,100,161.9241,0.6176
7000,-62.25,54,677,100,152.5438,0.6556
7100,-61.5,51,594,100,162.7664,0.6144
7200,-75.55,54,703,100,162.1845,0.6166
7300,-60.1,46,730,100,151.0586,0.662
7400,-70.65,52,657,100,160.6337,0.6225
7500,-52.65,36,865,100,158.7782,0.6298
7600,-67.5,49,782,100,150.0824,0.6663
7700,-69.35,46,871,100,161.754,0.6182
7800,-70.4,50,696,100,162.2704,0.6163
7900,-72.75,61,479,100,153.127,0.6531
8000,-65.15,44,807,100,164.3456,0.6085
8100,-62.1,41,838,100,162.2082,0.6165
8200,-67.15,55,559,100,161.8586,0.6178
8300,-81.4,59,672,100,150.7188,0.6635
8400,-70.5,55,566,100,160.4703,0.6232
8500,-75.75,59,567,100,163.8209,0.6104
8600,-64.05,45,817,100,152.3009,0.6566
