env_steps,critic_loss,q,raw_critic_grad_norm,critic_grad_norm,critic_seq_grad_norm
1000,0.6205,-1.1064,1.316,0.3527,0.3041
1100,0.5892,-1.9,1.8652,0.39,0.2757
1200,0.5793,-2.0355,1.9289,0.2622,0.2751
1300,0.6053,-2.1467,2.1179,0.2478,0.1972
1400,0.5912,-2.265,2.2309,0.3775,0.396
1500,0.6077,-2.3849,2.2317,0.5747,0.7696
1600,0.6299,-2.5052,2.5213,0.6473,0.8949
1700,0.616,-2.6075,2.3618,0.5158,0.5798
1800,0.6072,-2.7164,2.3928,0.3244,0.3042
1900,0.6502,-2.8355,2.9493,0.6132,0.8194
2000,0.6252,-2.9902,2.9906,0.4287,0.465
2100,0.625,-3.0391,2.8129,0.5802,0.6967
2200,0.6198,-3.1606,3.1762,0.4727,0.4557
2300,0.6409,-3.1952,2.7027,0.4274,0.469
2400,0.6776,-3.2794,3.1131,0.4954,0.6065
2500,0.6184,-3.3739,2.9175,0.5187,0.7257
2600,0.6255,-3.471,2.9817,0.605,0.7688
2700,0.6167,-3.5374,2.97,0.4836,0.5278
2800,0.6321,-3.5981,2.9545,0.6543,1.0151
2900,0.6677,-3.64,3.2367,0.6951,1.1592
3000,0.6442,-3.7146,3.5061,0.6918,1.1524
3100,0.6537,-3.7885,3.2741,0.5126,0.5623
3200,0.6905,-3.8437,3.3236,0.6128,0.9007
3300,0.656,-3.9183,3.5506,0.5057,0.5237
3400,0.6393,-3.9596,3.356,0.511,0.7037
3500,0.6806,-4.0167,3.4712,0.5005,0.5771
3600,0.6427,-4.0821,3.4972,0.5468,0.6805
3700,0.6477,-4.1312,3.6492,0.5319,0.6697
3800,0.6518,-4.2059,3.5937,0.6506,1.0307
3900,0.7023,-4.2233,3.7803,0.6101,0.8408
4000,0.6391,-4.3509,3.7493,0.4983,0.5048
4100,0.6564,-4.387,3.6807,0.5417,0.6764
4200,0.7119,-4.4003,3.785,0.5619,0.7824
4300,0.6909,-4.4691,3.8741,0.5123,0.5855
4400,0.6994,-4.4985,4.2262,0.583,0.8434
4500,0.6925,-4.554,4.0881,0.5815,0.7842
4600,0.6888,-4.6172,4.214,0.6577,1.133
4700,0.681,-4.6882,3.984,0.5372,0.6174
4800,0.6711,-4.7142,3.9396,0.5489,0.7721
4900,0.6711,-4.7446,3.9935,0.6615,1.1363
5000,0.7095,-4.7878,4.1509,0.7069,1.2842
5100,0.6775,-4.8341,4.2138,0.5716,0.8182
5200,0.6577,-4.8815,4.4919,0.6477,1.0685
5300,0.7233,-4.9885,4.8681,0.7033,1.2915
5400,0.7165,-4.9727,4.1804,0.6152,0.8981
5500,0.6926,-5.0191,4.1585,0.6122,0.965
5600,0.7206,-5.0597,4.3117,0.6328,0.9456
5700,0.7146,-5.1022,4.6138,0.5409,0.7453
5800,0.6898,-5.1507,4.3763,0.5677,0.801
5900,0.7265,-5.1461,4.833,0.6825,1.1494
6000,0.6908,-5.2571,5.0813,0.6287,0.9592
6100,0.7262,-5.2177,4.4555,0.6385,1.0116
6200,0.679,-5.2633,4.5771,0.6439,1.0935
6300,0.6901,-5.2945,4.5646,0.5625,0.7299
6400,0.688,-5.3032,4.3047,0.6022,0.8862
6500,0.6734,-5.3154,4.244,0.6571,1.0621
6600,0.718,-5.3294,4.6285,0.6044,0.9206
6700,0.6882,-5.3674,4.5472,0.596,0.9362
6800,0.6934,-5.3773,4.5422,0.634,1.1151
6900,0.6861,-5.4047,4.3825,0.5875,0.8532
7000,0.7304,-5.3995,4.9879,0.6801,1.21
7100,0.7249,-5.3939,4.5819,0.6315,1.0167
7200,0.6859,-5.3945,4.8237,0.659,1.1239
7300,0.6731,-5.4652,4.3783,0.6451,1.0279
7400,0.6985,-5.4497,4.6482,0.563,0.7977
7500,0.6803,-5.4543,4.5825,0.6507,1.15
7600,0.7208,-5.4549,4.585,0.6681,1.2149
7700,0.7634,-5.4553,4.9092,0.5588,0.8543
7800,0.7438,-5.4493,4.4971,0.6695,1.343
7900,0.7571,-5.4683,4.9645,0.5568,0.7593
8000,0.726,-5.5047,4.7538,0.6771,1.1016
8100,0.6976,-5.5987,4.6773,0.6448,1.1448
