env_steps,critic_loss,q,raw_critic_grad_norm,critic_grad_norm,critic_seq_grad_norm
100,0.8957,-0.1301,0.8641,0.1116,0.0336
200,0.5797,-0.6647,0.5527,0.0195,0.0062
300,0.6126,-0.7234,0.2939,0.0151,0.0034
400,0.6224,-0.7498,0.2015,0.0069,0.0028
500,0.6093,-0.8093,0.1846,0.0188,0.0045
600,0.5972,-0.8745,0.1729,0.0193,0.0062
700,0.6046,-0.9386,0.1771,0.0232,0.011
800,0.601,-1.0135,0.1937,0.0255,0.0134
900,0.595,-1.0889,0.1904,0.027,0.0316
1000,0.5872,-1.163,0.201,0.0224,0.0238
1100,0.5772,-1.2377,0.2227,0.0406,0.0498
1200,0.5782,-1.304,0.2512,0.059,0.0995
1300,0.579,-1.3842,0.2741,0.0387,0.0401
1400,0.5719,-1.474,0.525,0.0597,0.1065
1500,0.5475,-1.5458,0.4237,0.1119,0.2366
1600,0.5475,-1.5761,1.8287,0.5778,1.2645
1700,0.5969,-1.6279,3.6291,0.3291,0.661
1800,0.5305,-1.6813,0.6676,0.096,0.1811
1900,0.529,-1.7349,0.4087,0.0751,0.1512
2000,0.5243,-1.7849,0.6589,0.0992,0.2327
2100,0.5221,-1.831,0.4618,0.1224,0.2706
2200,0.5207,-1.8796,0.6014,0.0505,0.1005
2300,0.5198,-1.9229,0.6483,0.1516,0.3726
2400,0.5137,-1.9657,0.8072,0.0993,0.192
2500,0.5158,-2.021,0.7638,0.1812,0.4406
2600,0.5076,-2.0629,1.0313,0.2419,0.618
2700,0.5059,-2.1084,0.8022,0.1957,0.4909
2800,0.5095,-2.1493,1.4635,0.3945,1.0686
2900,0.5098,-2.1901,1.8368,0.3638,0.9289
3000,0.5091,-2.2287,2.2391,0.3217,0.8239
3100,0.5094,-2.254,3.1686,0.4652,1.31
3200,0.5162,-2.2764,3.7422,0.4681,1.3079
3300,0.5116,-2.3004,3.0839,0.2803,0.6911
3400,0.5057,-2.3306,4.8056,0.464,1.3099
3500,0.5089,-2.3536,8.0009,0.4613,1.3091
3600,0.5147,-2.3772,8.2882,0.4646,1.3132
3700,0.5116,-2.3893,8.9376,0.4681,1.3118
3800,0.5149,-2.408,9.5505,0.4601,1.3064
3900,0.5184,-2.4271,8.7753,0.4668,1.3063
4000,0.5115,-2.4534,9.2541,0.4682,1.3059
4100,0.5088,-2.4824,10.074,0.4611,1.3108
4200,0.5122,-2.4976,10.4177,0.4569,1.3052
4300,0.5184,-2.5213,10.8325,0.4553,1.3016
4400,0.518,-2.5378,11.2588,0.4574,1.3085
4500,0.5139,-2.5585,11.8349,0.4628,1.3009
4600,0.5137,-2.579,10.4693,0.4717,1.3098
4700,0.5123,-2.6009,11.0284,0.4596,1.3094
4800,0.5143,-2.6256,10.8904,0.4599,1.3083
4900,0.5133,-2.6397,11.1488,0.4635,1.3016
5000,0.5127,-2.6524,7.9567,0.4509,1.167
5100,0.5146,-2.6779,14.0104,0.4575,1.3058
5200,0.5127,-2.692,13.9264,0.4649,1.3029
5300,0.5137,-2.7163,13.0367,0.4856,1.3145
5400,0.5142,-2.7306,8.4574,0.454,1.3047
5500,0.5127,-2.7429,9.6542,0.4581,1.3047
5600,0.5172,-2.752,13.8809,0.464,1.3068
5700,0.5178,-2.7591,14.007,0.4557,1.2884
5800,0.5182,-2.7642,15.3474,0.4578,1.3044
5900,0.5204,-2.7781,14.2388,0.4558,1.3015
6000,0.5244,-2.7773,14.1257,0.4741,1.3011
6100,0.5233,-2.7835,7.6748,0.4633,1.3087
6200,0.5207,-2.7879,9.5248,0.4804,1.3071
6300,0.518,-2.8057,13.1125,0.4795,1.3103
6400,0.5192,-2.8238,20.0789,0.4523,1.3028
6500,0.5181,-2.831,19.2585,0.4526,1.3023
6600,0.5207,-2.8433,18.5477,0.4547,1.2972
6700,0.5225,-2.8367,18.649,0.4549,1.3042
6800,0.5227,-2.8351,18.789,0.4575,1.3066
6900,0.5278,-2.832,18.2812,0.464,1.3041
7000,0.5265,-2.8503,18.1747,0.4578,1.297
7100,0.5234,-2.8659,18.2014,0.4581,1.3017
7200,0.525,-2.8708,18.1273,0.4619,1.3079
7300,0.5266,-2.8613,18.2055,0.4593,1.3038
7400,0.528,-2.8649,19.2155,0.4564,1.3087
7500,0.5267,-2.8734,18.9272,0.4652,1.3085
7600,0.5277,-2.879,19.0874,0.4546,1.3053
7700,0.5293,-2.8911,19.4735,0.4736,1.2967
7800,0.5317,-2.8951,14.0003,0.4561,1.3039
7900,0.5284,-2.9152,17.52,0.4746,1.3156
8000,0.524,-2.9211,14.9542,0.4482,1.3051
8100,0.5268,-2.9223,22.4349,0.4654,1.3024
8200,0.5207,-2.9265,17.5449,0.4549,1.3002
8300,0.5248,-2.9213,22.1466,0.4597,1.3054
8400,0.5252,-2.9302,22.2532,0.4564,1.3004
8500,0.5261,-2.9467,21.2305,0.459,1.2992
8600,0.5264,-2.9599,21.3669,0.4599,1.304
8700,0.5291,-2.9624,21.666,0.4527,1.3002
8800,0.5272,-2.9747,20.857,0.4539,1.2977
8900,0.5244,-2.9795,13.3035,0.4693,1.2799
9000,0.528,-2.9964,19.3722,0.4592,1.299
9100,0.5237,-2.9961,10.6926,0.4599,1.3058
9200,0.5234,-3.0168,15.5786,0.4575,1.3057
9300,0.5251,-3.0164,22.0418,0.4602,1.309
9400,0.5276,-3.0251,22.8195,0.4548,1.299
9500,0.5286,-3.0346,23.9471,0.4564,1.3069
9600,0.529,-3.0442,22.9179,0.4611,1.3049
9700,0.5348,-3.0475,23.3886,0.4606,1.2989
9800,0.5359,-3.0526,25.135,0.456,1.3094
9900,0.5385,-3.0443,22.9971,0.4548,1.3015
10000,0.5417,-3.0418,24.9367,0.4565,1.2932
10100,0.5442,-3.0528,24.583,0.4559,1.3068
10200,0.5431,-3.0662,23.3572,0.4551,1.2947
10300,0.5408,-3.0782,23.2247,0.4562,1.2932
10400,0.5432,-3.0871,24.0627,0.4516,1.3018
10500,0.5452,-3.1,22.1559,0.4659,1.3132
10600,0.5465,-3.13,17.7038,0.4603,1.3072
10700,0.5406,-3.1426,12.4084,0.4724,1.2994
10800,0.5411,-3.1361,15.6289,0.4635,1.2993
10900,0.5455,-3.1633,23.4509,0.4531,1.2881
11000,0.5438,-3.1609,24.1452,0.46,1.3059
11100,0.5416,-3.1758,21.9976,0.4695,1.3096
11200,0.5452,-3.1863,24.3258,0.4591,1.3051
11300,0.5455,-3.2077,22.762,0.4546,1.3035
11400,0.5486,-3.1996,23.95,0.4512,1.2972
11500,0.5491,-3.2293,24.3649,0.4496,1.295
11600,0.5486,-3.2378,23.7104,0.4523,1.2903
11700,0.5498,-3.2494,18.2431,0.4649,1.267
11800,0.5462,-3.255,14.4746,0.4682,1.2895
11900,0.5498,-3.2567,17.5299,0.472,1.287
12000,0.55,-3.2707,25.5928,0.459,1.301
12100,0.5445,-3.2775,17.8119,0.4562,1.2988
12200,0.5481,-3.292,16.9423,0.4517,1.3017
12300,0.5494,-3.3015,21.9603,0.4635,1.2991
12400,0.5473,-3.3145,16.382,0.4605,1.2939
12500,0.5513,-3.3203,19.8345,0.4523,1.2816
12600,0.5489,-3.3306,14.7077,0.4779,1.3032
12700,0.5476,-3.3554,15.5668,0.4512,1.2936
12800,0.5501,-3.3615,24.7922,0.4605,1.2981
12900,0.5496,-3.3697,25.5688,0.4535,1.3013
13000,0.5521,-3.3753,25.1104,0.4561,1.3047
13100,0.5532,-3.3922,27.0687,0.4552,1.2987
13200,0.5569,-3.4042,16.5132,0.4898,1.2998
13300,0.5638,-3.4148,30.2119,0.4515,1.2871
13400,0.568,-3.4185,42.1918,0.4523,1.2919
13500,0.5746,-3.4399,38.5956,0.4542,1.2999
13600,0.5639,-3.4365,17.9404,0.4591,1.2927
13700,0.569,-3.4415,25.924,0.4866,1.314
13800,0.5605,-3.4457,24.8754,0.4551,1.2843
13900,0.5636,-3.4672,25.3413,0.468,1.2876
14000,0.5615,-3.4651,23.5241,0.4512,1.2984
14100,0.5666,-3.4768,24.8106,0.4559,1.2962
14200,0.5697,-3.4768,29.3806,0.4607,1.3106
14300,0.5693,-3.4854,28.247,0.4581,1.302
14400,0.5645,-3.489,29.3151,0.4551,1.2818
14500,0.5658,-3.5054,29.4146,0.4602,1.308
14600,0.5673,-3.5087,29.5382,0.4516,1.2941
14700,0.566,-3.5197,28.7098,0.4613,1.3085
14800,0.5721,-3.5295,29.2321,0.4543,1.2899
14900,0.5689,-3.5353,28.8515,0.4532,1.2906
15000,0.5728,-3.5398,26.218,0.4511,1.2972
15100,0.5716,-3.5405,24.0099,0.4563,1.3027
15200,0.5667,-3.5492,24.013,0.4555,1.2959
15300,0.5679,-3.556,21.448,0.455,1.285
15400,0.5659,-3.5708,30.6019,0.4545,1.2923
15500,0.5719,-3.5739,33.9897,0.4565,1.3025
15600,0.5673,-3.5768,31.9874,0.4536,1.29
15700,0.5672,-3.5791,31.0072,0.4563,1.2982
15800,0.5695,-3.5767,28.7355,0.4735,1.2972
15900,0.5702,-3.604,21.2566,0.4539,1.2958
16000,0.5821,-3.5853,34.4416,0.4578,1.2982
16100,0.5723,-3.5978,31.1612,0.4597,1.2883
16200,0.5697,-3.612,31.2032,0.4616,1.3017
16300,0.5718,-3.5948,29.235,0.4497,1.2986
16400,0.5715,-3.6029,26.7591,0.47,1.308
16500,0.5683,-3.6062,19.8802,0.4719,1.3003
16600,0.5679,-3.6242,19.1107,0.4731,1.309
16700,0.567,-3.6192,18.1463,0.4758,1.3041
16800,0.5673,-3.636,26.16,0.4493,1.2784
16900,0.5682,-3.6333,26.7702,0.4551,1.3049
17000,0.5653,-3.6388,30.7989,0.4547,1.2946
17100,0.5672,-3.6344,32.9125,0.4514,1.2997
17200,0.5656,-3.6418,21.4363,0.4896,1.2853
17300,0.5618,-3.649,15.5608,0.4655,1.3066
17400,0.5653,-3.6402,28.8862,0.4554,1.2956
17500,0.5647,-3.6493,30.317,0.4575,1.3034
17600,0.5635,-3.6472,34.9327,0.4514,1.2928
17700,0.57,-3.6438,34.564,0.4611,1.3055
17800,0.5651,-3.6632,19.9697,0.4684,1.3128
17900,0.5643,-3.662,28.9087,0.4565,1.3022
18000,0.563,-3.6593,27.3108,0.4529,1.2938
18100,0.5649,-3.6692,33.0659,0.4632,1.297
18200,0.5632,-3.6745,28.9072,0.4609,1.304
18300,0.5619,-3.6712,23.7077,0.4543,1.2964
18400,0.5707,-3.6768,31.6699,0.4567,1.2933
18500,0.5665,-3.6821,36.3096,0.4603,1.3026
18600,0.5665,-3.6792,37.9152,0.4545,1.3011
18700,0.5658,-3.6898,36.1004,0.4588,1.3006
18800,0.5643,-3.6941,30.1341,0.4937,1.3022
18900,0.5639,-3.7005,18.8684,0.4574,1.3052
19000,0.5643,-3.717,30.3017,0.4604,1.2932
19100,0.5577,-3.7048,22.6842,0.4655,1.2916
19200,0.5561,-3.714,24.2924,0.4561,1.3002
19300,0.565,-3.7187,40.5475,0.5117,1.2559
19400,0.5831,-3.7065,58.9328,0.4542,1.2898
19500,0.5807,-3.725,57.7064,0.4727,1.2841
19600,0.5692,-3.72,32.0265,0.4757,1.2825
19700,0.5684,-3.7152,38.3599,0.4586,1.2978
19800,0.5669,-3.7165,35.1593,0.4671,1.275
19900,0.5657,-3.7122,36.5799,0.4616,1.3089
20000,0.5669,-3.7154,32.1708,0.4576,1.3046
20100,0.5677,-3.7217,27.4294,0.4611,1.3047
20200,0.5685,-3.722,27.561,0.4568,1.2917
20300,0.5635,-3.7168,32.6999,0.4631,1.3114
20400,0.5643,-3.7246,38.8236,0.4542,1.2909
20500,0.5656,-3.7132,38.6808,0.4584,1.2998
20600,0.5642,-3.7232,29.6073,0.4549,1.2972
20700,0.5642,-3.7227,30.2242,0.4786,1.2844
20800,0.5605,-3.7192,32.3589,0.4773,1.3174
20900,0.5599,-3.7272,19.8886,0.4595,1.3006
21000,0.5579,-3.7194,28.0045,0.4784,1.3087
21100,0.5615,-3.7281,32.5374,0.4656,1.3095
21200,0.5684,-3.724,38.8939,0.4583,1.3101
21300,0.5611,-3.728,42.6491,0.4565,1.2932
21400,0.5674,-3.7179,43.3549,0.4717,1.3171
21500,0.5612,-3.723,43.6382,0.4583,1.3046
21600,0.5653,-3.7137,36.4752,0.4826,1.2963
21700,0.5755,-3.7144,44.4592,0.4842,1.2738
21800,0.5677,-3.7273,27.5654,0.4549,1.2956
21900,0.5583,-3.7123,27.8819,0.4686,1.3045
22000,0.562,-3.7229,35.4898,0.4595,1.2906
22100,0.5611,-3.7116,36.9871,0.4589,1.2925
22200,0.5617,-3.7137,41.6967,0.4658,1.2958
22300,0.5566,-3.703,33.4519,0.4695,1.293
22400,0.56,-3.7168,32.7322,0.4686,1.2929
22500,0.5599,-3.7022,35.6658,0.4673,1.3137
22600,0.5541,-3.7087,22.3757,0.4638,1.3008
22700,0.5558,-3.6978,33.8573,0.4685,1.2984
22800,0.5557,-3.7001,24.0833,0.4619,1.2965
22900,0.5582,-3.7071,32.6699,0.4674,1.3016
23000,0.5512,-3.6914,31.3083,0.4721,1.3151
23100,0.5502,-3.7023,28.8978,0.4648,1.306
23200,0.5516,-3.6924,27.4625,0.4659,1.2924
23300,0.5489,-3.6829,25.5771,0.4666,1.2922
23400,0.5508,-3.6821,27.4718,0.4618,1.2873
23500,0.5519,-3.68,26.3879,0.4732,1.2963
23600,0.5464,-3.6866,22.0562,0.4697,1.2938
23700,0.5548,-3.6729,44.8098,0.4697,1.298
23800,0.5558,-3.6785,47.056,0.4632,1.2966
23900,0.5517,-3.6735,31.0563,0.4618,1.3006
24000,0.5582,-3.6741,44.9669,0.4595,1.2919
24100,0.5503,-3.6665,40.9575,0.4653,1.2961
24200,0.5537,-3.6616,46.9795,0.473,1.3134
24300,0.5498,-3.6775,36.6705,0.4661,1.28
24400,0.5605,-3.6777,46.3478,0.4635,1.2978
24500,0.5492,-3.6615,40.9007,0.4637,1.2996
24600,0.5498,-3.6554,41.4196,0.4647,1.2889
24700,0.5538,-3.6579,44.5288,0.4638,1.291
24800,0.5517,-3.6498,40.0573,0.4652,1.2971
24900,0.5539,-3.6489,41.7091,0.4591,1.2908
25000,0.5644,-3.6395,49.7441,0.4828,1.2897
25100,0.5582,-3.6447,39.7086,0.4694,1.292
25200,0.5504,-3.6294,22.0295,0.4862,1.275
25300,0.5507,-3.6453,37.3621,0.4677,1.2976
25400,0.5496,-3.6283,43.122,0.4653,1.2958
25500,0.5493,-3.6197,39.5391,0.4689,1.3022
25600,0.5511,-3.6134,41.3329,0.4699,1.2971
25700,0.5465,-3.6167,26.707,0.4751,1.3095
25800,0.5492,-3.6249,30.3836,0.4881,1.3225
25900,0.5403,-3.6076,24.0086,0.4673,1.2948
26000,0.5491,-3.6085,39.4354,0.4684,1.2933
26100,0.5451,-3.6059,27.4673,0.4602,1.297
26200,0.5483,-3.594,41.2583,0.4682,1.2989
26300,0.5458,-3.5978,30.002,0.4679,1.2881
26400,0.5432,-3.5922,29.9158,0.4617,1.2851
26500,0.5431,-3.5975,40.8881,0.4766,1.2814
26600,0.5432,-3.589,39.3018,0.4645,1.2933
26700,0.5418,-3.5845,29.176,0.4719,1.2902
26800,0.5387,-3.5763,20.8168,0.4661,1.2875
26900,0.5385,-3.5629,27.2759,0.4652,1.3086
27000,0.5419,-3.5665,27.7948,0.4787,1.3064
27100,0.5405,-3.5648,40.7987,0.4661,1.2935
27200,0.5376,-3.5591,32.8276,0.4784,1.2946
27300,0.5352,-3.5541,26.0796,0.466,1.2944
27400,0.5418,-3.5585,26.3615,0.4661,1.3058
27500,0.5424,-3.547,45.2754,0.4665,1.2915
27600,0.5545,-3.5417,49.8399,0.4663,1.2914
27700,0.5487,-3.5625,44.4122,0.4699,1.3059
27800,0.5398,-3.5395,39.1324,0.4694,1.2973
27900,0.5395,-3.5354,38.4362,0.4647,1.2996
28000,0.5396,-3.5318,38.6797,0.4705,1.2858
28100,0.5357,-3.5311,38.2584,0.4811,1.2867
28200,0.5417,-3.5255,40.3834,0.4689,1.2933
28300,0.5399,-3.5109,38.0216,0.4739,1.2992
28400,0.5391,-3.5099,26.0636,0.4844,1.3168
28500,0.5423,-3.5065,31.2668,0.4717,1.2913
28600,0.5336,-3.5063,26.3532,0.4708,1.2859
28700,0.5421,-3.4976,39.6166,0.4722,1.3036
28800,0.5345,-3.4939,38.1225,0.4702,1.2937
28900,0.5452,-3.4696,41.1336,0.4893,1.2987
29000,0.5413,-3.4727,33.4712,0.4698,1.2918
29100,0.5405,-3.4704,34.1713,0.4786,1.3167
29200,0.5518,-3.4744,54.2085,0.4711,1.2921
29300,0.5399,-3.4711,39.8429,0.4713,1.2895
