env_steps,critic_loss,q,raw_critic_grad_norm,critic_grad_norm,critic_seq_grad_norm
1000,0.5219,-0.954,0.472,0.19,0.4467
1100,0.3718,-1.3403,1.5541,0.1863,0.4332
1200,0.3836,-1.3757,1.5002,0.1805,0.4263
1300,0.3734,-1.4143,1.4198,0.3158,0.7767
1400,0.3521,-1.4404,2.7473,0.2372,0.5845
1500,0.3523,-1.4488,2.0791,0.2766,0.6565
1600,0.3603,-1.4487,2.406,0.3437,0.8467
1700,0.3571,-1.4445,2.9111,0.4883,1.3467
1800,0.3344,-1.4462,2.1883,0.3056,0.7606
1900,0.3394,-1.4309,3.738,0.539,1.2927
2000,0.3501,-1.3843,3.008,0.5225,1.2989
2100,0.3452,-1.3431,3.3978,0.3628,0.9532
2200,0.3554,-1.3069,3.599,0.5138,1.3231
2300,0.3557,-1.254,4.3633,0.5092,1.3297
2400,0.3669,-1.1942,5.4435,0.5276,1.3232
2500,0.3484,-1.1566,6.6002,0.4969,1.3147
2600,0.3444,-1.0685,5.7688,0.4909,1.3271
2700,0.3418,-1.0224,6.4515,0.4856,1.3227
2800,0.3465,-0.9464,6.7581,0.5339,1.3187
2900,0.3634,-0.878,8.8297,0.5217,1.2995
3000,0.3599,-0.8277,8.6777,0.5139,1.3184
3100,0.3661,-0.7638,10.1771,0.4862,1.2726
3200,0.3662,-0.687,10.5584,0.5072,1.3061
3300,0.3703,-0.6048,11.8181,0.4894,1.2983
3400,0.378,-0.5283,9.7606,0.4986,1.2934
3500,0.3819,-0.4753,10.0961,0.4799,1.2801
3600,0.3791,-0.3965,11.7515,0.4873,1.2869
3700,0.3992,-0.2733,12.9937,0.5101,1.3126
3800,0.4012,-0.2178,12.8477,0.4939,1.3031
3900,0.4007,-0.1426,14.8718,0.5042,1.3063
4000,0.4021,-0.0923,15.2415,0.5192,1.3265
4100,0.4092,-0.0108,16.3622,0.497,1.2777
4200,0.4136,0.0286,17.0325,0.4896,1.3024
4300,0.4138,0.0452,14.4772,0.5058,1.2833
4400,0.4186,0.1488,16.2036,0.4947,1.3068
4500,0.418,0.2003,17.0414,0.4813,1.2603
4600,0.4214,0.2181,17.8414,0.5082,1.3031
4700,0.4123,0.2717,17.0591,0.4929,1.2765
4800,0.4134,0.3471,14.4361,0.4854,1.2571
4900,0.4162,0.3812,17.609,0.503,1.2831
5000,0.4169,0.4771,19.3335,0.5183,1.3209
5100,0.4164,0.543,18.125,0.5079,1.3058
5200,0.4146,0.614,16.3604,0.5068,1.323
5300,0.4158,0.6542,20.3818,0.5113,1.3298
5400,0.4249,0.7003,15.8469,0.5149,1.302
5500,0.4422,0.7964,20.3684,0.503,1.2924
5600,0.4278,0.8522,15.5849,0.4937,1.2643
5700,0.4332,0.9302,16.3966,0.5233,1.3257
5800,0.4275,1.0319,21.2777,0.4964,1.2874
5900,0.4339,1.1018,22.9338,0.4768,1.3043
6000,0.4336,1.1756,21.0398,0.4892,1.2971
6100,0.4477,1.2968,22.7516,0.4697,1.302
6200,0.4364,1.3754,18.3265,0.5088,1.3024
6300,0.4458,1.4527,21.7901,0.4834,1.2949
6400,0.4562,1.5628,26.6563,0.4936,1.2879
6500,0.4514,1.6344,23.9029,0.4916,1.3173
6600,0.4612,1.6982,23.5199,0.5054,1.2977
6700,0.4597,1.8198,24.3764,0.4773,1.2784
6800,0.4625,1.9065,23.1019,0.4915,1.312
6900,0.4659,1.9691,25.2631,0.4866,1.2882
7000,0.471,2.1017,26.8184,0.4752,1.2895
7100,0.4712,2.1605,26.0828,0.4788,1.3096
7200,0.4778,2.2527,28.6895,0.5,1.313
7300,0.4907,2.3606,28.7953,0.502,1.3133
