env_steps,critic_loss,q,raw_critic_grad_norm,critic_grad_norm,critic_seq_grad_norm
1000,0.6274,-0.9298,0.2791,0.1053,0.1939
1100,0.5453,-1.4948,0.3222,0.0751,0.1231
1200,0.5528,-1.5635,0.4536,0.0281,0.0185
1300,0.5516,-1.6283,0.3984,0.0454,0.0492
1400,0.5576,-1.6929,0.5158,0.272,0.5697
1500,0.5482,-1.7584,0.4071,0.0637,0.0992
1600,0.5413,-1.8207,0.526,0.1914,0.4054
1700,0.5433,-1.8749,0.8974,0.1568,0.3362
1800,0.5363,-1.9303,0.3772,0.0856,0.1417
1900,0.536,-1.9754,0.4289,0.0603,0.0654
2000,0.5341,-2.0046,0.8842,0.1152,0.2271
2100,0.5316,-2.0457,0.7542,0.2168,0.4729
2200,0.5335,-2.0784,0.8289,0.0544,0.0926
2300,0.5342,-2.1142,0.9676,0.1716,0.372
2400,0.5266,-2.138,1.1682,0.1672,0.3457
2500,0.5207,-2.1667,0.9253,0.1568,0.322
2600,0.5157,-2.202,0.9268,0.1227,0.2656
2700,0.5234,-2.2218,1.64,0.5504,1.3088
2800,0.5279,-2.241,1.346,0.311,0.7242
2900,0.5212,-2.2623,1.4265,0.1847,0.4312
3000,0.5197,-2.2813,1.5466,0.3933,0.9267
3100,0.5218,-2.2969,1.5528,0.1307,0.3063
3200,0.5213,-2.3116,1.977,0.526,1.2767
3300,0.5247,-2.3144,2.5166,0.3488,0.8409
3400,0.522,-2.3323,2.7293,0.1576,0.3674
3500,0.522,-2.3438,1.8485,0.0836,0.1539
3600,0.518,-2.3612,2.5849,0.282,0.6478
3700,0.5178,-2.3582,2.5616,0.1998,0.4535
3800,0.5163,-2.379,1.9795,0.5314,1.2929
3900,0.5173,-2.4073,3.0815,0.5159,1.3236
4000,0.5147,-2.4347,2.9182,0.3526,0.9267
4100,0.5101,-2.4589,2.7735,0.5205,1.3178
4200,0.5108,-2.4827,3.5857,0.3914,0.9716
4300,0.5114,-2.5177,3.1145,0.5189,1.3022
4400,0.5153,-2.5399,2.9605,0.5153,1.3072
4500,0.5127,-2.5606,2.9965,0.4833,1.3327
4600,0.5152,-2.6012,3.5882,0.5166,1.3034
4700,0.5115,-2.6256,2.736,0.401,1.0363
4800,0.5116,-2.6401,2.847,0.3084,0.7627
4900,0.5165,-2.6735,3.6828,0.2084,0.4922
5000,0.519,-2.7028,4.9568,0.5023,1.3306
5100,0.526,-2.7326,6.7478,0.5073,1.3215
5200,0.5185,-2.774,4.6755,0.2428,0.5834
5300,0.5155,-2.8012,4.6253,0.4928,1.3151
5400,0.522,-2.8301,4.4165,0.4874,1.3375
5500,0.5198,-2.8786,6.0326,0.4866,1.3335
5600,0.5186,-2.892,5.7943,0.4804,1.3116
5700,0.5171,-2.9282,9.0974,0.4696,1.3328
5800,0.5169,-2.9613,9.8572,0.472,1.3311
5900,0.5174,-2.9919,6.8669,0.5278,1.285
6000,0.5225,-3.018,11.6953,0.4673,1.3343
6100,0.5281,-3.0453,10.9226,0.4664,1.351
6200,0.5283,-3.0608,9.4164,0.4786,1.3249
6300,0.5375,-3.0924,10.8534,0.4817,1.3362
6400,0.5404,-3.1085,11.3553,0.4638,1.3381
6500,0.5355,-3.1368,10.3294,0.4889,1.3135
6600,0.5363,-3.1712,8.4586,0.5045,1.3226
6700,0.5338,-3.178,8.4418,0.4951,1.3161
6800,0.5371,-3.192,8.728,0.5028,1.2804
6900,0.5433,-3.2172,11.7779,0.5159,1.3367
7000,0.5444,-3.252,9.7017,0.5069,1.3192
7100,0.5434,-3.2607,10.0786,0.4674,1.3444
7200,0.5466,-3.2813,9.9416,0.4818,1.3287
7300,0.548,-3.3032,7.2631,0.4823,1.3169
7400,0.5486,-3.3148,10.4478,0.4816,1.329
7500,0.5479,-3.3362,13.1536,0.4825,1.3281
7600,0.5526,-3.3427,8.0991,0.4735,1.3255
7700,0.5517,-3.356,10.6886,0.4913,1.3237
7800,0.5516,-3.3641,11.1232,0.4847,1.332
7900,0.5515,-3.3846,9.7223,0.4744,1.3549
8000,0.5517,-3.3955,16.3049,0.4892,1.3381
8100,0.5478,-3.4072,8.806,0.482,1.2279
8200,0.5536,-3.4205,15.8523,0.4787,1.3334
8300,0.5609,-3.4263,18.1158,0.4791,1.3185
8400,0.5612,-3.4193,22.4752,0.4713,1.3421
8500,0.5599,-3.4356,17.2273,0.4727,1.331
8600,0.56,-3.4377,14.0873,0.4747,1.2798
8700,0.5584,-3.4642,13.4438,0.4645,1.3269
8800,0.5705,-3.4701,25.8292,0.4711,1.3367
8900,0.568,-3.4898,19.512,0.4965,1.3102
9000,0.5639,-3.4922,19.9287,0.4763,1.3288
9100,0.5728,-3.4977,24.3796,0.464,1.3307
9200,0.5789,-3.525,18.9,0.4929,1.3164
9300,0.5714,-3.5434,22.3474,0.4677,1.3272
9400,0.5725,-3.5515,15.0358,0.4619,1.3249
9500,0.5748,-3.5754,18.3325,0.4699,1.2991
9600,0.568,-3.5965,15.4034,0.4857,1.3166
9700,0.5733,-3.607,15.6157,0.4771,1.3054
9800,0.573,-3.6204,16.0986,0.4615,1.3316
9900,0.5759,-3.6054,17.757,0.4806,1.3113
10000,0.5807,-3.6197,20.573,0.4567,1.3367
10100,0.5832,-3.6239,28.1236,0.4679,1.3284
10200,0.59,-3.6432,33.088,0.4757,1.3247
10300,0.5925,-3.652,26.2947,0.4836,1.315
10400,0.5887,-3.6639,23.7211,0.4714,1.3234
10500,0.5891,-3.6867,23.4379,0.4714,1.3329
10600,0.5862,-3.6918,16.5324,0.463,1.32
10700,0.5881,-3.7113,19.9475,0.4846,1.2664
10800,0.5874,-3.7153,16.3739,0.4716,1.321
10900,0.596,-3.7179,33.6507,0.4657,1.3392
11000,0.5969,-3.7299,34.6407,0.4751,1.3348
11100,0.6002,-3.7238,27.1908,0.4517,1.2828
11200,0.5928,-3.7475,17.9113,0.476,1.3206
11300,0.5988,-3.7741,24.5061,0.4506,1.3127
11400,0.5989,-3.7895,21.302,0.4733,1.313
11500,0.6051,-3.8002,23.8981,0.484,1.2947
11600,0.599,-3.809,20.6035,0.4521,1.2157
11700,0.6026,-3.8248,31.0857,0.4655,1.3441
11800,0.6034,-3.8359,22.2469,0.4935,1.3072
11900,0.6004,-3.8564,20.6685,0.4714,1.32
12000,0.6039,-3.8811,24.3049,0.4809,1.3163
12100,0.6056,-3.9103,20.8922,0.4806,1.2899
12200,0.6093,-3.9259,32.4499,0.4579,1.3426
12300,0.6027,-3.9468,19.546,0.5026,1.2777
12400,0.5995,-3.9436,19.4582,0.4742,1.3334
12500,0.6048,-3.9636,19.7125,0.4994,1.3109
12600,0.6193,-3.9802,45.6912,0.4697,1.3198
12700,0.6118,-3.9769,37.0365,0.4603,1.3122
12800,0.6095,-4.0244,31.0565,0.4757,1.3158
12900,0.6028,-4.0261,24.5514,0.4946,1.3223
13000,0.6129,-4.0608,29.9692,0.4704,1.341
13100,0.6106,-4.0665,29.549,0.4792,1.3292
13200,0.6065,-4.078,21.3359,0.4686,1.256
13300,0.6115,-4.0858,30.9728,0.4898,1.325
13400,0.6081,-4.1057,22.3611,0.4805,1.2769
13500,0.6089,-4.0924,21.2541,0.4641,1.2938
13600,0.6007,-4.1364,17.7946,0.5041,1.3155
13700,0.608,-4.1567,28.0577,0.457,1.3063
13800,0.6037,-4.1494,21.563,0.4708,1.33
13900,0.6153,-4.1497,33.6543,0.4781,1.3107
14000,0.6099,-4.1533,26.8973,0.4914,1.2831
14100,0.6064,-4.1605,21.0225,0.4719,1.3157
14200,0.6103,-4.1703,21.9408,0.4688,1.3156
14300,0.604,-4.189,16.8047,0.4736,1.2879
14400,0.6128,-4.1909,28.621,0.4811,1.3233
14500,0.6113,-4.1984,31.8892,0.4747,1.3115
14600,0.6252,-4.2216,47.8833,0.4802,1.3235
14700,0.6101,-4.2296,28.3028,0.49,1.2959
14800,0.6205,-4.2149,38.685,0.4715,1.3233
14900,0.6203,-4.2269,35.3063,0.4658,1.317
15000,0.6078,-4.2314,20.0357,0.5,1.2937
15100,0.615,-4.2312,32.2715,0.4536,1.2933
15200,0.6126,-4.2466,23.7351,0.4746,1.2776
