env_steps,return,restorations,infiltrations,length,FPS,time
0,-62.35,44,843,100,0.0,0.1128
100,-67.3,54,646,100,1679.6431,0.0595
200,-72.0,62,628,100,1790.1044,0.0559
300,-56.8,51,520,100,1422.8929,0.0703
400,-60.8,43,816,100,1803.5285,0.0554
500,-64.4,42,832,100,1569.9772,0.0637
600,-77.3,63,570,100,1504.3053,0.0665
700,-63.4,49,640,100,1814.789,0.0551
800,-66.8,51,664,100,1461.9139,0.0684
900,-77.5,67,398,100,1573.4875,0.0636
1000,-72.55,65,451,100,14.6784,6.8127
1100,-63.75,45,851,100,97.4742,1.0259
1200,-60.8,40,884,100,99.8132,1.0019
1300,-68.15,60,499,100,100.4103,0.9959
1400,-81.65,63,581,100,99.7017,1.003
1500,-67.8,48,752,100,98.9104,1.011
1600,-66.95,57,571,100,44.4796,2.2482
1700,-85.4,59,776,100,27.688,3.6117
1800,-61.9,44,854,100,29.4422,3.3965
1900,-61.2,41,776,100,28.6029,3.4962
2000,-67.6,56,652,100,35.2119,2.8399
2100,-59.95,49,691,100,32.499,3.077
2200,-76.65,58,725,100,30.4394,3.2852
2300,-71.3,58,486,100,27.7635,3.6019
2400,-68.65,52,657,100,26.2484,3.8098
2500,-77.5,65,518,100,31.2564,3.1993
2600,-66.6,54,616,100,31.2358,3.2015
2700,-60.6,45,752,100,37.0677,2.6978
2800,-84.05,61,733,100,87.9751,1.1367
2900,-68.9,52,654,100,86.0949,1.1615
3000,-63.0,45,804,100,83.0922,1.2035
3100,-62.25,50,585,100,98.875,1.0114
3200,-53.6,42,764,100,62.7023,1.5948
3300,-64.65,47,765,100,52.3258,1.9111
3400,-68.55,53,675,100,50.7493,1.9705
3500,-63.2,49,612,100,51.8684,1.928
3600,-60.8,37,952,100,23.4286,4.2683
3700,-56.55,42,763,100,23.8137,4.1993
3800,-73.3,55,750,100,28.4279,3.5177
3900,-71.9,60,410,100,33.4588,2.9888
4000,-62.85,53,589,100,26.3284,3.7982
4100,-64.15,48,759,100,31.2354,3.2015
4200,-74.65,52,773,100,45.5087,2.1974
4300,-62.5,46,754,100,47.7547,2.094
4400,-55.15,40,831,100,51.5889,1.9384
4500,-71.6,62,456,100,48.0279,2.0821
4600,-60.5,59,438,100,50.4041,1.984
4700,-75.0,55,680,100,45.38,2.2036
4800,-60.25,53,621,100,39.856,2.509
4900,-62.35,37,895,100,45.7247,2.187
5000,-70.35,52,731,100,52.0891,1.9198
5100,-72.7,56,586,100,45.7371,2.1864
5200,-74.15,53,695,100,47.7082,2.0961
5300,-70.55,55,655,100,45.0243,2.221
5400,-66.8,47,740,100,50.097,1.9961
5500,-64.8,42,888,100,47.8035,2.0919
5600,-78.3,54,650,100,49.6837,2.0127
5700,-69.4,62,400,100,43.8724,2.2793
5800,-64.9,44,814,100,47.1531,2.1208
5900,-57.75,39,863,100,27.127,3.6864
6000,-58.55,45,759,100,25.6621,3.8968
6100,-58.8,47,676,100,20.008,4.998
6200,-63.7,49,742,100,16.4002,6.0975
6300,-57.0,46,688,100,43.3341,2.3077
6400,-67.9,58,502,100,52.1184,1.9187
6500,-71.3,54,642,100,50.3185,1.9873
6600,-72.65,40,885,100,53.1454,1.8816
6700,-70.25,50,785,100,54.8543,1.823
6800,-65.85,61,521,100,52.6847,1.8981
6900,-89.0,65,680,100,50.3374,1.9866
7000,-66.65,47,705,100,49.5086,2.0199
7100,-53.7,49,638,100,52.8731,1.8913
7200,-69.1,50,726,100,52.6998,1.8975
7300,-67.3,48,758,100,52.8147,1.8934
7400,-57.6,47,608,100,54.8068,1.8246
7500,-48.8,38,832,100,52.8909,1.8907
7600,-68.3,49,682,100,50.4469,1.9823
7700,-60.45,39,881,100,52.0568,1.921
7800,-67.25,48,677,100,50.4847,1.9808
7900,-63.0,56,440,100,52.3971,1.9085
8000,-60.65,43,733,100,52.9195,1.8897
8100,-68.8,45,848,100,55.2467,1.8101
8200,-71.5,54,622,100,55.2502,1.81
8300,-71.85,59,517,100,55.2991,1.8084
8400,-68.05,57,533,100,50.4365,1.9827
8500,-56.75,56,455,100,52.5818,1.9018
8600,-61.8,45,748,100,52.3947,1.9086
8700,-72.55,55,679,100,53.3928,1.8729
8800,-67.85,63,433,100,55.2832,1.8089
8900,-64.7,51,626,100,54.7692,1.8258
9000,-72.2,49,788,100,50.8255,1.9675
9100,-66.65,48,765,100,52.4607,1.9062
9200,-67.8,57,548,100,54.9902,1.8185
9300,-86.1,65,610,100,49.9099,2.0036
9400,-67.25,57,577,100,52.8267,1.893
9500,-60.0,43,760,100,50.4031,1.984
9600,-75.1,56,706,100,50.1146,1.9954
9700,-57.5,49,578,100,49.9807,2.0008
9800,-67.15,47,815,100,51.914,1.9263
9900,-71.35,58,571,100,52.8214,1.8932
10000,-58.65,45,709,100,0.0,0.8009
10100,-63.7,53,694,100,52.7072,1.8973
10200,-71.6,53,716,100,52.5481,1.903
10300,-67.45,51,753,100,52.7599,1.8954
10400,-60.95,45,699,100,55.0567,1.8163
10500,-60.55,44,807,100,53.0209,1.8861
10600,-65.1,42,810,100,52.612,1.9007
10700,-62.3,48,722,100,55.3413,1.807
10800,-65.65,37,1013,100,50.5439,1.9785
10900,-56.15,37,871,100,49.548,2.0182
11000,-60.45,41,829,100,47.7876,2.0926
11100,-63.55,44,863,100,47.752,2.0942
11200,-68.15,58,543,100,52.7451,1.8959
11300,-79.05,55,825,100,55.12,1.8142
11400,-70.2,53,724,100,54.963,1.8194
11500,-71.4,62,488,100,52.9907,1.8871
11600,-77.65,59,685,100,52.5136,1.9043
11700,-68.5,63,490,100,47.6572,2.0983
11800,-61.55,51,559,100,49.9939,2.0002
11900,-67.6,60,468,100,52.906,1.8901
12000,-62.35,52,603,100,52.9312,1.8892
12100,-70.2,50,744,100,49.3162,2.0277
12200,-70.0,54,664,100,50.7042,1.9722
12300,-68.45,52,749,100,52.5822,1.9018
12400,-69.05,50,709,100,55.078,1.8156
12500,-78.95,53,799,100,52.6857,1.8981
12600,-62.2,44,688,100,52.2101,1.9153
12700,-75.85,59,609,100,50.9021,1.9646
