env_steps,critic_loss,q,raw_critic_grad_norm,critic_grad_norm,critic_seq_grad_norm
1000,0.2207,-1.0765,0.4998,0.0278,0.027
1100,0.0508,-1.3627,0.6102,0.0407,0.0383
1200,0.0625,-1.3869,0.8319,0.0427,0.0416
1300,0.0598,-1.396,0.6995,0.06,0.0595
1400,0.05,-1.4312,0.8013,0.0746,0.0703
1500,0.0503,-1.433,0.4861,0.0344,0.0327
1600,0.0669,-1.4147,0.8814,0.0767,0.0759
1700,0.0634,-1.4219,0.8888,0.0341,0.0337
1800,0.0615,-1.4076,0.6701,0.0389,0.0392
1900,0.0635,-1.3899,0.7002,0.1099,0.1076
2000,0.0599,-1.3584,0.9786,0.1612,0.1549
2100,0.0615,-1.3432,0.96,0.1194,0.1161
2200,0.0665,-1.3086,1.4173,0.3068,0.2998
2300,0.0666,-1.2276,1.0056,0.0558,0.0543
2400,0.0776,-1.1271,0.8845,0.0475,0.0459
2500,0.0776,-1.0151,1.092,0.215,0.2095
2600,0.0683,-0.911,1.0897,0.1709,0.171
2700,0.0744,-0.7969,0.9613,0.1502,0.1508
2800,0.0745,-0.6596,1.4911,0.0652,0.0655
2900,0.0801,-0.5408,1.4568,0.1377,0.1338
3000,0.0815,-0.4304,1.3785,0.0632,0.067
3100,0.0851,-0.322,1.495,0.2058,0.2087
3200,0.0815,-0.2157,1.3665,0.1449,0.1458
3300,0.0866,-0.1034,1.3578,0.0913,0.0927
3400,0.0917,0.0015,1.368,0.2568,0.2589
3500,0.0869,0.0848,1.354,0.133,0.1381
3600,0.0943,0.192,1.2193,0.1773,0.1782
3700,0.0932,0.2856,1.5426,0.3304,0.3281
3800,0.0877,0.3913,1.5572,0.1373,0.1486
3900,0.0909,0.4882,1.6379,0.1847,0.1906
4000,0.0884,0.5885,1.309,0.1433,0.1459
4100,0.0882,0.6859,1.4695,0.2644,0.263
4200,0.0976,0.7887,1.5567,0.1218,0.1264
4300,0.0932,0.8905,1.5396,0.2408,0.2449
4400,0.0904,0.9805,1.5692,0.1788,0.1852
4500,0.0885,1.0723,1.843,0.1933,0.1951
4600,0.0962,1.1655,1.5644,0.1522,0.1563
4700,0.096,1.2653,1.4976,0.2199,0.2236
4800,0.0951,1.3621,1.3925,0.0761,0.0844
4900,0.098,1.4517,1.6864,0.1848,0.1879
5000,0.0982,1.538,1.2754,0.1153,0.1192
5100,0.0922,1.6405,1.706,0.2867,0.3008
5200,0.0897,1.7363,2.0199,0.2063,0.2133
5300,0.0883,1.8184,1.607,0.1964,0.2038
5400,0.0899,1.887,1.2144,0.0877,0.0849
5500,0.093,1.9627,1.5724,0.2479,0.2588
5600,0.0945,2.0275,2.8443,0.2245,0.2394
5700,0.0954,2.1011,1.6265,0.129,0.137
5800,0.0954,2.1692,2.4883,0.1355,0.1448
5900,0.1015,2.2153,4.3035,0.1828,0.1983
6000,0.1045,2.2749,5.9203,0.0877,0.0922
6100,0.1004,2.3308,3.3155,0.2343,0.2573
6200,0.1089,2.3905,7.4176,0.2449,0.2655
6300,0.1138,2.4503,5.1809,0.1723,0.1907
6400,0.1063,2.5081,2.3792,0.2222,0.2514
6500,0.1048,2.552,2.6764,0.0898,0.0939
6600,0.1066,2.5826,5.0439,0.2143,0.2392
6700,0.1104,2.652,7.8006,0.2066,0.233
6800,0.1105,2.6787,4.8131,0.2132,0.2397
6900,0.107,2.7228,4.2187,0.2046,0.2318
7000,0.1033,2.7663,3.7303,0.1572,0.1775
7100,0.1055,2.8182,9.6697,0.1173,0.1339
7200,0.111,2.8628,5.0292,0.1828,0.2123
7300,0.1105,2.9067,6.8443,0.2051,0.2312
7400,0.1092,2.9587,6.0182,0.1255,0.134
7500,0.1084,3.0159,5.5094,0.1622,0.194
7600,0.1101,3.0527,3.7689,0.1023,0.1057
7700,0.1073,3.104,4.2168,0.1819,0.2102
7800,0.1115,3.1669,6.7608,0.2007,0.2295
7900,0.1165,3.2216,5.1138,0.1485,0.1795
8000,0.1131,3.2692,11.4043,0.1681,0.196
8100,0.1154,3.3259,7.1499,0.1554,0.1868
8200,0.1163,3.3682,5.7504,0.1506,0.1838
8300,0.1147,3.4251,7.2421,0.1901,0.2
8400,0.1203,3.4851,14.0151,0.1474,0.1806
8500,0.1258,3.5347,14.3633,0.1549,0.1838
8600,0.1333,3.5859,11.0243,0.1429,0.1752
8700,0.1238,3.6413,7.8406,0.1584,0.1878
8800,0.1316,3.6921,13.4407,0.1462,0.1773
8900,0.1266,3.7451,8.8892,0.1533,0.1773
9000,0.1215,3.7911,9.5236,0.1576,0.1912
9100,0.1247,3.8614,13.0639,0.1355,0.1703
9200,0.1316,3.9022,12.4385,0.142,0.1737
9300,0.1362,3.9517,36.6733,0.1288,0.1617
9400,0.1397,3.9975,31.0535,0.1296,0.1626
9500,0.1467,4.0382,21.5663,0.1627,0.1956
9600,0.1445,4.0826,18.2242,0.1285,0.1619
9700,0.1432,4.119,21.1444,0.1232,0.158
9800,0.1486,4.1531,35.1319,0.1273,0.1603
